0,1,2
0,Arid3A,Arid3A
1,Arnt,Arnt
2,Arx,Arx
3,Atf1,Atf1
4,Atf3,Atf3
5,Atf4,Atf4
6,Atf6,Atf6
7,Barhl1,Barhl1
8,Batf,Batf
9,Bcl3,Bcl3
10,Bcl6B,Bcl6B
11,Brf2,Brf2
12,Canx,Canx
13,Cbx7,Cbx7
14,Cdx1,Cdx1
15,Cdx2,Cdx2
16,Cebpa,Cebpa
17,Cebpb,Cebpb
18,Cebpd,Cebpd
19,Cebpg,Cebpg
20,Cers4,Cers4
21,Cers6,Cers6
22,Chd1,Chd1
23,Cic,Cic
24,Clock,Clock
25,Creb3,Creb3
26,Creb3L2,Creb3L2
27,Creb5,Creb5
28,Crem,Crem
29,Ctbp2,Ctbp2
30,Ctcf,Ctcf
31,Cux1,Cux1
32,Cux2,Cux2
33,Ddit3,Ddit3
34,Dlx1,Dlx1
35,Dlx2,Dlx2
36,Dmrta1,Dmrta1
37,E2F1,E2F1
38,E2F2,E2F2
39,E2F6,E2F6
40,E2F7,E2F7
41,E2F8,E2F8
42,E4F1,E4F1
43,Egr1,Egr1
44,Elf1,Elf1
45,Elf3,Elf3
46,Elf4,Elf4
47,Elf5,Elf5
48,Elk1,Elk1
49,Elk3,Elk3
50,Elk4,Elk4
51,Eomes,Eomes
52,Ep300,Ep300
53,Esrra,Esrra
54,Ets2,Ets2
55,Etv2,Etv2
56,Etv3,Etv3
57,Etv4,Etv4
58,Etv5,Etv5
59,Etv6,Etv6
60,Etv7,Etv7
61,Faap24,Faap24
62,Fos,Fos
63,Fosb,Fosb
64,Fosl1,Fosl1
65,Fosl2,Fosl2
66,Foxa1,Foxa1
67,Foxa2,Foxa2
68,Foxc1,Foxc1
69,Foxd1,Foxd1
70,Foxd2,Foxd2
71,Foxf1,Foxf1
72,Foxj3,Foxj3
73,Foxn3,Foxn3
74,Foxo1,Foxo1
75,Foxo3,Foxo3
76,Foxo4,Foxo4
77,Foxp2,Foxp2
78,Foxp3,Foxp3
79,Foxq1,Foxq1
80,Gabpa,Gabpa
81,Gata1,Gata1
82,Gata2,Gata2
83,Gata3,Gata3
84,Gata4,Gata4
85,Gata6,Gata6
86,Gbx1,Gbx1
87,Gcm1,Gcm1
88,Gli1,Gli1
89,Gli2,Gli2
90,Glis2,Glis2
91,Glis3,Glis3
92,Gmeb1,Gmeb1
93,Gmeb2,Gmeb2
94,Gsc,Gsc
95,Gsx2,Gsx2
96,Gtf2F1,Gtf2F1
97,Gtf2Ird1,Gtf2Ird1
98,Gtf3A,Gtf3A
99,Hand1,Hand1
100,Hcfc1,Hcfc1
101,Hdac1,Hdac1
102,Hes7,Hes7
103,Hic2,Hic2
104,Hinfp,Hinfp
105,Hivep2,Hivep2
106,Hivep3,Hivep3
107,Hlf,Hlf
108,Hltf,Hltf
109,Hlx,Hlx
110,Hmx1,Hmx1
111,Hmx2,Hmx2
112,Hnf1A,Hnf1A
113,Hnf1B,Hnf1B
114,Hnf4A,Hnf4A
115,Hnf4G,Hnf4G
116,Hoxa10,Hoxa10
117,Hoxa11,Hoxa11
118,Hoxa13,Hoxa13
