training_node.csvsource,target,Input
Arid3A,Coro2A,High
Arid3A,Exoc3L2,High
Arid3A,Gse1,High
Arnt,Cuta,High
Arnt,Hdac5,High
Arnt,Jmjd1C,High
Arnt,Nr1D2,High
Arnt,Nr3C1,High
Arnt,Pak1,High
Arnt,Pde8A,High
Arnt,Pdlim5,High
Arnt,Per2,High
Arnt,Phf3,High
Arnt,Rbm47,High
Arnt,Spag9,High
Arnt,Tet2,High
Arnt,Dixdc1,High
Arnt,Met,High
Arnt,Mxi1,High
Arnt,Sirt1,High
Arnt,Eml4,High
Arnt,Lnx1,High
Arx,C1Orf94,High
Arx,Casc16,High
Arx,Hoxc4,High
Atf1,Aftph,High
Atf1,C1D,High
Atf1,Cd2Ap,High
Atf1,Fam91A1,High
Atf1,Lysmd3,High
Atf1,Osbpl8,High
Atf1,Prkar1A,High
Atf1,Rbm7,High
Atf1,Rnf11,High
Atf1,Rprd1A,High
Atf1,Rras2,High
Atf1,Slc35F5,High
Atf1,Tmem30A,High
Atf1,Twf1,High
Atf1,Ythdf3,High
Atf1,Znf143,High
Atf3,Actn3,High
Atf3,Amotl2,High
Atf3,Areg,High
Atf3,Avpi1,High
Atf3,Btg1,High
Atf3,Ccin,High
Atf3,Cer1,High
Atf3,Dusp10,High
Atf3,Dusp5,High
Atf3,Dusp8,High
Atf3,Fem1C,High
Atf3,Fos,High
Atf3,Fst,High
Atf3,Gem,High
Atf3,Hbegf,High
Atf3,Hspb1,High
Atf3,Id2,High
Atf3,Insig1,High
Atf3,Itprip,High
Atf3,Jun,High
Atf3,Jund,High
Atf3,Klf10,High
Atf3,Klf6,High
Atf3,Klhl15,High
Atf3,Map1Lc3A,High
Atf3,Mif-As1,High
Atf3,Mxd1,High
Atf3,Nfil3,High
Atf3,Nppc,High
Atf3,Nr4A1,High
Atf3,Osm,High
Atf3,Pax8-As1,High
Atf3,Per1,High
Atf3,Ppp1R15A,High
Atf3,Rab3A,High
Atf3,Rcan1,High
Atf3,Rgs2,High
Atf3,Rhof,High
Atf3,Siah2,High
Atf3,Stpg2,High
Atf3,Sun2,High
Atf3,Tgds,High
Atf3,Trib1,High
Atf3,Ubc,High
Atf3,Zbtb20,High
Atf3,Zfp36L1,High
Atf3,Znf331,High
Atf3,Arl4D,High
Atf3,Bdnf,High
Atf3,C10Orf95,High
Atf3,Cd83,High
Atf3,Dnajb4,High
Atf3,Pou5F2,High
Atf3,Sat1,High
Atf3,Tgif1,High
Atf3,Zbtb10,High
Atf3,Znf460,High
Atf3,Sh2D2A,High
Atf3,C9Orf163,High
Atf3,Chac1,High
Atf3,Fosl2,High
Atf3,Junb,High
Atf3,Linc01348,High
Atf3,Plaur,High
Atf3,Ptp4A1,High
Atf3,Sytl2,High
Atf3,Tgfb2,High
Atf3,Zfp36,High
Atf3,Gadd45B,High
Atf3,Bhlhe40,High
Atf3,Hspa6,High
Atf3,Opn4,High
Atf3,Ankrd37,High
Atf3,Cd7,High
Atf3,Clk1,High
Atf3,Cxcl2,High
Atf3,Cxcl8,High
Atf3,Dnajb1,High
Atf3,Adamts1,High
Atf3,Rtbdn,High
Atf3,Gadd45G,High
Atf3,Myh4,High
Atf3,Tiparp,High
Atf3,Kcnj13,High
Atf3,Or52D1,High
Atf3,Arl4C,High
Atf3,Arsj,High
Atf3,Bcl9,High
Atf3,C11Orf42,High
Atf3,Cebpb,High
Atf3,Cga,High
Atf3,Clec2B,High
Atf3,Cnn1,High
Atf3,Cnn2,High
Atf3,Cpxm2,High
Atf3,Creb5,High
Atf3,Crim1,High
Atf3,Crybb2,High
Atf3,Ctdsp2,High
Atf3,Des,High
Atf3,Dleu2,High
Atf3,Epha2,High
Atf3,Esrrg,High
Atf3,F10,High
Atf3,Fam131A,High
Atf3,Fbxl16,High
Atf3,Gadd45A,High
Atf3,Galnt13,High
Atf3,Hsph1,High
Atf3,Izumo2,High
Atf3,Kdm6B,High
Atf3,Linc01300,High
Atf3,Linc01365,High
Atf3,Lrch1,High
Atf3,Nav2-As4,High
Atf3,Nkrf,High
Atf3,Ntrk3-As1,High
Atf3,Otulin,High
Atf3,Pcyt1B,High
Atf3,Pdlim3,High
Atf3,Per2,High
Atf3,Plcxd2,High
Atf3,Plekhh2,High
Atf3,Pmaip1,High
Atf3,Prkcq,High
Atf3,Rnd1,High
Atf3,Rnf183,High
Atf3,Rnf19A,High
Atf3,Samd4A,High
Atf3,Siah1,High
Atf3,Slc25A37,High
Atf3,Slc44A5,High
Atf3,Smad5-As1,High
Atf3,Sptb,High
Atf3,Stmn4,High
Atf3,Tagln,High
Atf3,Tmem151A,High
Atf3,Tp53Inp2,High
Atf3,Ubald1,High
Atf3,Wee1,High
Atf3,Xirp2,High
Atf3,Zc3H12A,High
Atf3,Ddit4,High
Atf3,Acta2,High
Atf3,Arid5A,High
Atf3,Bmf,High
Atf3,C17Orf67,High
Atf3,C21Orf62,High
Atf3,Casp9,High
Atf3,Ccdc141,High
Atf3,Ceacam3,High
Atf3,Cemip,High
Atf3,Cpeb4,High
Atf3,Crispld2,High
Atf3,Dixdc1,High
Atf3,Dpf3,High
Atf3,Epc1,High
Atf3,Fgf18,High
Atf3,Flnc,High
Atf3,Frat2,High
Atf3,Galnt3,High
Atf3,Gata6,High
Atf3,Hsd17B7,High
Atf3,Il17D,High
Atf3,Kcna5,High
Atf3,L3Mbtl4,High
Atf3,Lhfpl3-As2,High
Atf3,Map3K8,High
Atf3,Med30,High
Atf3,Metrnl,High
Atf3,Msmo1,High
Atf3,Ovol1,High
Atf3,P2Ry10,High
Atf3,Pde4D,High
Atf3,Plch2,High
Atf3,Prdm13,High
Atf3,Ptafr,High
Atf3,Rbm38,High
Atf3,Rgs3,High
Atf3,Siglec15,High
Atf3,St3Gal2,High
Atf3,Stat4,High
Atf3,Tbc1D32,High
Atf3,Tincr,High
Atf3,Tmcc2,High
Atf3,Tp53Bp2,High
Atf3,Trpv3,High
Atf3,Xirp1,High
Atf3,Zfand2A,High
Atf3,Zfp41,High
Atf4,Atf5,High
Atf4,Cebpg,High
Atf4,Ddit3,High
Atf4,Eif4Ebp1,High
Atf4,Msto1,High
Atf4,Ints6,High
Atf4,Timm44,High
Atf4,Znf165,High
Atf4,Trib3,High
Atf4,Gzf1,High
Atf4,Linc00963,High
Atf4,Ube2Ql1,High
Atf4,Xpot,High
Atf4,B4Galt7,High
Atf4,Kctd5,High
Atf4,Pus1,High
Atf4,Ythdf1,High
Atf4,Srp19,High
Atf4,Zfas1,High
Atf4,Fam222A,High
Atf4,Rnps1,High
Atf4,Tmem39A,High
Atf4,Traf4,High
Atf4,Gar1,High
Atf4,Mak16,High
Atf4,Rtkn,High
Atf4,Sec61A1,High
Atf4,Snhg1,High
Atf4,Surf6,High
Atf4,Trmt61A,High
Atf4,Casz1,High
Atf4,Chac1,High
Atf4,Eif1,High
Atf4,Hax1,High
Atf4,Herpud1,High
Atf4,Inhbe,High
Atf4,Nhlh1,High
Atf4,Stk40,High
Atf4,Akap7,High
Atf4,Akna,High
Atf4,Kmt5A,High
Atf4,Bcl2L11,High
Atf4,Csnk1D,High
Atf4,Mettl1,High
Atf4,Arf1,High
Atf4,Atr,High
Atf4,Gata4,High
Atf4,Hsd17B7,High
Atf4,Mapre3,High
Atf4,Odc1,High
Atf4,Plekha1,High
Atf4,Rpsa,High
Atf4,Tmem43,High
Atf4,Anxa9,High
Atf4,Atp6V0A1,High
Atf4,Bach2,High
Atf4,Bcl6,High
Atf4,Bdh1,High
Atf4,Btf3L4,High
Atf4,Ca5Bp1,High
Atf4,Cbx4,High
Atf4,Cdkn1A,High
Atf4,Chmp4C,High
Atf4,Creb3L2,High
Atf4,Desi2,High
Atf4,Doc2B,High
Atf4,Frmd6,High
Atf4,Hpcal1,High
Atf4,Hspa14,High
Atf4,Mbd6,High
Atf4,Mrpl52,High
Atf4,Oaz1,High
Atf4,Pycr1,High
Atf4,Rab3B,High
Atf4,Rcc2,High
Atf4,Rrbp1,High
Atf4,Sgms2,High
Atf4,Slc1A4,High
Atf4,Slc38A1,High
Atf4,Slc7A1,High
Atf4,Smco4,High
Atf4,Spryd3,High
Atf4,Tmem200A,High
Atf4,Tmem33,High
Atf4,Ttc39A,High
Atf4,Txlng,High
Atf4,Znf385B,High
Atf4,Znhit6,High
Atf4,Actr3B,High
Atf4,Arfip2,High
Atf4,Bod1,High
Atf4,Brd2,High
Atf4,Cdk2Ap2,High
Atf4,Ssu72,High
Atf4,Timm10B,High
Atf4,Rhod,High
Atf4,Tdg,High
Atf4,Acsl4,High
Atf4,Arr3,High
Atf4,Cdc6,High
Atf4,Mthfd2,High
Atf4,Osbp,High
Atf4,Sesn2,High
Atf4,Vegfa,High
Atf4,Afg3L1P,High
Atf4,Bcl3,High
Atf4,Chpf,High
Atf4,Cycs,High
Atf4,Ddx49,High
Atf4,Etf1,High
Atf4,Etnk1,High
Atf4,Fam50A,High
Atf4,Foxcut,High
Atf4,Hcg18,High
Atf4,Impdh2,High
Atf4,Isoc2,High
Atf4,Klf4,High
Atf4,Lysmd3,High
Atf4,Mlxip,High
Atf4,Myrf,High
Atf4,Pvt1,High
Atf4,Slc38A4,High
Atf4,Tmem212,High
Atf4,Tnfaip8,High
Atf4,Ubald1,High
Atf4,Isg20,High
Atf4,Myt1,High
Atf4,Prph2,High
Atf4,Spata2,High
Atf4,B4Galt3,High
Atf4,Bysl,High
Atf4,Ccdc86,High
Atf4,Cep170B,High
Atf4,Ddx51,High
Atf4,Emd,High
Atf4,Golga2,High
Atf4,Slc25A39,High
Atf4,Znf143,High
Atf4,Dnajb5,High
Atf4,Ensa,High
Atf4,Fxyd3,High
Atf6,Ascc1,High
Atf6,Atg2A,High
Atf6,Cep57,High
Atf6,Dusp16,High
Atf6,Egfr,High
Atf6,Etf1,High
Atf6,Fkbp5,High
Atf6,Gabarapl1,High
Atf6,Gch1,High
Atf6,Igf2R,High
Atf6,Moap1,High
Atf6,Mtus1,High
Atf6,Myo1E,High
Atf6,Nup98,High
Atf6,Osbpl9,High
Atf6,Ppm1L,High
Atf6,Sdsl,High
Atf6,Sh3Bp4,High
Atf6,Tead1,High
Atf6,Tram2,High
Atf6,Usp32,High
Atf6,Cnn3,High
Atf6,Aimp2,High
Atf6,Asl,High
Atf6,Ccnh,High
Atf6,Chmp1B,High
Atf6,Ddx19B,High
Atf6,Dnaja2,High
Atf6,Emp2,High
Atf6,Esyt2,High
Atf6,Fam177A1,High
Atf6,Gnl2,High
Atf6,Isca1,High
Atf6,Klf11,High
Atf6,Lrrfip1,High
Atf6,Mief1,High
Atf6,Naf1,High
Atf6,Nbeal1,High
Atf6,Ntmt1,High
Atf6,Ppp2R2A,High
Atf6,Ptprm,High
Atf6,Rap1B,High
Atf6,Rfc2,High
Atf6,Rnf19A,High
Atf6,Rora,High
Atf6,Sde2,High
Atf6,Sptbn1,High
Atf6,Stx12,High
Atf6,Trap1,High
Atf6,Ubap1,High
Atf6,Vapb,High
Atf6,Wbp1L,High
Atf6,Ablim3,High
Atf6,Amotl1,High
Atf6,Asah1,High
Atf6,Atad2,High
Atf6,Atp1B1,High
Atf6,Cdc37L1,High
