TF,Gene,Confidence
Ahrr,Il17F,High
Ahrr,Kcnq5-It1,High
Ahrr,Pabpc1P2,High
Ahrr,Linc00309,High
Ahrr,Linc00518,High
Ahrr,C22Orf24,High
Alx3,Alx3,High
Alx3,Gfy,High
Alx3,Neurog2,High
Alx3,Otop3,High
Alx3,Pth2,High
Alx3,Linc01490,High
Alx3,Rax2,High
Alx3,Barhl1,High
Alx3,Evx2,High
Alx3,Gsc,High
Alx3,Fgf3,High
Alx3,Aa06,High
Alx3,Adgrl3-As1,High
Alx3,Cdh18,High
Alx3,Fgf8,High
Alx3,Linc00353,High
Alx3,Linc01262,High
Alx3,Linc01580,High
Alx3,Or6B2,High
Alx3,Or9G1,High
Alx3,Tbx18-As1,High
Alx3,Wbp11P1,High
Alx3,Tas2R7,High
Alx3,Tchhl1,High
Alx3,Linc01350,High
Alx3,Smarca5-As1,High
Alx3,Mir6088,High
Alx3,Mir421,High
Arid3A,Arid3A,High
Arid3A,Cnr1,High
Arid3A,Coro2A,High
Arid3A,En1,High
Arid3A,Exoc3L2,High
Arid3A,Gse1,High
Arid3A,Tmem145,High
Arid3C,Arid3C,High
Arid3C,Hnf4A-As1,High
Arnt,Cuta,High
Arnt,Diaph2,High
Arnt,Hdac5,High
Arnt,Jmjd1C,High
Arnt,Khk,High
Arnt,Nr1D2,High
Arnt,Nr3C1,High
Arnt,Pak1,High
Arnt,Pde8A,High
Arnt,Pdlim5,High
Arnt,Per2,High
Arnt,Phf3,High
Arnt,Rbm47,High
Arnt,Spag9,High
Arnt,Tet2,High
Arnt,Dixdc1,High
Arnt,Met,High
Arnt,Mxi1,High
Arnt,Sirt1,High
Arnt,Eml4,High
Arnt,Lnx1,High
Arx,C1Orf94,High
Arx,Casc16,High
Arx,Cecr3,High
Arx,Dab1-As1,High
Arx,Dnajb8-As1,High
Arx,Linc00354,High
Arx,Arx,High
Arx,Emx2,High
Arx,Hoxc4,High
Arx,Linc01019,High
Ascl2,Ankrd55,High
Ascl2,Aplnr,High
Ascl2,Cd4,High
Ascl2,Cxcl14,High
Ascl2,Fcrlb,High
Ascl2,Igbp1P1,High
Ascl2,Kazn,High
Ascl2,Lrrn3,High
Ascl2,Pdgfb,High
Ascl2,Pnmal2,High
Ascl2,Pou3F2,High
Ascl2,Rcor2,High
Ascl2,Rnf222,High
Ascl2,Rspo3,High
Ascl2,Rufy4,High
Ascl2,Slc17A8,High
Ascl2,Sptssb,High
Ascl2,Syt6,High
Ascl2,Sytl5,High
Ascl2,Tmprss4-As1,High
Ascl2,Trpc3,High
Ascl2,Gpr137C,High
Ascl2,Hhip-As1,High
Ascl2,Il16,High
Ascl2,Napsb,High
Ascl2,Sesn3,High
Ascl2,Siglec1,High
Ascl2,Spn,High
Atf1,Aftph,High
Atf1,Atf1,High
Atf1,C18Orf32,High
Atf1,C1D,High
Atf1,Cd2Ap,High
Atf1,Fam91A1,High
Atf1,Lysmd3,High
Atf1,Mex3C,High
Atf1,Osbpl8,High
Atf1,Prkar1A,High
Atf1,Rbm7,High
Atf1,Rnf11,High
Atf1,Rprd1A,High
Atf1,Rras2,High
Atf1,Slc35F5,High
Atf1,Tmem30A,High
Atf1,Twf1,High
Atf1,Ythdf3,High
Atf1,Znf143,High
Atf3,Actn3,High
Atf3,Afap1-As1,High
Atf3,Amotl2,High
Atf3,Ank1,High
Atf3,Areg,High
Atf3,Arhgap26-It1,High
Atf3,Arid5B,High
Atf3,Arpp21,High
Atf3,Atf3,High
Atf3,Avpi1,High
Atf3,B3Galt1,High
Atf3,Bmp10,High
Atf3,Btg1,High
Atf3,C8Orf4,High
Atf3,C9Orf3,High
Atf3,Cbarp,High
Atf3,Ccin,High
Atf3,Cer1,High
Atf3,Ctgf,High
Atf3,Cytip,High
Atf3,Cyyr1-As1,High
Atf3,Defb134,High
Atf3,Dirc3-As1,High
Atf3,Dusp10,High
Atf3,Dusp2,High
Atf3,Dusp5,High
Atf3,Dusp8,High
Atf3,Egr3,High
Atf3,Fam196A,High
Atf3,Fem1C,High
Atf3,Fos,High
Atf3,Fst,High
Atf3,Gem,High
Atf3,Gna14-As1,High
Atf3,Hbegf,High
Atf3,Hes1,High
Atf3,Hsp90Ab4P,High
Atf3,Hspb1,High
Atf3,Icos,High
Atf3,Id2,High
Atf3,Il6,High
Atf3,Inhba,High
Atf3,Insig1,High
Atf3,Ispd-As1,High
Atf3,Itpk1-As1,High
Atf3,Itprip,High
Atf3,Jun,High
Atf3,Jund,High
Atf3,Kalrn,High
Atf3,Kbtbd11-Ot1,High
Atf3,Klf10,High
Atf3,Klf6,High
Atf3,Klhl15,High
Atf3,Linc01500,High
Atf3,Lpp,High
Atf3,Map1Lc3A,High
Atf3,Mif-As1,High
Atf3,Mir199A2,High
Atf3,Mir4999,High
Atf3,Mxd1,High
Atf3,Nbeap1,High
Atf3,Nfil3,High
Atf3,Npas4,High
Atf3,Nppc,High
Atf3,Nr4A1,High
Atf3,Nr4A3,High
Atf3,Ntm-As1,High
Atf3,Odf3L1,High
Atf3,Osm,High
Atf3,Pax8-As1,High
Atf3,Per1,High
Atf3,Ppargc1A,High
Atf3,Ppp1R15A,High
Atf3,Ptprg-As1,High
Atf3,Rab3A,High
Atf3,Rcan1,High
Atf3,Rgs17,High
Atf3,Rgs2,High
Atf3,Rhof,High
Atf3,Rnvu1-18,High
Atf3,Rxfp1,High
Atf3,Siah2,High
Atf3,Sik1,High
Atf3,Stpg2,High
Atf3,Sun2,High
Atf3,Tgds,High
