source,target
0,2406
0,2491
0,3503
0,4358
1,2689
1,2948
1,4477
1,5025
1,5150
1,200
1,207
1,7143
1,7299
1,7317
1,7346
1,7419
1,8321
1,9550
1,10071
1,2968
1,6048
1,169
1,9092
1,3359
1,5644
2,1588
2,1776
2,2767
2,129
3,645
3,1566
3,1957
3,3653
3,5794
3,7063
3,7869
3,8325
3,8510
3,8646
3,8688
3,9256
3,10345
3,10785
3,11281
3,330
4,524
4,639
4,795
4,977
4,1049
4,1262
4,1500
4,1883
4,2166
4,3150
4,3158
4,3164
4,3168
4,3755
4,62
4,3911
4,4064
4,4455
4,4679
4,4727
4,4729
4,4900
4,5000
4,139
4,141
4,5222
4,5231
4,5245
4,5666
4,5855
4,6136
4,6442
4,185
4,6831
4,6850
4,6999
4,7070
4,7206
4,7345
4,7787
4,8165
4,8348
4,8422
4,8447
4,9073
4,9778
4,9831
4,10105
4,10576
4,10829
4,11303
4,11386
4,11509
4,1062
4,1377
4,1520
4,1991
4,3023
4,7735
4,8793
4,299
4,11296
4,11551
4,9019
4,1661
4,2199
4,65
4,140
4,5589
4,7548
4,8058
4,9084
4,9902
4,10108
4,11385
4,3974
4,1396
4,4676
4,7021
4,847
4,1983
4,2341
4,2702
4,2705
4,6155
4,3017
4,555
4,8716
4,3975
4,6460
4,10184
4,5087
4,7972
4,7038
4,635
4,1037
4,1061
4,1105
4,1367
4,1521
4,17
4,2194
4,2331
4,2386
4,2387
4,2454
4,2548
4,27
4,2568
4,2590
4,2649
4,2902
4,2977
4,3402
4,3473
4,3527
4,3577
4,3695
4,3973
4,3987
4,4690
4,4883
4,4926
4,5007
4,5143
4,5437
4,5582
4,5592
4,5670
4,6559
4,6746
4,6907
4,7088
4,7228
4,7275
4,7316
4,7346
4,7560
4,7586
4,7630
4,7857
4,7878
4,8505
4,8536
4,8540
4,8772
4,9072
4,9192
4,9210
4,9291
4,9367
4,9622
4,9772
4,9939
4,10279
4,10373
4,10500
4,10822
4,11181
4,11228
4,11272
4,11328
4,2845
4,512
4,590
4,1048
4,1420
4,1553
4,1602
4,1791
4,1828
4,2106
4,2119
4,2523
4,2573
4,2968
4,3094
4,3398
4,3779
4,3836
4,3890
4,3992
4,85
4,4660
4,4825
4,5065
4,5357
4,5458
4,5561
4,5878
4,6020
4,6051
4,6360
4,7092
4,7109
4,7293
4,7558
4,232
4,8025
4,8316
4,8424
4,9077
4,9707
4,277
4,9983
4,10182
4,10233
4,10496
4,10657
4,10708
4,11113
4,11227
4,11374
4,11388
4,5819
5,1160
5,19
5,33
5,3303
5,6369
5,4909
5,10173
5,11449
5,6171
5,10577
5,4419
5,5556
5,10854
5,11239
5,1294
5,5126
5,8093
5,11279
5,9648
5,11379
5,3624
5,8572
5,10351
5,10544
5,4004
5,5830
5,8719
5,8894
5,9443
5,9845
5,10642
5,1793
5,2199
5,3270
5,4450
5,4509
5,4886
5,191
5,9770
5,711
5,717
5,5286
5,1358
5,2616
5,6052
5,8450
5,979
5,1238
5,3580
5,84
5,4660
5,5911
5,6994
5,7568
5,8682
5,10354
5,886
5,1049
5,1215
5,1303
5,1363
5,1374
5,1499
5,1673
5,1809
5,2081
5,2235
5,26
5,2904
5,3070
5,3899
5,3998
5,4630
5,4670
5,5946
5,6320
5,6596
5,6985
5,8111
5,8166
5,8353
5,8689
5,9007
5,9149
5,9264
5,9329
5,9384
5,9614
5,10309
5,10347
5,10732
5,10789
5,11520
5,11648
5,11688
5,530
5,991
5,1437
5,1461
5,2067
5,9697
5,10166
5,8446
5,10043
5,505
5,1093
5,2028
5,6396
5,7055
5,8962
5,11047
5,643
5,9
5,2242
5,2725
5,2862
5,3476
5,3481
5,3639
5,3871
5,4464
5,4871
5,4956
5,146
5,5794
5,6185
5,6500
5,8100
5,9268
5,10317
5,10414
5,10822
5,4952
5,6501
5,7920
5,9556
5,1290
5,1513
5,1873
5,2146
5,2865
5,3349
5,4208
5,4211
5,9194
5,330
5,3024
5,3383
5,3938
6,1123
6,1171
6,2153
6,3156
6,3255
6,3476
6,3824
6,3962
6,4039
6,4788
6,6214
6,6422
6,6486
6,6957
6,7064
6,7772
6,8873
6,9028
6,290
6,10552
6,10986
6,2388
6,696
6,1138
6,1912
6,2231
6,2856
6,3015
6,3323
6,3361
6,3474
6,3599
6,4194
6,4948
6,5223
6,5727
6,6130
6,6530
6,6564
6,6899
6,7171
6,7809
6,8078
6,8244
6,8395
6,8540
6,252
6,8859
6,9623
6,9795
6,10553
6,10824
6,11032
6,11125
6,459
6,794
6,1110
6,1151
6,1202
6,2015
6,2727
6,3453
6,3676
6,3960
6,4397
6,4459
6,5232
6,5418
6,5894
6,6463
6,6484
6,6535
6,6609
6,6892
6,6951
6,7736
6,8379
6,9132
6,9195
6,10112
6,10808
6,496
6,599
6,993
6,1212
6,1235
6,2490
6,2543
6,2921
6,2993
6,3335
6,4130
6,4189
6,4678
6,4940
6,5009
6,6562
6,7160
6,7853
6,8266
6,8453
6,8530
6,8591
6,9550
7,2993
7,3783
7,4404
7,5101
7,149
7,5624
7,178
7,6838
7,7205
7,7937
7,241
7,8846
7,11411
8,1971
8,4870
8,5654
8,9794
8,10427
8,455
8,798
8,909
8,989
8,1054
8,1305
8,1363
8,1502
8,1622
8,2280
8,2333
8,2653
8,2983
8,3153
8,46
8,3400
8,3561
8,3646
8,4291
8,4547
8,4565
8,4607
8,4821
8,4933
8,4976
8,5105
8,5250
8,156
8,5858
8,5887
8,5985
8,6195
8,6205
8,6375
8,6802
8,7370
8,7440
8,7610
8,7790
8,7941
8,8025
8,8164
8,8474
8,8748
8,9049
8,9264
8,9287
8,9331
8,9588
8,9656
8,9940
8,10823
8,10827
8,10944
8,11329
8,604
8,700
8,883
8,915
8,1265
8,1330
8,1334
8,9
8,1525
8,1669
8,1735
8,2045
8,2406
8,2495
8,2607
8,2681
8,2933
8,3070
8,3080
8,3139
8,3211
8,3226
8,49
8,3362
8,3485
8,3549
8,3589
8,3695
8,3960
8,4015
8,4025
8,4056
8,4099
8,4110
8,4305
8,4363
8,4440
8,4455
8,4568
8,4584
8,4805
8,134
8,4952
8,4967
8,5314
8,5373
8,5470
8,5531
8,5609
8,5878
8,6028
8,6051
8,6114
8,6211
8,6430
8,6500
8,6840
8,7167
8,7289
8,7301
8,7318
8,7373
8,7397
8,7482
8,7522
8,7529
8,7603
8,7804
8,7840
8,8048
8,8065
8,8245
8,8579
8,8673
8,8802
8,8827
8,8959
8,9022
8,9168
8,9240
8,9327
8,9554
8,9749
8,9776
8,10337
8,10384
