Gene,iPS0,iPS4,iPS7,iPS10,iPS15,iPS20
Tgm3,0,2.056573333,4.446903333,11.00493333,32.8298,31.13396667
Utf1,0,0.403479667,6.7408,11.68456667,43.1029,98.95966667
Foxh1,0,0.0254309,1.310039,3.35673,12.42423333,19.5999
Cblc,0,0,1.560186667,1.743,3.119436667,3.5197
Nodal,0,2.389463333,4.49738,4.573113333,8.03886,13.48136667
Fgf4,0,20.6963,24.30083333,23.10743333,20.81996667,40.1342
Clstn3,0,1.257143,2.331763333,1.566006667,4.74855,10.06693
Sall4,0,1.293833333,8.732803333,23.8651,28.98756667,32.63283333
Pbp2,1.41187,0,0,0,0,0
Ap1m2,0,0.214157667,16.38573333,27.2239,32.48726667,25.9824
Pga5,0,10.56428333,12.81966667,37.81853333,31.36753333,18.78486667
Lin28a,0,0.1877689,1.426258333,4.85488,25.42626667,26.3037
Rec8,0,1.115781,1.708754333,1.178096333,1.657523333,4.937246667
Marveld3,0,0.558019333,2.640213333,6.337056667,8.26149,5.39817
Ano9,0,0.038032567,1.63567,1.199523333,4.790216667,6.47009
Cacng4,0,0.174842667,0.883776,1.98281,1.67205,0.888549
Dmrtc2,0,23.50293333,31.95143333,39.64106667,29.89023333,13.57886667
AU015836,0,0.214937333,1.709483333,10.66011333,10.07201333,15.18943333
1600029D21Rik,0,2.907396667,12.92513333,16.9259,30.46476667,28.69886667
Camkv,0,0.968060667,2.380506667,1.460543333,3.622533333,4.263406667
Krtdap,0,3.357236667,57.31363333,275.2113333,333.403,284.474
Prl3a1,0.958556,0,0,0,0,0
Pou4f1,0,2.668393333,2.873176667,4.980993333,3.972236667,4.53335
Gzme,4.338286667,0,0,0,0.805131,0.887761667
Mcpt8,8.00606,0,0,0,0.811291667,1.159336667
Them5,0,0.993690333,3.420483333,13.7616,5.41469,3.4942
Pcsk1n,0,12.1799,10.19782333,8.193596667,7.65296,6.907466667
Eras,0,0.576863667,4.014893333,3.195733333,8.508673333,9.89227
Glod5,0,0.414157667,1.025866,1.393626667,1.502966667,1.040966667
Ush1c,0,0.872269333,1.533653333,1.885673333,13.679,14.4676
Mobp,0,1.70258,1.014990333,11.1445,12.66836667,6.514833333
Zscan10,0,1.972156667,3.58321,9.894323333,13.83796667,16.63983333
Fam83b,0,0.027370533,1.112526667,2.97189,2.79024,1.683493333
Apoc1,0,0.386571667,3.163943333,2.58526,6.981176667,24.68136667
Vwa2,0,0.558163,6.416256667,9.117526667,15.6296,9.085943333
Gm9631,0,0.597369333,1.704806667,1.87395,2.040256667,3.262156667
Trac,3.71792,0,0,0,0.254261667,0
Tmem28,0,1.32531,4.02201,3.34783,6.010143333,5.45681
Hif3a,0,0.113031167,1.166956667,0.900259333,4.589416667,4.917133333
Slc27a2,0,0.414774333,1.520562333,0.982547667,2.49448,1.264033333
Ahsg,0,0.861197,5.033453333,14.40026667,21.592,21.32076667
Lypd6b,0,0.1043326,2.05181,6.095253333,6.093556667,6.588213333
Grhl2,0,0.644275333,11.78262667,18.46053333,14.6275,9.38861
Emcn,1.513693333,0,0,0,0,0
Gm12603,5.634873333,0,0,0,0,0
Slc38a5,0,0.80967,1.517186667,6.075443333,19.97773333,9.719126667
Gm14136,0,4.616016667,5.214266667,6.94575,19.15786667,40.2579
Fcgr2b,0,3.798846667,11.03586667,40.87406667,92.33846667,87.85196667
Mfng,0,0.375427,1.50221,0.936092667,6.244116667,7.379143333
Rpf1,22.34466667,38.8707,36.69326667,57.85296667,50.169,51.56086667
Ahnak,137.4243333,42.56603333,45.0891,44.1956,24.7793,19.4173
Nop56,223.3246667,572.486,654.995,749.0423333,661.1496667,572.5026667
Chrd,4.157433333,0.415845667,0.522735667,0.188517667,1.059138333,0.566268333
Tmed9,266.6546667,126.5323333,109.501,109.2273333,97.86643333,105.3186667
Cast,104.8966667,54.10056667,36.5482,28.40743333,23.833,27.01973333
Rhobtb3,28.98873333,28.72433333,18.30923333,6.435866667,5.457076667,7.015583333
Syce2,5.842796667,31.2159,55.20993333,40.9773,54.7577,73.5348
Tigd5,2.59327,1.469133333,0.804498333,0.823290667,0.540403667,0.44194
Ssbp1,45.36143333,70.6867,77.2035,94.03656667,92.46783333,95.38116667
Mad2l1,37.57883333,95.2337,86.9549,91.97376667,81.79326667,98.46053333
Cd82,18.19786667,0.908924,0.500274,0.420979667,0.918995333,0.675098667
Tor1b,38.95003333,21.49193333,21.74813333,19.3255,17.8632,16.65023333
Abl1,52.7944,32.05413333,29.5946,24.9237,26.99923333,26.10533333
Etv4,24.9489,97.66763333,84.18713333,106.21,119.6406667,102.5514333
Ripk2,27.48246667,2.944893333,4.55013,5.720703333,5.675936667,6.140973333
AI314976,11.44716667,30.29353333,31.9724,34.18903333,37.5067,40.59646667
Maged2,133.3156667,8.563273333,7.777976667,7.832673333,10.53672667,11.00581667
Dusp18,6.31151,2.387806667,1.44566,0.974268333,1.958016667,2.00393
Mgat1,107.7083333,27.3186,19.1425,14.67026667,19.76196667,15.91843333
9230112E08Rik,8.055136667,1.036965333,0.79854,1.36078,1.350523333,0.924087333
Lrrc8c,24.20233333,5.8092,3.24977,1.937003333,2.252176667,2.020946667
Ttll7,9.617863333,0.102237167,0.1213203,0.268208,0.510171,0.349741667
Zfp599,1.35274,3.352476667,4.26232,3.009066667,4.41119,4.730836667
