0,1,2
0,Adar,ENSMUSG00000027951
1,Aebp1,ENSMUSG00000020473
2,Aebp2,ENSMUSG00000030232
3,Akna,ENSMUSG00000039158
4,Ankrd1,ENSMUSG00000024803
5,Apex1,ENSMUSG00000035960
6,App,ENSMUSG00000022892
7,Arid1a,ENSMUSG00000007880
8,Arid5a,ENSMUSG00000037447
9,Arid5b,ENSMUSG00000019947
10,Arnt,ENSMUSG00000015522
11,Arrb1,ENSMUSG00000018909
12,Atf1,ENSMUSG00000023027
13,Atf3,ENSMUSG00000026628
14,Atf4,ENSMUSG00000042406
15,Atf5,ENSMUSG00000038539
16,Atf6b,ENSMUSG00000015461
17,Atoh8,ENSMUSG00000037621
18,Atxn1l,ENSMUSG00000069895
19,Bach1,ENSMUSG00000025612
20,Bahd1,ENSMUSG00000040007
21,Basp1,ENSMUSG00000045763
22,Batf,ENSMUSG00000034266
23,Batf3,ENSMUSG00000026630
24,Baz2a,ENSMUSG00000040054
25,Bcl3,ENSMUSG00000053175
26,Bcl6b,ENSMUSG00000000317
27,Bclaf1,ENSMUSG00000037608
28,Bhlhe40,ENSMUSG00000030103
29,Bmi1,ENSMUSG00000026739
30,Brd4,ENSMUSG00000024002
31,C1d,ENSMUSG00000000581
32,Calcoco1,ENSMUSG00000023055
33,Camta1,ENSMUSG00000014592
34,Camta2,ENSMUSG00000040712
35,Carhsp1,ENSMUSG00000008393
36,Carm1,ENSMUSG00000032185
37,Cbfb,ENSMUSG00000031885
38,Cc2d1a,ENSMUSG00000036686
39,Cc2d1b,ENSMUSG00000028582
40,Cdc5l,ENSMUSG00000023932
41,Cdk9,ENSMUSG00000009555
42,Cebpa,ENSMUSG00000034957
43,Cebpb,ENSMUSG00000056501
44,Cenpb,ENSMUSG00000068267
45,Cggbp1,ENSMUSG00000054604
46,Chd1,ENSMUSG00000023852
47,Chd4,ENSMUSG00000063870
48,Cic,ENSMUSG00000005442
49,Ciita,ENSMUSG00000022504
50,Clock,ENSMUSG00000029238
51,Cnbp,ENSMUSG00000030057
52,Creb3,ENSMUSG00000028466
53,Creb3l1,ENSMUSG00000027230
54,Creb3l2,ENSMUSG00000038648
55,Crebzf,ENSMUSG00000051451
56,Cry1,ENSMUSG00000020038
57,Cry2,ENSMUSG00000068742
58,Csdc2,ENSMUSG00000042109
59,Csde1,ENSMUSG00000068823
60,Csrnp1,ENSMUSG00000032515
61,Ctcf,ENSMUSG00000005698
62,Ctnnb1,ENSMUSG00000006932
63,Cxxc1,ENSMUSG00000024560
64,Dbp,ENSMUSG00000059824
65,Ddx1,ENSMUSG00000037149
66,Ddx41,ENSMUSG00000021494
67,Ddx58,ENSMUSG00000040296
68,Deaf1,ENSMUSG00000075470
69,Dnajb6,ENSMUSG00000029131
70,Dnajc2,ENSMUSG00000029014
71,Dnmt1,ENSMUSG00000004099
72,Dnmt3a,ENSMUSG00000020661
73,Dr1,ENSMUSG00000029265
74,Drap1,ENSMUSG00000024914
75,E2f1,ENSMUSG00000027490
76,E2f2,ENSMUSG00000018983
77,E2f3,ENSMUSG00000016477
78,E2f4,ENSMUSG00000014859
79,E2f5,ENSMUSG00000027552
80,E2f6,ENSMUSG00000057469
81,Edf1,ENSMUSG00000015092
82,Egr1,ENSMUSG00000038418
83,Egr2,ENSMUSG00000037868
84,Egr3,ENSMUSG00000033730
85,Elf1,ENSMUSG00000036461
86,Elf4,ENSMUSG00000031103
87,Elk3,ENSMUSG00000008398
88,Epas1,ENSMUSG00000024140
89,Ercc3,ENSMUSG00000024382
90,Erf,ENSMUSG00000040857
91,Erg,ENSMUSG00000040732
92,Esrra,ENSMUSG00000024955
93,Esrrb,ENSMUSG00000021255
94,Esrrg,ENSMUSG00000026610
95,Ets1,ENSMUSG00000032035
96,Ets2,ENSMUSG00000022895
97,Etv3,ENSMUSG00000003382
98,Etv4,ENSMUSG00000017724
99,Etv5,ENSMUSG00000013089
100,Etv6,ENSMUSG00000030199
101,Ezh2,ENSMUSG00000029687
102,Fli1,ENSMUSG00000016087
103,Fos,ENSMUSG00000021250
104,Fosb,ENSMUSG00000003545
105,Fosl1,ENSMUSG00000024912
106,Fosl2,ENSMUSG00000029135
