Gene,6H,12H,18H,24H,48H
Ddr1,149.22,128.8066667,131.1266667,98.80333333,137.0933333
Rfc2,417.485,414.3533333,396.98,486.04,586.1566667
Hspa6,37.98,31.50333333,42.04666667,33.47333333,34.89333333
Pax8,201.335,192.4,185.8833333,175.93,198.8333333
Guca1A,7.535,9.073333333,8.763333333,8.35,8.893333333
Uba7,37.495,38.85,36.85666667,38.73,40.70666667
Thra,39.09,41.26666667,36.33,34.95333333,37.31333333
Ptpn21,104.205,180.38,103.8833333,175.62,138.0133333
Ccl5,8.395,8.783333333,9.326666667,8.986666667,9.556666667
Cyp2E1,11.025,9.446666667,10.88333333,9.6,13.19333333
Ephb3,45.51,53.05,50.84333333,49.09,51.69666667
Esrra,308.365,306.1466667,377.59,333.51,337.28
Cyp2A6,53.495,53.66333333,49.92,49.57,57.23
Scarb1,985.62,1441.986667,1280.066667,1510.363333,1039.156667
Ttll12,773.6,813.2366667,934.4666667,877.2433333,937.3933333
Wfdc2,17.325,18.19333333,17.38666667,16.43333333,18.67333333
Mapk1,164.325,182.5533333,201.8566667,200.1433333,235.92
Adam32,11.26,11.24,10.9,11.17333333,12.96666667
Spata17,43.37,43.21333333,37.49,44.53,39.71
Prr22,53.54,65.15333333,65.74666667,65.07666667,70.16666667
Pxk,36.535,45.29,42.37666667,57.54666667,40.39
Vps18,93.105,84.89,100.9733333,107.62,120.93
Msantd3,744.755,640.83,594.9,565.4166667,667.7266667
Slc46A1,305.08,248.4466667,264.7733333,275.57,185.8466667
Timd4,13.125,16.29,13.21333333,15.90666667,18.71333333
Slc39A5,179.565,252.2066667,214.02,245.54,194.1033333
Atp6V1E2,46.645,55.14333333,57.26333333,60.55,69.78
Afg3L1P,485.405,381.2233333,332.1866667,415.27,385.49
Cilp2,16,17.35666667,17.71,16.91666667,20.11333333
Pigx,99.4,83.95,92.55666667,92.68666667,89.26333333
Tmem196,16.5,19.25666667,17.32,16.8,17.92
Slc39A13,136.545,141.6466667,105.9933333,148.0866667,127.11
Best4,12.13,12.87,11.99,13.32666667,13.77666667
Ak9,57.065,62.63,69.29666667,97.94666667,91.14333333
Coro6,21.945,20.84333333,23.92,16.73333333,19.53
Tmem106A,6.86,6.426666667,6.663333333,6.86,6.52
Alg10,42.335,38.83666667,42.60666667,43.18666667,35.97
Ttc39C,384.195,316.5166667,243.04,170.1766667,166.3466667
Nexn,226.185,128.1933333,144.64,182.38,430.9233333
C15Orf40,261.57,279.24,283.54,343.6166667,297.56
Rax2,96.905,111.39,100.2766667,100.47,107.2466667
Mfap3,258.97,248.1133333,238.18,303.3466667,290.2833333
Eya3,74.09,65.73333333,79.73333333,76.66666667,87.48333333
Gimap1,17.73,17.66666667,15.31,16.58666667,17.24666667
Klk8,26.99,27.27333333,24.84,25.94,26.91666667
Ccdc65,7.68,8.533333333,7.836666667,7.736666667,8.256666667
Pabir3,8.505,8.08,8.216666667,8.11,8.606666667
Cfap53,6.09,7.223333333,6.646666667,6.83,7.236666667
Armcx4,15.82,14.81,19.93666667,13.41,13.44666667
Rbbp6,35.51,38.37,44.97,35.51333333,24.52
Cenpbd1P,282.905,269.0466667,292.6733333,281.66,246.9566667
Triobp,176.895,203.9,151.2533333,152.0766667,119.9933333
Catsper1,38.07,39.64333333,36.11,37.95,42.41666667
Hoxd4,15.545,16.86,15.45,16.5,16.72666667
Gsc,16.01,17.43333333,15.15,15.95,18.46
Sp7,17.935,18.27333333,18.59,20.36,19.77666667
Pde7A,21.035,21.39,24.47666667,19.64333333,19.54333333
Cnot7,323.415,326.04,326.9666667,341.1466667,343.7833333
Cryzl1,93.895,73.5,67.85,66.77666667,53.42333333
Prss33,32.91,33.44333333,40.79333333,36.46333333,40.89
Cbarp,17.1,17.69,17.62,16.38333333,18.29
Mcmdc2,8.415,7.793333333,7.783333333,8.186666667,7.843333333
Tirap,56.09,65.64333333,50.12333333,55.03,45.87
Leap2,203.995,173.61,183.3,157.2633333,205.5066667
Msi2,90.1,108.4266667,100.0433333,127.4033333,92.58333333
Scin,9.1,8.923333333,8.673333333,9.276666667,8.003333333
Ctcfl,8.495,8.8,10.03666667,8.483333333,9.946666667
C4Orf33,92.95,120.3266667,104.1833333,116.6633333,92.72333333
Znf333,10.005,11.35,9.936666667,10.15666667,10.56
Tvp23C,107.06,104.74,103.5066667,94.59,109.6466667
Rdh10,228.465,219.8966667,227.8666667,223.0366667,193.8333333
Srsf12,64.265,46.15666667,47.59333333,50.01333333,46.99666667
Garin4,59.075,85.26666667,76.18666667,72.10666667,80.04666667
Gapt,7.6,7.59,7.05,7.68,7.943333333
Scube1,38.63,39.95666667,36.21,39.52333333,41.73333333
Erich5,18.28,14.35333333,16.27333333,16.53333333,15.96666667
Ccdc185,8.795,11.33666667,9.813333333,10.47333333,10.54333333
Enthd1,7.92,9.046666667,10.41,8.54,9.94
Tssk3,133.345,134.0333333,126.37,125.2766667,135.0933333
Wfdc6,15.835,17.39333333,17.82333333,16.28333333,19.85333333
Clec12A,9.075,8.28,8.873333333,8.51,7.966666667
Brf1,24.58,28.08333333,26.41,32.11333333,26.59333333
Tmem266,18.005,17.18,18.99333333,16.59333333,20.30333333
Calml6,13.81,16.38333333,13.28333333,14.29333333,17.95666667
Nlrp5,14.6,18.24333333,15.87333333,18.04333333,21.32666667
Odf4,8.955,8.98,9.4,8.546666667,8.956666667
Clec4F,26.9,27.34333333,28.06333333,27.22,31.88333333
Wfdc9,9.695,10.80666667,10.11,9.74,9.856666667
Nedd1,187.63,234.5566667,177.7133333,291.3733333,201.2566667
Ttll10,31.575,34.79,30.00333333,31.11333333,35.78666667
Calr3,11.01,10.96666667,10.83666667,9.543333333,10.90666667
Znf22-As1,51.77,34.85,52.60666667,45.10333333,40.17333333
Etv3,74.695,57.60333333,57.68333333,44.61666667,46.70666667
Klhl10,8.42,9.033333333,10.3,10.15333333,9.06
Tm2D3,871.815,747.3,930.1966667,730.3066667,876.3266667
Znf485,7.875,7.173333333,7.676666667,7.46,7.81
Wdr17,7.605,7.33,8.013333333,7.166666667,7.67
Mfsd6L,26.59,27.09333333,24.96333333,24.13,26.23
Cdh23,27.04,28.40333333,28.36,26.58666667,25.56
Ankar,11.83,11.53666667,11.21,11.1,11.82
Megf11,8.315,7.21,7.323333333,8.46,7.866666667
Gpr182,12.655,13.95333333,12.89666667,13.78666667,12.89666667
Esx1,10.985,11.56,10.91,11.16333333,11.81
Fam167A-As1,10.045,11.45666667,10.99666667,10.78,11.35333333
Dnajc5G,30.28,28.16333333,30.19,28.04333333,34.27666667
Wdr88,17.205,17.86,17.53666667,16.23333333,17.25
Prune2,9.66,11.14666667,10.63333333,10.22666667,11.01333333
Mbd3L2,24.365,24.82666667,19.5,25.65333333,24.71333333
Adamtsl1,10.51,10.28,11.27,9.743333333,10.52666667
Mbd3L1,9.125,9.13,9.106666667,9.043333333,9.326666667
Tent5D,9.42,9.046666667,9.34,8.723333333,10.18
Serpinb11,9.59,10.32,9.003333333,9.563333333,10.92666667
Linc00161,8.22,7.95,8.76,7.106666667,8.6
Dscr10,55.58,56.13333333,55.08333333,58.71666667,56.43333333
