Gene,Gene
Ddr1,Ddr1
Rfc2,Rfc2
Hspa6,Hspa6
Pax8,Pax8
Guca1A,Guca1A
Uba7,Uba7
Thra,Thra
Ptpn21,Ptpn21
Ccl5,Ccl5
Cyp2E1,Cyp2E1
Ephb3,Ephb3
Esrra,Esrra
Cyp2A6,Cyp2A6
Scarb1,Scarb1
Ttll12,Ttll12
Wfdc2,Wfdc2
Mapk1,Mapk1
Adam32,Adam32
Spata17,Spata17
Prr22,Prr22
Pxk,Pxk
Vps18,Vps18
Msantd3,Msantd3
Slc46A1,Slc46A1
Timd4,Timd4
Slc39A5,Slc39A5
Atp6V1E2,Atp6V1E2
Afg3L1P,Afg3L1P
Cilp2,Cilp2
Pigx,Pigx
Tmem196,Tmem196
Slc39A13,Slc39A13
Best4,Best4
Ak9,Ak9
Coro6,Coro6
Tmem106A,Tmem106A
Alg10,Alg10
Ttc39C,Ttc39C
Nexn,Nexn
C15Orf40,C15Orf40
Rax2,Rax2
Mfap3,Mfap3
Eya3,Eya3
Gimap1,Gimap1
Klk8,Klk8
Ccdc65,Ccdc65
Pabir3,Pabir3
Cfap53,Cfap53
Armcx4,Armcx4
Rbbp6,Rbbp6
Cenpbd1P,Cenpbd1P
Triobp,Triobp
Catsper1,Catsper1
Hoxd4,Hoxd4
Gsc,Gsc
Sp7,Sp7
Pde7A,Pde7A
Cnot7,Cnot7
Cryzl1,Cryzl1
Prss33,Prss33
Cbarp,Cbarp
Mcmdc2,Mcmdc2
Tirap,Tirap
Leap2,Leap2
Msi2,Msi2
Scin,Scin
Ctcfl,Ctcfl
C4Orf33,C4Orf33
Znf333,Znf333
Tvp23C,Tvp23C
Rdh10,Rdh10
Srsf12,Srsf12
Garin4,Garin4
Gapt,Gapt
Scube1,Scube1
Erich5,Erich5
Ccdc185,Ccdc185
Enthd1,Enthd1
Tssk3,Tssk3
Wfdc6,Wfdc6
Clec12A,Clec12A
Brf1,Brf1
Tmem266,Tmem266
Calml6,Calml6
Nlrp5,Nlrp5
Odf4,Odf4
Clec4F,Clec4F
Wfdc9,Wfdc9
Nedd1,Nedd1
Ttll10,Ttll10
Calr3,Calr3
Znf22-As1,Znf22-As1
Etv3,Etv3
Klhl10,Klhl10
Tm2D3,Tm2D3
Znf485,Znf485
Wdr17,Wdr17
Mfsd6L,Mfsd6L
Cdh23,Cdh23
Ankar,Ankar
Megf11,Megf11
Gpr182,Gpr182
Esx1,Esx1
Fam167A-As1,Fam167A-As1
Dnajc5G,Dnajc5G
Wdr88,Wdr88
Prune2,Prune2
Mbd3L2,Mbd3L2
Adamtsl1,Adamtsl1
Mbd3L1,Mbd3L1
Tent5D,Tent5D
Serpinb11,Serpinb11
Linc00161,Linc00161
Dscr10,Dscr10
Abhd11,Abhd11
Acap2,Acap2
Gamt,Gamt
Plcd3,Plcd3
Irf6,Irf6
Ptprc,Ptprc
Man1A2,Man1A2
Raph1,Raph1
Smcr8,Smcr8
Lactb,Lactb
Bnc1,Bnc1
Mpp4,Mpp4
Afg1L,Afg1L
Idi2,Idi2
Cyp11B1,Cyp11B1
Taf8,Taf8
Cobl,Cobl
Slamf6,Slamf6
Zscan20,Zscan20
Gpbar1,Gpbar1
Rhbdl2,Rhbdl2
Fras1,Fras1
Brsk1,Brsk1
Crb2,Crb2
Kcne4,Kcne4
Cd300Lg,Cd300Lg
Slc34A3,Slc34A3
Cpa6,Cpa6
Wbp2Nl,Wbp2Nl
Hipk1,Hipk1
Mtbp,Mtbp
Acvr1C,Acvr1C
Tmem74,Tmem74
Tigd4,Tigd4
Art5,Art5
Garin6,Garin6
Linc01547,Linc01547
Nlrp11,Nlrp11
Atp6V1C2,Atp6V1C2
Cldn19,Cldn19
Vti1A,Vti1A
Kif6,Kif6
Iqcd,Iqcd
Tagap,Tagap
Ston2,Ston2
Serpina12,Serpina12
Letm2,Letm2
Bsnd,Bsnd
Clec4C,Clec4C
Nlrc4,Nlrc4
Prss36,Prss36
Zdhhc15,Zdhhc15
Rai1,Rai1
Cdk15,Cdk15
Znf570,Znf570
Nudt9P1,Nudt9P1
Btbd16,Btbd16
Rtp3,Rtp3
Tspear,Tspear
Mipol1,Mipol1
C6Orf141,C6Orf141
Alms1P1,Alms1P1
Myo3B,Myo3B
Adam21,Adam21
Triml2,Triml2
Abcc13,Abcc13
Il12Rb1,Il12Rb1
Gtf2A1L,Gtf2A1L
Trpv3,Trpv3
Cnbd1,Cnbd1
Abcc12,Abcc12
Mmp21,Mmp21
Tmem190,Tmem190
Gas2L2,Gas2L2
Kcng4,Kcng4
Pxt1,Pxt1
Cacng5,Cacng5
Linc00308,Linc00308
Wfdc11,Wfdc11
Jak1,Jak1
Cdc42Se2,Cdc42Se2
Acacb,Acacb
Cop1,Cop1
Stx6,Stx6
Anln,Anln
Sprr4,Sprr4
Hsh2D,Hsh2D
Trnt1,Trnt1
Tmem163,Tmem163
Arhgap5,Arhgap5
Herpud2,Herpud2
Jmjd6,Jmjd6
Srcap,Srcap
Map3K6,Map3K6
Arsg,Arsg
Znf101,Znf101
Ptpn11,Ptpn11
Klhdc7B,Klhdc7B
Znf626,Znf626
Phc3,Phc3
Il11Ra,Il11Ra
Tnfrsf10A,Tnfrsf10A
Hps4,Hps4
Uhmk1,Uhmk1
Txndc2,Txndc2
Nav3,Nav3
C5Orf22,C5Orf22
Pcdhgb7,Pcdhgb7
Erc1,Erc1
Flcn,Flcn
Jmjd1C-As1,Jmjd1C-As1
Lrrc7,Lrrc7
Sh2D3C,Sh2D3C
Ppp1R3B,Ppp1R3B
Slc9A7,Slc9A7
Igsf3,Igsf3
Rfx6,Rfx6
Dirc1,Dirc1
Dnajb7,Dnajb7
Ucn3,Ucn3
Dip2A,Dip2A
Usp28,Usp28
Knl1,Knl1
Senp8,Senp8
Grhl1,Grhl1
Cnbd2,Cnbd2
Caskin1,Caskin1
Cacna2D4,Cacna2D4
Arl11,Arl11
Slc2A13,Slc2A13
Nipa1,Nipa1
Tuba3Fp,Tuba3Fp
Card16,Card16
Dusp19,Dusp19
Cyb5D1,Cyb5D1
Nmnat2,Nmnat2
Slc4A1,Slc4A1
Creg2,Creg2
Rxfp1,Rxfp1
Spef2,Spef2
Dtd1,Dtd1
Golm2,Golm2
Fgf1,Fgf1
Arpp21,Arpp21
Rhoxf1,Rhoxf1
Adamts17,Adamts17
Snhg7,Snhg7
Dhh,Dhh
Abra,Abra
Klhdc1,Klhdc1
Rictor,Rictor
Pcdhga4,Pcdhga4
Neto1,Neto1
Wwp2,Wwp2
St7L,St7L
C2Orf15,C2Orf15
Kcnh8,Kcnh8
Mcf2L,Mcf2L
Slco6A1,Slco6A1
Pp2D1,Pp2D1
Klc3,Klc3
Cib3,Cib3
Cadm2,Cadm2
Dock8-As1,Dock8-As1
Hdac9,Hdac9
Slc16A11,Slc16A11
Tmem67,Tmem67
Hs6St2,Hs6St2
Camkk1,Camkk1
Znf625,Znf625
Znf563,Znf563
Lin9,Lin9
Clec4D,Clec4D
Slc25A27,Slc25A27
Gprc6A,Gprc6A
Raet1E,Raet1E
Slc44A5,Slc44A5
Znf417,Znf417
Znf781,Znf781
Helb,Helb
Sec62,Sec62
Trdn,Trdn
Socs4,Socs4
Linc02904,Linc02904
Znf547,Znf547
Sim1,Sim1
Prom2,Prom2
Tlr4,Tlr4
Tsnare1,Tsnare1
Capn13,Capn13
Stmn1,Stmn1
Siglec10,Siglec10
Rfx4,Rfx4
Wfikkn1,Wfikkn1
Senp1,Senp1
Klf14,Klf14
Nxnl2,Nxnl2
Brs3,Brs3
Tmx3,Tmx3
Znf396,Znf396
Slc26A7,Slc26A7
Snx18,Snx18
Fbxo39,Fbxo39
B3Gnt6,B3Gnt6
Dennd1B,Dennd1B
Znf619,Znf619
Cilk1,Cilk1
Garin2,Garin2
Bcl2L14,Bcl2L14
Hs6St3,Hs6St3
Slc26A1,Slc26A1
Cldn15,Cldn15
Rab42,Rab42
Ptchd1,Ptchd1
M1Ap,M1Ap
Zscan4,Zscan4
Vwa5B1,Vwa5B1
Linc00311,Linc00311
Htr6,Htr6
Mageb6,Mageb6
Rusc1-As1,Rusc1-As1
Cacng6,Cacng6
Lmntd1,Lmntd1
Cirbp-As1,Cirbp-As1
Axdnd1,Axdnd1
Asmtl-As1,Asmtl-As1
Cd200R1,Cd200R1
Linc00334,Linc00334
Atoh7,Atoh7
Sec16B,Sec16B
Amer1,Amer1
Nkx6-3,Nkx6-3
Tbata,Tbata
Exoc3L2,Exoc3L2
Cabp4,Cabp4
Tnfrsf13C,Tnfrsf13C
Camk2N2,Camk2N2
Ankrd30Bp2,Ankrd30Bp2
Kcng3,Kcng3
Linc01312,Linc01312
Foxp2,Foxp2
B4Galnt2,B4Galnt2
Fmr1Nb,Fmr1Nb
Gcsaml,Gcsaml
Siglec11,Siglec11
Il23R,Il23R
Mageb18,Mageb18
Cd276,Cd276
Ifnl2,Ifnl2
Ifnl1,Ifnl1
C4Orf36,C4Orf36
Fignl1,Fignl1
Rims1,Rims1
Pitpnm2,Pitpnm2
Pcdh10,Pcdh10
Tab3,Tab3
Grk7,Grk7
Mmel1,Mmel1
Pde8A,Pde8A
Nlrp6,Nlrp6
Aknad1,Aknad1
Rtl3,Rtl3
Atrip,Atrip
