TF,gene,Confidence
AHRR,IL17F,High
AHRR,KCNQ5-IT1,High
AHRR,PABPC1P2,High
AHRR,LINC00309,High
AHRR,LINC00518,High
AHRR,C22orf24,High
ALX1,CCDC182,Low
ALX1,EBLN1,Low
ALX1,IL12B,Low
ALX1,LINC00309,Low
ALX1,LINC00343,Low
ALX1,LINC00536,Low
ALX1,LINC01384,Low
ALX1,LINC01571,Low
ALX1,LINC01574,Low
ALX1,NXF2B,Low
ALX1,SAGE1,Low
ALX3,OR10J1,Low
ALX3,ALX3,High
ALX3,GFY,High
ALX3,KIRREL3-AS3,Low
ALX3,NEUROG2,High
ALX3,OTOP3,High
ALX3,PTH2,High
ALX3,FTLP10,Low
ALX3,LINC01490,High
ALX3,RAX2,High
ALX3,C16orf97,Low
ALX3,C1QTNF8,Low
ALX3,LINC00993,Low
ALX3,BARHL1,High
ALX3,EVX2,High
ALX3,GSC,High
ALX3,OR6C1,Low
ALX3,FGF3,High
ALX3,D21S2088E,Low
ALX3,OR5M8,Low
ALX3,LINC01544,Low
ALX3,LINC01471,Low
ALX3,SLC2A7,Low
ALX3,OR4D11,Low
ALX3,LINC00905,Low
ALX3,AA06,High
ALX3,ADGRL3-AS1,High
ALX3,CDH18,High
ALX3,FGF8,High
ALX3,LINC00353,High
ALX3,LINC01262,High
ALX3,LINC01580,High
ALX3,OR6B2,High
ALX3,OR9G1,High
ALX3,TBX18-AS1,High
ALX3,WBP11P1,High
ALX3,PCDH11Y,Low
ALX3,MMP13,Low
ALX3,LINC01101,Low
ALX3,OR51A7,Low
ALX3,OR13G1,Low
ALX3,HIST1H4L,Low
ALX3,SNORD56,Low
ALX3,C3orf84,Low
ALX3,OR56A4,Low
ALX3,TAS2R7,High
ALX3,TCHHL1,High
ALX3,LINC01350,High
ALX3,SMARCA5-AS1,High
ALX3,CRYGA,Low
ALX3,IFNA4,Low
ALX3,KRTAP10-11,Low
ALX3,MRGPRX1,Low
ALX3,MIR6088,High
ALX3,MIR421,High
ALX4,C7orf72,Low
ALX4,LINC00354,Low
ALX4,LINC00866,Low
ALX4,LINC01297,Low
ALX4,LINC01343,Low
ALX4,LINC01381,Low
ALX4,NCOR1P1,Low
ALX4,NR0B1,Low
ALX4,OR8B12,Low
ALX4,TKTL2,Low
ALX4,ADAD1,Low
ALX4,CYYR1-AS1,Low
ALX4,GPC6-AS2,Low
ALX4,LINC01019,Low
ALX4,PPP1R2P3,Low
ALX4,PPP4R3CP,Low
ALX4,SPPL2C,Low
ALX4,CSH1,Low
ALX4,GH2,Low
ALX4,LINC01486,Low
ALX4,C1orf185,Low
ALX4,C6orf10,Low
ALX4,CCDC185,Low
ALX4,CDRT15L2,Low
ALX4,CIB4,Low
ALX4,CYLC1,Low
ALX4,DIAPH3-AS1,Low
ALX4,FAM46D,Low
ALX4,FRMD6-AS2,Low
ALX4,GPR149,Low
ALX4,H2BFWT,Low
ALX4,IL21-AS1,Low
ALX4,IQCF6,Low
ALX4,KRT12,Low
ALX4,KRTAP2-2,Low
ALX4,LBX1-AS1,Low
ALX4,LCN1,Low
ALX4,LEMD1,Low
ALX4,LIN28B,Low
ALX4,LINC00326,Low
ALX4,LINC00408,Low
ALX4,LINC00575,Low
ALX4,LINC00703,Low
ALX4,LINC01142,Low
ALX4,LINC01333,Low
ALX4,LINC01360,Low
ALX4,LINC01478,Low
ALX4,LINC01500,Low
ALX4,LINC01517,Low
ALX4,LINC01541,Low
ALX4,MAGEA10,Low
ALX4,MAGEB16,Low
ALX4,MAGEB3,Low
ALX4,MAGEB5,Low
ALX4,11-Mar,Low
ALX4,MED15P9,Low
ALX4,MRPS22,Low
ALX4,OR10J1,Low
ALX4,OR4F5,Low
ALX4,OR4Q3,Low
ALX4,OR56A5,Low
ALX4,OR6C74,Low
ALX4,OR7E156P,Low
ALX4,PCDHA9,Low
ALX4,POTEB3,Low
ALX4,PPP1R2P9,Low
ALX4,PRSS58,Low
ALX4,RAD21L1,Low
ALX4,RBMS3-AS1,Low
ALX4,TMEM244,Low
ALX4,ZNF385D-AS2,Low
ALX4,LINC00851,Low
ALX4,C7orf62,Low
ALX4,ENTHD1,Low
ALX4,FAM47B,Low
ALX4,FAM66E,Low
ALX4,FAM71C,Low
ALX4,LINC00226,Low
ALX4,LINC00901,Low
ALX4,LINC00911,Low
ALX4,LINC01596,Low
ALX4,MLN,Low
ALX4,NOX3,Low
ALX4,OR2B3,Low
ALX4,OR2M7,Low
ALX4,RNU5B-1,Low
ALX4,ZCCHC13,Low
ALX4,HDGFL1,Low
ALX4,MRGPRX2,Low
ALX4,LIPI,Low
ARGFX,GRID1-AS1,Low
ARGFX,HPYR1,Low
ARGFX,OR10A3,Low
ARGFX,OR51B6,Low
ARGFX,OR8B12,Low
ARGFX,TAS2R9,Low
ARGFX,VN1R10P,Low
ARID3A,ALOXE3,Low
ARID3A,ATG9B,Low
ARID3A,AVPR1A,Low
ARID3A,BPIFA2,Low
ARID3A,C17orf74,Low
ARID3A,CHRM4,Low
ARID3A,EFCAB14-AS1,Low
ARID3A,GUCY2GP,Low
ARID3A,IVL,Low
ARID3A,KCNJ9,Low
ARID3A,KCNMA1-AS3,Low
ARID3A,LCE3D,Low
ARID3A,LINC01173,Low
ARID3A,LOR,Low
ARID3A,MIR1244-4,Low
ARID3A,SALRNA2,Low
ARID3A,SGPP2,Low
ARID3A,SLC6A7,Low
ARID3A,SNORD11,Low
ARID3A,SSTR5,Low
ARID3A,TENM2,Low
