0,1,2
0,0610031J06Rik,0610031J06Rik
1,Abt1,Abt1
2,Adar,Adar
3,Aebp2,Aebp2
4,Ahctf1,Ahctf1
5,Ahr,Ahr
6,Apex1,Apex1
7,App,App
8,Arid1a,Arid1a
9,Arid5b,Arid5b
10,Arnt,Arnt
11,Ash1l,Ash1l
12,Ash2l,Ash2l
13,Atf1,Atf1
14,Atf2,Atf2
15,Atf4,Atf4
16,Atf5,Atf5
17,Atf6b,Atf6b
18,Atf7,Atf7
19,Atoh8,Atoh8
20,Atxn1l,Atxn1l
21,Bach1,Bach1
22,Bahd1,Bahd1
23,Baz2a,Baz2a
24,Bcl3,Bcl3
25,Bclaf1,Bclaf1
26,Bhlhe40,Bhlhe40
27,Bmi1,Bmi1
28,Brd4,Brd4
29,Brd7,Brd7
30,C1d,C1d
31,Calcoco1,Calcoco1
32,Camta2,Camta2
33,Carhsp1,Carhsp1
34,Carm1,Carm1
35,Cbfb,Cbfb
36,Cc2d1a,Cc2d1a
37,Cc2d1b,Cc2d1b
38,Ccnt1,Ccnt1
39,Cdc5l,Cdc5l
40,Cdk9,Cdk9
41,Cebpa,Cebpa
42,Cebpb,Cebpb
43,Cebpg,Cebpg
44,Cenpb,Cenpb
45,Cggbp1,Cggbp1
46,Chd1,Chd1
47,Chd4,Chd4
48,Chd8,Chd8
49,Cic,Cic
50,Clock,Clock
51,Cnbp,Cnbp
52,Creb3,Creb3
53,Creb3l2,Creb3l2
54,Creb3l3,Creb3l3
55,Crebl2,Crebl2
56,Crebzf,Crebzf
57,Crem,Crem
58,Cry1,Cry1
59,Cry2,Cry2
60,Csda,Csda
61,Csde1,Csde1
62,Csrnp1,Csrnp1
63,Ctcf,Ctcf
64,Ctnnb1,Ctnnb1
65,Cxxc1,Cxxc1
66,Ddx1,Ddx1
67,Ddx20,Ddx20
68,Ddx41,Ddx41
69,Ddx58,Ddx58
70,Deaf1,Deaf1
71,Dedd,Dedd
72,Dedd2,Dedd2
73,Dhx33,Dhx33
74,Dmap1,Dmap1
75,Dmtf1,Dmtf1
76,Dnajb6,Dnajb6
77,Dnajc2,Dnajc2
78,Dnmt1,Dnmt1
79,Dr1,Dr1
80,Drap1,Drap1
81,E2f4,E2f4
82,E2f5,E2f5
83,E2f6,E2f6
84,Edf1,Edf1
85,Egr1,Egr1
86,Elf1,Elf1
87,Elf2,Elf2
88,Elk4,Elk4
89,Epas1,Epas1
90,Ercc2,Ercc2
91,Ercc3,Ercc3
92,Erf,Erf
93,Esr1,Esr1
94,Esrra,Esrra
95,Ets2,Ets2
96,Etv6,Etv6
97,Fosl2,Fosl2
98,Foxa1,Foxa1
99,Foxa2,Foxa2
100,Foxa3,Foxa3
101,Foxk2,Foxk2
102,Foxn2,Foxn2
103,Foxo1,Foxo1
104,Foxo4,Foxo4
105,Foxp4,Foxp4
106,Foxq1,Foxq1
107,Fubp1,Fubp1
108,Fubp3,Fubp3
109,Gabpa,Gabpa
110,Gata4,Gata4
111,Gata6,Gata6
112,Gatad1,Gatad1
113,Gatad2b,Gatad2b
114,Gm98,Gm98
115,Gmeb2,Gmeb2
116,Gon4l,Gon4l
117,Gpbp1,Gpbp1
118,Grlf1,Grlf1
119,Gtf2a1,Gtf2a1
120,Gtf2b,Gtf2b
121,Gtf2e1,Gtf2e1
122,Gtf2e2,Gtf2e2
123,Gtf2f1,Gtf2f1
124,Gtf2f2,Gtf2f2
125,Gtf2h5,Gtf2h5
126,Gtf2i,Gtf2i
127,Gtf2ird1,Gtf2ird1
128,Gtf3a,Gtf3a
129,Gzf1,Gzf1
130,Hbp1,Hbp1
131,Hdac1,Hdac1
132,Hdac2,Hdac2
133,Hdac3,Hdac3
134,Hdgf,Hdgf
135,Hes1,Hes1
136,Hes6,Hes6
137,Hhex,Hhex
138,Hlf,Hlf
139,Hltf,Hltf
140,Hmg20a,Hmg20a
141,Hmg20b,Hmg20b
142,Hmgb1,Hmgb1
143,Hmgb2,Hmgb2
144,Hmgn5,Hmgn5
145,Hnf1a,Hnf1a
146,Hnf1b,Hnf1b
147,Hnf4a,Hnf4a
148,Hnrnpab,Hnrnpab
149,Hnrnpd,Hnrnpd
150,Hnrnpk,Hnrnpk
151,Hnrpdl,Hnrpdl
152,Hopx,Hopx
153,Hsf1,Hsf1
154,Ilf2,Ilf2
155,Ilf3,Ilf3
156,Irf1,Irf1
157,Irf2,Irf2
158,Irf3,Irf3
159,Irf5,Irf5
160,Irf6,Irf6
161,Irf7,Irf7
162,Irf9,Irf9
163,Jun,Jun
164,Junb,Junb
165,Jund,Jund
166,Kdm1a,Kdm1a
167,Kdm1b,Kdm1b
168,Kdm2a,Kdm2a
169,Kdm3a,Kdm3a
170,Kdm5b,Kdm5b
171,Kdm5c,Kdm5c
172,Kdm6b,Kdm6b
173,Khsrp,Khsrp
174,Klf12,Klf12
175,Klf13,Klf13
176,Klf15,Klf15
177,Klf2,Klf2
178,Klf3,Klf3
179,Klf6,Klf6
180,Klf9,Klf9
181,Lass2,Lass2
182,Lass6,Lass6
183,Ldb1,Ldb1
184,Lmo4,Lmo4
185,Lrpprc,Lrpprc
186,Lrrfip1,Lrrfip1
187,Maf1,Maf1
188,Mafb,Mafb
189,Mafg,Mafg
190,Mafk,Mafk
191,Maz,Maz
192,Mbd1,Mbd1
193,Mbd2,Mbd2
194,Mbd3,Mbd3
195,Med1,Med1
196,Med6,Med6
197,Mef2a,Mef2a
198,Mef2d,Mef2d
199,Men1,Men1
200,Mier1,Mier1
201,Mlx,Mlx
202,Mlxipl,Mlxipl
203,Msl3,Msl3
204,Mta1,Mta1
205,Mta2,Mta2
206,Mterfd1,Mterfd1
207,Mxd4,Mxd4
208,Mxi1,Mxi1
209,Mybbp1a,Mybbp1a
210,Myst3,Myst3
