source,target,Input
Phf5a,Fgf1,-1
Phf5a,Nrbp2,-1
Phf5a,Kat2b,-1
Phf5a,Mtus1,-1
Phf5a,2700029M09Rik,1
Phf5a,2700094K13Rik,1
Phf5a,Abt1,1
Phf5a,Actl6a,1
Phf5a,Aimp1,1
Phf5a,Anp32b,1
Phf5a,Anp32e,1
Phf5a,Apex1,1
Phf5a,Bms1,1
Phf5a,Bub3,1
Phf5a,Cbx1,1
Phf5a,Cct2,1
Phf5a,Cct5,1
Phf5a,Cct6a,1
Phf5a,Cct7,1
Phf5a,Cdc123,1
Phf5a,Cdk4,1
Phf5a,Chchd4,1
Phf5a,Clns1a,1
Phf5a,Cse1l,1
Phf5a,D19Bwg1357e,1
Phf5a,Dap3,1
Phf5a,Dcaf13,1
Phf5a,Ddx1,1
Phf5a,Ddx39,1
Phf5a,Dis3,1
Phf5a,Dkc1,1
Phf5a,Dnajc9,1
Phf5a,Dnmt1,1
Phf5a,Dtymk,1
Phf5a,Dut,1
Phf5a,Eftud2,1
Phf5a,Eif3g,1
Phf5a,Farsb,1
Phf5a,Fbl,1
Phf5a,Fen1,1
Phf5a,Gar1,1
Phf5a,Gmnn,1
Phf5a,Gnl3,1
Phf5a,Grwd1,1
Phf5a,H2afx,1
Phf5a,H2afz,1
Phf5a,Hat1,1
Phf5a,Hnrnpa1,1
Phf5a,Hnrnpm,1
Phf5a,Ilf3,1
Phf5a,Impdh2,1
Phf5a,Iws1,1
Phf5a,Kars,1
Phf5a,Kpna2,1
Phf5a,Larp7,1
Phf5a,Lrrc40,1
Phf5a,Lyar,1
Phf5a,Mak16,1
Phf5a,Mcm6,1
Phf5a,Mcm7,1
Phf5a,Mki67ip,1
Phf5a,Mphosph6,1
Phf5a,Msh6,1
Phf5a,Ncaph2,1
Phf5a,Ngdn,1
Phf5a,Nob1,1
Phf5a,Noc4l,1
Phf5a,Nop56,1
Phf5a,Npm1,1
Phf5a,Nudt1,1
Phf5a,Nup155,1
Phf5a,Nup205,1
Phf5a,Nup37,1
Phf5a,Nup62,1
Phf5a,Nup85,1
Phf5a,Nup93,1
Phf5a,Odc1,1
Phf5a,Orc6,1
Phf5a,Pcbp1,1
Phf5a,Pdcd11,1
Phf5a,Plrg1,1
Phf5a,Pold3,1
Phf5a,Polr1c,1
Phf5a,Polr2b,1
Phf5a,Polr2d,1
Phf5a,Ppan,1
Phf5a,Psma5,1
Phf5a,Rbm14,1
Phf5a,Rbm8a,1
Phf5a,Rbmxl1,1
Phf5a,Rcc2,1
Phf5a,Rfc2,1
Phf5a,Rfc4,1
Phf5a,Rfwd3,1
Phf5a,Rnps1,1
Phf5a,Rpa1,1
Phf5a,Rpl15,1
Phf5a,Rpl31,1
Phf5a,Rrp15,1
Phf5a,Rrp8,1
Phf5a,Rtcd1,1
Phf5a,Ruvbl1,1
Phf5a,Sdad1,1
Phf5a,Sf3a1,1
Phf5a,Smarcad1,1
Phf5a,Snrnp40,1
Phf5a,Snrpa1,1
Phf5a,Snrpe,1
Phf5a,Snrpf,1
Phf5a,Srpk1,1
Phf5a,Ssrp1,1
Phf5a,Taf1d,1
Phf5a,Taf5l,1
Phf5a,Tcp1,1
Phf5a,Tdg,1
Phf5a,Thoc3,1
Phf5a,Thoc6,1
Phf5a,Tipin,1
Phf5a,Topbp1,1
Phf5a,Trim28,1
Phf5a,Tsr1,1
Phf5a,Tubb2b,1
Phf5a,Uba2,1
Phf5a,Usp39,1
Phf5a,Utp15,1
Phf5a,Wdr43,1
Phf5a,Wdr74,1
Phf5a,Xpo1,1
Phf5a,Ythdf1,1
Phf5a,Zfp330,1
Phf5a,Zfp828,1
Clock,Plbd2,-1
Clock,Wdr81,-1
Clock,Aftph,1
Clock,Ankhd1,1
Clock,Appbp2,1
Clock,Arfgef1,1
Clock,Arhgap12,1
Clock,Arhgap5,1
Clock,Atad1,1
Clock,Avl9,1
Clock,Btbd1,1
Clock,Csnk1g3,1
Clock,D1Ertd622e,1
Clock,Dennd4c,1
Clock,Hook1,1
Clock,Lrba,1
Clock,Map3k2,1
Clock,Myo6,1
Clock,Plekha6,1
Clock,Prkaa1,1
Clock,Scamp1,1
Clock,Tbc1d8b,1
Clock,Tmf1,1
Clock,Usp15,1
Clock,Usp34,1
Clock,Yipf6,1
Clock,Zfp654,1
Elk4,1810006K21Rik,1
Elk4,Arfgap2,1
Elk4,Cc2d1b,1
Elk4,Ercc2,1
Elk4,Mbnl1,1
Elk4,Pcca,1
Elk4,Phactr4,1
Elk4,Sun2,1
Elk4,Tpt1,1
Med1,Flot2,-1
Med1,Col4a2,-1
Med1,Bub3,1
Med1,Ccar1,1
Med1,Cdv3,1
Med1,Chd8,1
Med1,Csnk2a1,1
Med1,Ddx39,1
Med1,Dnajc2,1
Med1,Eed,1
Med1,Ep400,1
Med1,Exosc1,1
Med1,Ggnbp2,1
Med1,Gtf3c6,1
Med1,Heatr1,1
Med1,Med13,1
Med1,Mrps15,1
Med1,Naa15,1
Med1,Naa35,1
Med1,Nol11,1
Med1,Nr2c2,1
Med1,Phf3,1
Med1,Polr1a,1
Med1,Prmt3,1
Med1,Prrc2c,1
Med1,Rae1,1
Med1,Rbm27,1
Med1,Riok1,1
Med1,Rpf2,1
Med1,Setx,1
Med1,Sltm,1
Med1,Snw1,1
Med1,Srrm1,1
Med1,Suz12,1
Med1,Tgs1,1
Med1,Tlk2,1
Med1,Tra2b,1
Med1,Twistnb,1
Med1,Wdr12,1
Med1,Wdr33,1
Med1,Zfp91,1
Med6,Mgat1,-1
Med6,Stat3,-1
Med6,Myo18a,-1
Med6,1200011M11Rik,1
Med6,1810035L17Rik,1
Med6,2410004B18Rik,1
Med6,2700062C07Rik,1
Med6,Aimp1,1
Med6,Bcas2,1
Med6,Brix1,1
Med6,Bub3,1
Med6,Cbwd1,1
Med6,Ccdc115,1
Med6,Cct2,1
Med6,Cetn3,1
Med6,Cfdp1,1
Med6,Cks1b,1
Med6,Cops4,1
Med6,Cul4b,1
Med6,Ddx18,1
Med6,Ddx52,1
Med6,Dnajc24,1
Med6,Dnttip2,1
Med6,Dpy30,1
Med6,Dtymk,1
Med6,Eef1e1,1
Med6,Eif1a,1
Med6,Eri1,1
Med6,Exosc1,1
Med6,Fkbp3,1
Med6,Fubp3,1
Med6,Fxr1,1
Med6,Gins4,1
Med6,Glrx3,1
Med6,Gtf2e2,1
Med6,Gtf2f2,1
Med6,Gtf3c4,1
Med6,Gtpbp4,1
Med6,Hars,1
Med6,Hat1,1
Med6,Haus3,1
Med6,Hmgb2,1
Med6,Kpna2,1
Med6,Krr1,1
Med6,l7Rn6,1
Med6,Larp7,1
Med6,Lrrc40,1
Med6,Lsm5,1
Med6,Lyar,1
Med6,Magoh,1
Med6,Mcm6,1
Med6,Med4,1
Med6,Mettl6,1
Med6,Mis12,1
Med6,Mnat1,1
Med6,Mnd1,1
Med6,Mphosph6,1
Med6,Mrpl13,1
