GeneName,GeneName
Gnai3,Gnai3
Pbsn,Pbsn
Cdc45,Cdc45
H19,H19
Scml2,Scml2
Apoh,Apoh
Narf,Narf
Cav2,Cav2
Klf6,Klf6
Scmh1,Scmh1
Cox5a,Cox5a
Tbx2,Tbx2
Tbx4,Tbx4
Zfy2,Zfy2
Ngfr,Ngfr
Wnt3,Wnt3
Wnt9a,Wnt9a
Fer,Fer
Xpo6,Xpo6
Tfe3,Tfe3
Axin2,Axin2
Baat1,Baat1
Gna12,Gna12
Slc22a18,Slc22a18
Itgb2l,Itgb2l
Igsf5,Igsf5
Pih1d2,Pih1d2
Dlat,Dlat
Sdhd,Sdhd
Fgf23,Fgf23
Fgf6,Fgf6
Ccnd2,Ccnd2
Gpr107,Gpr107
Nalcn,Nalcn
Btbd17,Btbd17
Slfn4,Slfn4
Th,Th
Ins2,Ins2
Scnn1g,Scnn1g
Drp2,Drp2
Tspan32,Tspan32
Lhx2,Lhx2
Clec2g,Clec2g
Gmpr,Gmpr
Glra1,Glra1
Mid2,Mid2
Trim25,Trim25
Dgke,Dgke
Scpep1,Scpep1
Mnt,Mnt
Itgb2,Itgb2
Hddc2,Hddc2
Tpd52l1,Tpd52l1
Pemt,Pemt
Cdh1,Cdh1
Cdh4,Cdh4
Ckmt1,Ckmt1
Bcl6b,Bcl6b
Clec10a,Clec10a
Alox12,Alox12
Arvcf,Arvcf
Comt,Comt
Rtcd1,Rtcd1
Dbt,Dbt
Dazap2,Dazap2
Mcts1,Mcts1
Rem1,Rem1
Rnf17,Rnf17
Trappc10,Trappc10
Ccm2,Ccm2
Wap,Wap
Tbrg4,Tbrg4
Tmprss2,Tmprss2
Mx1,Mx1
Fap,Fap
Gcg,Gcg
Ndufa9,Ndufa9
Egfl6,Egfl6
Lck,Lck
Tssk3,Tssk3
Cttnbp2,Cttnbp2
Galnt1,Galnt1
Myf5,Myf5
Mkrn2,Mkrn2
Pparg,Pparg
Raf1,Raf1
1-Sep,1-Sep
Pdgfb,Pdgfb
Acvrl1,Acvrl1
Grasp,Grasp
Acvr1b,Acvr1b
Tom1l2,Tom1l2
Gpa33,Gpa33
Zfp385a,Zfp385a
Itga5,Itga5
Gabra2,Gabra2
Wdr77,Wdr77
Adora3,Adora3
Atp5f1,Atp5f1
Sox9,Sox9
Hnrnpd,Hnrnpd
Dynlt1c,Dynlt1c
C1d,C1d
Gm2a,Gm2a
Krit1,Krit1
Clcn4-2,Clcn4-2
Vmn2r88,Vmn2r88
Grm6,Grm6
Sema4f,Sema4f
Hk2,Hk2
Myo18a,Myo18a
Sez6,Sez6
Haao,Haao
Cd52,Cd52
Abhd15,Abhd15
Hoxb6,Hoxb6
Loxl3,Loxl3
Tcl1b5,Tcl1b5
AC007307.1,AC007307.1
Btn1a1,Btn1a1
Kat2b,Kat2b
Rab5b,Rab5b
Cryba1,Cryba1
Dnmt3l,Dnmt3l
Aire,Aire
Icosl,Icosl
Spg7,Spg7
Sult5a1,Sult5a1
Rpl13,Rpl13
Chmp1a,Chmp1a
Rpa1,Rpa1
Serpinf1,Serpinf1
Tubgcp3,Tubgcp3
Oprm1,Oprm1
Polr3d,Polr3d
Tcf7,Tcf7
Ddx3x,Ddx3x
Il12rb1,Il12rb1
Slc5a5,Slc5a5
Kcnn3,Kcnn3
Usp32,Usp32
Car4,Car4
Txnrd3,Txnrd3
Fasl,Fasl
Znf512b,Znf512b
Dnajc5,Dnajc5
Tpd52l2,Tpd52l2
Fmr1,Fmr1
Bcl11a,Bcl11a
Il4,Il4
Pxmp4,Pxmp4
Dlg3,Dlg3
Gnb1l,Gnb1l
Dbh,Dbh
Mmp11,Mmp11
Smarcb1,Smarcb1
Vpreb3,Vpreb3
