source,target
256,1888
256,2929
256,2364
256,2769
256,530
256,535
256,1
256,676
256,734
256,812
256,813
256,6
256,1021
256,1047
256,1109
256,1138
256,1141
256,1142
256,1143
256,1160
256,1185
256,1222
256,1271
256,1378
256,1480
256,1492
256,1503
256,66
256,1524
256,1579
256,1581
256,1602
256,78
256,1634
256,1642
256,1679
256,1703
256,1847
256,1854
256,1883
256,1956
256,2017
256,2033
256,2086
256,2135
256,2137
256,2154
256,2202
256,2210
256,155
256,2303
256,2352
256,2362
256,2396
256,2419
256,2475
256,2497
256,2517
256,2568
256,2569
256,2626
256,2669
256,2742
256,2827
256,2878
256,2906
256,2907
256,2916
256,234
256,2944
256,2954
256,2955
256,2956
256,2959
256,2960
256,2962
256,2974
256,2992
256,3052
256,3076
256,3210
256,3235
256,3241
256,3244
256,3245
256,3264
256,3361
256,3486
256,3501
256,278
256,3505
256,3517
256,3518
256,3523
256,3590
256,3597
256,3610
256,3623
256,3681
256,3682
256,3687
256,3692
256,3743
256,3820
256,3974
256,4001
256,4005
256,4011
256,4012
256,4073
256,327
256,339
256,4150
256,4188
256,4191
256,4217
256,4219
256,4240
256,4335
256,370
256,4397
256,4427
256,4453
256,4543
256,4555
256,4612
256,4622
256,4646
256,4671
256,4707
256,4721
50,3188
50,4625
50,711
50,801
50,848
50,861
50,867
50,871
50,911
50,957
50,1041
50,1382
50,1482
50,1541
50,2215
50,2468
50,2531
50,2793
50,3195
50,3321
50,3724
50,4175
50,366
50,4534
50,4540
50,4663
50,419
88,484
88,859
88,37
88,90
88,2560
88,3055
88,3132
88,4134
88,4353
195,1912
195,1305
195,1047
195,1112
195,1192
195,48
195,1383
195,1524
195,77
195,1666
195,1741
195,1784
195,1985
195,2117
195,2168
195,2581
195,2721
195,2800
195,2803
195,2908
195,244
195,3142
195,3239
195,3330
195,3353
195,3458
195,3494
195,3543
195,3602
195,3818
195,3969
195,4015
195,4077
195,333
195,4210
195,4248
195,4355
195,4437
195,4603
195,4610
195,4723
196,2611
196,329
196,2789
196,469
196,487
196,516
196,533
196,734
196,999
196,1036
196,1047
196,1108
196,1117
196,1138
196,1209
196,1210
196,1250
196,1317
196,1414
196,1520
196,1532
196,1598
196,1609
196,1621
196,1634
196,1670
196,1688
196,1762
196,1784
196,1905
196,108
196,1936
196,1991
196,2000
196,122
196,124
196,2116
196,2121
196,2152
196,2154
196,2156
196,143
196,2396
196,2402
196,4748
196,2419
196,2475
196,2486
196,2497
196,2515
196,2568
196,2590
196,2600
196,2624
196,2644
196,2645
196,2669
196,2686
196,2733
196,2742
196,2782
196,2826
196,2829
196,2843
196,2886
196,230
196,2902
196,234
196,2932
196,2954
196,2956
196,2958
196,2960
196,2963
196,2964
196,2990
196,2991
196,2992
196,3064
196,254
196,3078
196,3079
196,3111
196,3125
196,3133
196,3175
196,3210
196,3275
196,264
196,268
196,3358
196,3361
196,3365
196,3370
196,3387
196,3501
196,278
196,3518
196,286
196,3598
196,3602
196,3692
196,3776
196,3790
196,3822
196,3979
196,4001
196,4005
196,4007
196,4008
196,4011
196,4013
196,4088
196,4118
196,4131
196,336
196,339
196,340
196,343
196,4183
196,4234
196,4240
196,4281
196,4443
196,4555
196,4556
196,4609
196,4618
196,4628
196,4656
196,4702
196,4724
196,4729
196,435
196,4746
111,1829
111,1173
111,3993
111,4579
111,3940
111,3084
111,4162
111,644
111,881
111,991
111,1368
111,1555
111,1627
111,1629
111,1676
111,110
111,3180
111,3186
111,3189
111,3532
111,3588
111,4057
111,4306
110,686
110,3332
110,1087
110,218
110,2620
110,3546
110,1907
110,4301
110,1388
110,2473
110,4250
110,479
110,490
110,567
110,616
110,627
110,628
110,632
110,648
110,655
110,657
110,670
110,683
110,717
110,759
110,771
110,773
110,814
110,832
110,834
110,836
110,839
110,840
110,852
110,895
110,896
110,925
110,1002
110,1035
110,1100
110,1180
110,1284
110,1350
110,54
110,1458
110,1490
110,1545
110,1547
110,1549
110,1550
110,1559
110,1562
110,1737
110,1747
110,1798
110,1799
110,1855
110,1944
110,1952
110,111
110,2044
110,2056
110,2073
110,2103
110,2379
110,2416
110,2429
110,2464
110,2465
110,2488
110,2617
110,2641
110,2663
110,2665
110,2673
110,2768
110,2812
110,2822
110,242
110,249
110,3048
110,3074
110,3099
110,3109
110,3169
110,3178
110,3183
110,3441
110,3508
110,3512
110,3757
110,3766
110,3834
110,3903
110,3909
110,3915
110,3933
110,3941
110,3951
110,4028
110,4252
110,4496
110,4580
110,4592
110,427
368,526
368,531
368,587
368,953
368,1134
368,1163
368,1198
368,47
368,1414
368,1415
368,1519
368,1520
368,1528
368,1569
368,77
368,1609
368,1697
368,1699
368,1772
368,1786
368,1940
368,2110
368,2154
368,2157
368,143
368,2206
368,2212
368,2398
368,2533
368,2569
368,2600
368,2742
368,2800
368,2833
368,231
368,2917
368,234
368,244
368,2933
368,2943
368,2957
368,2963
368,253
368,3061
368,254
368,3142
368,3305
368,3308
368,3343
368,3481
368,3505
368,283
368,284
368,3568
368,3677
368,3713
368,3721
368,3822
368,306
368,313
368,314
368,3976
368,3978
368,3980
368,4088
368,333
368,339
368,340
368,4185
368,4196
368,4210
368,4248
368,4325
368,4437
368,4531
368,4611
368,4615
368,4652
165,3243
151,3789
151,1933
151,2652
151,676
151,741
151,813
151,976
151,1225
151,1238
151,51
151,1291
151,1356
151,1411
151,1503
151,1525
151,1527
151,1539
151,1565
151,1602
151,1701
151,1702
151,1899
151,107
151,1956
151,2196
151,2201
151,2202
151,2203
151,2204
151,2207
151,2209
151,150
151,2210
151,2211
151,2213
151,2284
151,2352
151,2494
151,2555
151,2598
151,2676
151,2811
151,2953
151,3041
151,260
151,3244
151,3278
151,3300
151,3344
151,3483
151,3543
151,3590
151,3610
151,3622
151,3623
151,3631
151,3647
151,3653
151,296
151,3790
151,3823
151,305
151,3830
151,4001
151,4002
151,4011
151,4081
151,4082
151,4084
151,4085
151,4132
151,4139
151,339
151,344
151,364
151,4319
151,4355
151,4397
151,4453
151,372
151,4516
151,4609
151,4646
151,4670
151,4706
151,4707
151,4742
151,436
355,2088
355,2050
355,493
355,562
355,149
355,4472
330,2676
330,3150
330,2198
330,2575
330,3687
330,951
330,584
330,607
330,754
330,809
330,819
330,1266
330,1505
330,1804
330,1818
330,1947
330,1983
330,1987
330,2021
330,2065
330,2345
330,2467
330,2560
330,2870
330,247
330,3042
330,3086
330,3303
330,3471
330,3524
330,291
330,3917
330,3959
330,4094
330,4388
330,4482
130,1584
130,2463
130,2520
164,961
164,2000
164,3302
164,3644
164,274
164,1470
164,453
164,36
164,2022
164,2262
164,179
164,2544
164,2877
164,236
164,3293
164,3304
164,3581
164,3811
164,4157
164,403
113,2556
113,210
331,3101
331,2414
331,2388
331,883
331,1296
331,440
331,685
331,1789
331,3694
331,4089
331,2501
331,818
331,873
331,963
331,968
331,1086
331,1102
331,1103
331,1217
331,1368
331,1409
331,69
331,1633
331,1774
331,2132
