source,target,Input
Phf5a,Fgf1,-1
Phf5a,Kat2b,-1
Phf5a,Mtus1,-1
Phf5a,3110082I17Rik,1
Phf5a,Actl6a,1
Phf5a,Aimp1,1
Phf5a,Anln,1
Phf5a,Anp32b,1
Phf5a,Anp32e,1
Phf5a,Apex1,1
Phf5a,Arhgap11a,1
Phf5a,Aurka,1
Phf5a,Aurkb,1
Phf5a,Bms1,1
Phf5a,Bub1b,1
Phf5a,Bub3,1
Phf5a,C330027C09Rik,1
Phf5a,Cbx1,1
Phf5a,Ccdc34,1
Phf5a,Ccnb1,1
Phf5a,Ccne1,1
Phf5a,Ccne2,1
Phf5a,Cct2,1
Phf5a,Cct5,1
Phf5a,Cct6a,1
Phf5a,Cct7,1
Phf5a,Cdc123,1
Phf5a,Cdc45,1
Phf5a,Cdc6,1
Phf5a,Cdca2,1
Phf5a,Cdca4,1
Phf5a,Cdca5,1
Phf5a,Cdca7,1
Phf5a,Cdca8,1
Phf5a,Cdk4,1
Phf5a,Cdt1,1
Phf5a,Cenpe,1
Phf5a,Cenph,1
Phf5a,Cenpq,1
Phf5a,Chaf1b,1
Phf5a,Chchd4,1
Phf5a,Clns1a,1
Phf5a,Clspn,1
Phf5a,Cse1l,1
Phf5a,Dap3,1
Phf5a,Dcaf13,1
Phf5a,Dcp2,1
Phf5a,Ddx1,1
Phf5a,Ddx39,1
Phf5a,Dis3,1
Phf5a,Dkc1,1
Phf5a,Dlgap5,1
Phf5a,Dnajc9,1
Phf5a,Dnmt1,1
Phf5a,Dsn1,1
Phf5a,Dtymk,1
Phf5a,Dut,1
Phf5a,Eftud2,1
Phf5a,Eif3g,1
Phf5a,Ezh2,1
Phf5a,Farsb,1
Phf5a,Fbl,1
Phf5a,Fbxo5,1
Phf5a,Fignl1,1
Phf5a,Gar1,1
Phf5a,Gins1,1
Phf5a,Gmnn,1
Phf5a,Gnl3,1
Phf5a,Grwd1,1
Phf5a,H2afx,1
Phf5a,H2afz,1
Phf5a,Hat1,1
Phf5a,Hells,1
Phf5a,Hirip3,1
Phf5a,Hnrnpa1,1
Phf5a,Hnrnpm,1
Phf5a,Ilf3,1
Phf5a,Impdh2,1
Phf5a,Kars,1
Phf5a,Kif22,1
Phf5a,Kif4,1
Phf5a,Kifc5b,1
Phf5a,Kpna2,1
Phf5a,Larp7,1
Phf5a,Lig1,1
Phf5a,Lyar,1
Phf5a,Mad2l1,1
Phf5a,Mak16,1
Phf5a,Mcm2,1
Phf5a,Mcm3,1
Phf5a,Mcm4,1
Phf5a,Mcm5,1
Phf5a,Mcm6,1
Phf5a,Mcm7,1
Phf5a,Melk,1
Phf5a,Mphosph6,1
Phf5a,Msh6,1
Phf5a,Mtf2,1
Phf5a,Mthfd1l,1
Phf5a,Mybl2,1
Phf5a,Naa38,1
Phf5a,Ncapd2,1
Phf5a,Ncapg2,1
Phf5a,Ncaph,1
Phf5a,Ncaph2,1
Phf5a,Ndc80,1
Phf5a,Ngdn,1
Phf5a,Nmral1,1
Phf5a,Nob1,1
Phf5a,Noc4l,1
Phf5a,Nop56,1
Phf5a,Npm1,1
Phf5a,Nudt1,1
Phf5a,Nup107,1
Phf5a,Nup155,1
Phf5a,Nup205,1
Phf5a,Nup37,1
Phf5a,Nup43,1
Phf5a,Nup62,1
Phf5a,Nup85,1
Phf5a,Nup93,1
Phf5a,Nusap1,1
Phf5a,Odc1,1
Phf5a,Orc6,1
Phf5a,Pbk,1
Phf5a,Pcbp1,1
Phf5a,Plk4,1
Phf5a,Plrg1,1
Phf5a,Pold1,1
Phf5a,Pold3,1
Phf5a,Polr1c,1
Phf5a,Polr2b,1
Phf5a,Polr2d,1
Phf5a,Ppan,1
Phf5a,Prc1,1
Phf5a,Prim1,1
Phf5a,Psat1,1
Phf5a,Psma5,1
Phf5a,Psmd14,1
Phf5a,Racgap1,1
Phf5a,Rbm14,1
Phf5a,Rbm8a,1
Phf5a,Rbmx2,1
Phf5a,Rbmxl1,1
Phf5a,Rcc2,1
Phf5a,Rfc2,1
Phf5a,Rfc4,1
Phf5a,Rfc5,1
Phf5a,Rfwd3,1
Phf5a,Rnaseh2b,1
Phf5a,Rnps1,1
Phf5a,Rpa1,1
Phf5a,Rpa2,1
Phf5a,Rpl15,1
Phf5a,Rpl31,1
Phf5a,Rrp15,1
