source,target
260,1897
260,2442
260,2923
260,490
260,571
260,639
260,711
260,714
260,715
260,5
260,767
260,885
260,886
260,942
260,971
260,972
260,989
260,1047
260,1055
260,1071
260,1075
260,1076
260,1086
260,1089
260,1090
260,1091
260,1132
260,1145
260,1146
260,1147
260,1149
260,1150
260,1151
260,1153
260,1166
260,1175
260,1181
260,1182
260,1185
260,1205
260,1208
260,1261
260,1266
260,1385
260,1474
260,1483
260,1489
260,65
260,1508
260,1552
260,1553
260,1559
260,1577
260,71
260,1616
260,1623
260,1632
260,1676
260,1703
260,101
260,1848
260,1854
260,1876
260,1911
260,1995
260,2033
260,2065
260,2082
260,2144
260,2185
260,2188
260,2197
260,136
260,2235
260,2250
260,2258
260,159
260,2370
260,2440
260,2487
260,2494
260,2497
260,2516
260,2544
260,2571
260,2650
260,2664
260,2675
260,2727
260,2728
260,2729
260,2730
260,2731
260,2732
260,2756
260,2840
260,2903
260,2915
260,2918
260,218
260,2975
260,2997
260,2998
260,2999
260,3000
260,3016
260,3072
260,3094
260,3097
260,3099
260,3108
260,241
260,3154
260,3163
260,3165
260,3166
260,3168
260,3169
260,3172
260,3173
260,3174
260,3175
260,3189
260,3205
260,3267
260,3270
260,3435
260,3441
260,3472
260,3474
260,3478
260,3482
260,3483
260,3502
260,3553
260,3562
260,3600
260,3606
260,3621
260,3707
260,3750
260,3764
260,3767
260,289
260,3775
260,3789
260,3791
260,3792
260,3796
260,3830
260,3859
260,3864
260,3865
260,3875
260,3888
260,3947
260,3948
260,3960
260,4017
260,4077
260,4127
260,4223
260,4249
260,4251
260,4256
260,4257
260,352
260,4400
260,4417
260,365
260,4421
260,4462
260,4465
260,4494
260,4496
260,4518
260,4641
260,401
260,4690
260,4694
260,4731
260,4749
260,4775
260,407
260,4856
260,4900
260,4917
260,4952
260,4970
260,5009
260,5028
260,5039
50,3266
50,1903
50,3410
50,1226
50,3011
50,3973
50,4447
50,1106
50,4925
50,623
50,749
50,775
50,838
50,963
50,1215
50,1396
50,3423
50,3563
50,3996
50,4442
50,394
50,4997
87,586
87,686
87,778
87,924
87,1002
87,1004
87,1130
87,1283
87,1304
87,1392
87,1410
87,1463
87,1595
87,1608
87,1733
87,1740
87,91
87,1858
87,1896
87,102
87,1930
87,1932
87,1968
87,118
87,2027
87,2072
87,2108
87,2172
87,2280
87,2302
87,2326
87,2475
87,2569
87,2575
87,2619
87,2631
87,2737
87,2907
87,2934
87,2938
87,2949
87,233
87,3113
87,3134
87,3363
87,3448
87,3449
87,3469
87,3531
87,3561
87,3663
87,3716
87,3735
87,3795
87,3860
87,304
87,3974
87,4110
87,4120
87,4190
87,337
87,338
87,340
87,4284
87,4469
87,4484
87,4489
87,4515
87,4530
87,4554
87,4566
87,4574
87,4890
87,4932
219,458
219,1769
219,2819
219,2918
219,3929
219,4242
219,341
399,1156
399,4180
399,689
399,1025
399,1254
399,1373
399,1602
399,1672
399,1855
399,183
399,2522
399,2536
399,2564
399,2703
399,2928
399,2943
399,2950
399,3056
399,3461
399,3551
399,3569
399,3639
399,3809
399,3971
399,4047
399,4099
399,4114
399,4304
399,4433
399,4537
399,4876
202,2779
202,354
202,2960
202,476
202,482
202,639
202,711
202,914
202,955
202,970
202,971
202,972
202,989
202,1053
202,1071
202,1086
202,1146
202,1182
202,1195
202,1196
202,1205
202,1241
202,1315
202,1429
202,1504
202,1515
202,1573
202,1585
202,1607
202,1623
202,1665
202,1667
202,1690
202,1729
202,1769
202,1790
202,1920
202,116
202,1965
202,2033
202,2034
202,2036
202,2045
202,126
202,128
202,2165
202,2196
202,2197
202,2199
202,136
202,148
202,2485
202,2487
202,2497
202,2516
202,2520
202,2544
202,2630
202,2650
202,2664
202,2672
202,2728
202,2731
202,2751
202,2756
202,2765
202,2794
202,2817
202,2840
202,2891
202,2903
202,2940
202,2975
202,3002
202,3016
202,3023
202,3080
202,241
202,3138
202,3165
202,3168
202,3169
202,3171
202,3173
202,3205
202,3281
202,257
202,3293
202,3294
202,3330
202,3335
202,3351
202,3435
202,3441
202,3480
202,3510
202,270
202,277
202,3604
202,3606
202,3610
202,3616
202,3707
202,3710
202,3764
202,3767
202,289
202,3790
202,3791
202,3836
202,3866
202,3867
202,3960
202,4043
202,4057
202,4079
202,4127
202,4223
202,4226
202,4249
202,4251
202,4253
202,4254
202,4256
202,4258
202,345
202,4335
202,4371
202,4387
202,362
202,365
202,366
202,4473
202,4509
202,4518
202,4570
202,4694
202,4763
202,4862
202,4863
202,4913
202,4920
202,4923
202,4927
202,4929
202,4991
202,5039
202,5040
407,1498
407,4706
407,1369
407,4584
407,2248
407,4822
407,2159
407,3301
407,417
407,185
407,2359
407,2219
407,1971
407,706
407,1566
407,498
407,1498
407,180
407,4463
407,494
407,509
407,640
407,681
407,701
407,711
407,714
407,751
407,767
407,828
407,832
407,839
407,885
407,886
407,931
407,970
407,971
407,975
407,989
407,1055
407,1070
407,1071
407,1072
407,1075
407,1076
407,1077
407,1086
407,1134
407,1136
407,1145
407,1146
407,1147
407,1148
407,1149
407,1150
407,1151
407,1153
407,1158
407,1166
407,1174
407,1175
407,1179
407,1181
407,1182
407,1183
407,1184
407,1186
407,1188
407,1205
407,1211
407,1235
407,1236
407,1241
407,1242
407,1266
407,1487
407,1508
407,1527
407,1552
407,1559
407,71
407,1616
407,1623
407,1632
407,1655
407,1676
407,1700
407,1776
407,101
407,1816
407,1842
407,1854
407,1876
407,1911
407,109
407,2033
407,2034
407,2035
407,126
407,2167
407,2185
407,2197
407,2200
407,136
407,2235
407,148
407,2240
407,2246
407,2247
407,2259
407,2370
407,2371
407,2480
407,2482
407,2485
407,2486
407,2487
407,2488
407,2492
407,2494
407,2497
407,2516
407,2518
407,2571
407,2586
407,2587
407,2628
407,2664
407,2727
407,2728
407,2729
407,2730
407,2731
407,2732
407,2736
407,2756
407,2796
407,2903
407,2915
407,215
407,218
407,2992
407,2997
407,2998
407,2999
407,3016
407,3057
407,3074
407,3109
407,241
407,3133
407,3160
407,3163
407,3165
407,3166
407,3168
407,3169
407,3172
407,3174
407,3175
407,3178
407,3205
407,3267
407,257
407,3370
407,3400
407,3434
407,3435
407,3472
407,3511
407,3520
407,3553
407,3562
407,3590
407,3632
407,3707
407,3710
407,3718
407,3748
407,3774
407,3775
407,3790
407,3791
407,3792
407,3865
407,3866
407,3942
407,3943
407,306
407,314
407,4079
407,4127
407,4135
407,327
407,4223
407,4225
407,4251
407,4254
407,4256
407,4257
407,4258
407,4282
407,4289
407,4326
407,352
407,4368
407,4396
407,4417
407,365
407,4457
407,4458
407,4465
407,384
407,4518
407,4520
407,395
407,4639
407,397
407,4641
407,4663
407,401
407,4690
407,4694
407,4741
407,4768
407,4784
407,4846
407,5039
120,1831
120,1156
120,4239
120,4893
120,4180
120,4431
120,543
120,727
120,1282
120,1373
120,1535
120,1597
120,1612
120,1617
120,1672
120,1855
120,1856
120,119
120,2339
120,2346
120,2500
120,2522
120,2598
120,2676
120,2762
120,2943
120,2962
120,2973
120,3337
120,3401
120,3407
120,3411
120,3569
120,3809
120,3858
120,4047
120,4114
120,4304
120,379
120,4601
120,4833
119,585
119,3578
119,1019
119,227
119,2790
119,4287
119,4526
119,2401
119,2112
119,4644
119,4275
119,1923
119,4593
119,3412
119,1401
119,1847
119,495
119,2610
119,1835
119,580
119,477
119,4529
119,3317
119,1626
119,2113
119,3846
119,4175
119,3378
119,464
119,553
119,565
119,661
119,671
119,716
119,753
119,818
119,1034
119,1337
119,1528
119,1532
