pathway	gene
2-Oxocarboxylic acid metabolism	Bckdhb
2-Oxocarboxylic acid metabolism	Idh3a
2-Oxocarboxylic acid metabolism	Pdha1
2-Oxocarboxylic acid metabolism	Bcat2
2-Oxocarboxylic acid metabolism	Idh3g
2-Oxocarboxylic acid metabolism	Dld
2-Oxocarboxylic acid metabolism	Bcat1
2-Oxocarboxylic acid metabolism	Gpt
2-Oxocarboxylic acid metabolism	Nags
2-Oxocarboxylic acid metabolism	Acy1
2-Oxocarboxylic acid metabolism	Ogdh
2-Oxocarboxylic acid metabolism	Got1
2-Oxocarboxylic acid metabolism	Idh3b
2-Oxocarboxylic acid metabolism	Agxt
2-Oxocarboxylic acid metabolism	Ogdhl
2-Oxocarboxylic acid metabolism	Cs
2-Oxocarboxylic acid metabolism	Idh2
2-Oxocarboxylic acid metabolism	Agxt2
2-Oxocarboxylic acid metabolism	Idh1
2-Oxocarboxylic acid metabolism	Gpt2
2-Oxocarboxylic acid metabolism	Aco1
2-Oxocarboxylic acid metabolism	4933405O20Rik
2-Oxocarboxylic acid metabolism	Dlst
2-Oxocarboxylic acid metabolism	Got2
2-Oxocarboxylic acid metabolism	Dhtkd1
2-Oxocarboxylic acid metabolism	Got1l1
2-Oxocarboxylic acid metabolism	Aco2
2-Oxocarboxylic acid metabolism	Bckdha
2-Oxocarboxylic acid metabolism	Aadat
2-Oxocarboxylic acid metabolism	Dlat
2-Oxocarboxylic acid metabolism	Csl
2-Oxocarboxylic acid metabolism	Dbt
2-Oxocarboxylic acid metabolism	Pdha2
2-Oxocarboxylic acid metabolism	Pdhb
ABC transporters	Abcb5
ABC transporters	Abcb4
ABC transporters	Abca15
ABC transporters	Abcb1a
ABC transporters	Abcg3
ABC transporters	Defb1
ABC transporters	Abcc2
ABC transporters	Abca8a
ABC transporters	Abcg1
ABC transporters	Abcc6
ABC transporters	Abcb8
ABC transporters	Abcg4
ABC transporters	Abcd4
ABC transporters	Cftr
ABC transporters	Abca2
ABC transporters	Abca9
ABC transporters	Abca3
ABC transporters	Abca13
ABC transporters	Abcc1
ABC transporters	Abcc4
ABC transporters	Abca16
ABC transporters	Defb11
ABC transporters	Abcb11
ABC transporters	Abca14
ABC transporters	Abcb1b
ABC transporters	Abca1
ABC transporters	Abca8b
ABC transporters	Abcb9
ABC transporters	Abcd2
ABC transporters	Abcc12
ABC transporters	Abca4
ABC transporters	Tap1
ABC transporters	Tap2
ABC transporters	Abcb7
ABC transporters	Abcd3
ABC transporters	Abcc5
ABC transporters	Abcg2
ABC transporters	Abcc8
ABC transporters	Abcg5
ABC transporters	Abca12
ABC transporters	Abca7
ABC transporters	Defb10
ABC transporters	Abca5
ABC transporters	Abca6
ABC transporters	Abca17
ABC transporters	Abcb6
ABC transporters	Abcg8
ABC transporters	Abcc10
ABC transporters	Abcb10
ABC transporters	Abcd1
ABC transporters	Abcc9
ABC transporters	Abcc3
Activin signaling	Acvr1b
Activin signaling	Inhbe
Activin signaling	Smad3
Activin signaling	Acvr2b
Activin signaling	Inhba
Activin signaling	Inhbb
Activin signaling	Inhbc
Activin signaling	Acvr2a
Activin signaling	Smad4
Activin signaling	Smad2
Acylglycerol degradation	Lipf
Acylglycerol degradation	Mgll
Acylglycerol degradation	Pnpla2
Acylglycerol degradation	Pnliprp1
Acylglycerol degradation	Cel
Acylglycerol degradation	Pnpla3
Acylglycerol degradation	Pnlip
Acylglycerol degradation	Lipg
Acylglycerol degradation	Lipc
Acylglycerol degradation	Pnliprp2
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Ak9
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Ak8
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Adssl1
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Adsl
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Ak3
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Nme3
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Ak4
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Adss
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Ak2
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Nme2
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Nme7
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Pkm
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Nme1
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Nme4
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Pklr
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Nme6
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Ak1
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Ak5
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Ak6
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Ak7
Adherens junction	Nectin2
Adherens junction	Myl10
Adherens junction	Rac2
Adherens junction	Afdn
Adherens junction	Ptpn6
Adherens junction	Lef1
Adherens junction	Krit1
Adherens junction	Fyn
Adherens junction	Myl12b
Adherens junction	Myl7
Adherens junction	Nectin4
Adherens junction	Nectin1
Adherens junction	Fgfr1
Adherens junction	Vcl
Adherens junction	Snai1
Adherens junction	Lmo7
Adherens junction	Rac1
Adherens junction	Was
Adherens junction	Rasip1
Adherens junction	Met
Adherens junction	Ctnnd1
Adherens junction	Cdc42
Adherens junction	Rock2
Adherens junction	Ssx2ip
Adherens junction	Ctnna2
Adherens junction	Myl12a
Adherens junction	Ptprj
Adherens junction	Smad2
Adherens junction	Ctnnb1
Adherens junction	Baiap2
