Source,Target,PValue
Ehf,Sytl2,0.0
5730559C18Rik,Sox9,0.0
5730559C18Rik,Creb3l1,0.0
Car4,Lass4,0.0
Ccdc68,Elf3,0.0
Elf3,Gal3st1,0.0
Elf3,Krt7,0.0
Elf3,Ptger4,0.0
Elf3,Serinc2,0.0
Erbb2,Zfp367,0.0
Erbb2,Hes1,0.0
Gal3st1,Klf5,0.0
Gal3st1,Jarid2,0.0
Gipc2,Fosl2,0.0
Gpa33,Sox9,0.0
Klf5,Ptger4,0.0
Krt7,Zbtb8a,0.0
Liph,Elf1,0.0
Parm1,Gli2,0.0
Ptger4,Jarid2,0.0
Slc44a4,Creb3l1,0.0
Sri,Irf2,0.0
Sri,Irf9,0.0
Sytl2,Ets2,0.0
Trpm4,Cc2d1a,0.0
Apex1,Rad54l,0.0
Arhgap11a,Crebl2,0.0
Blm,Stat3,0.0
Blm,Pbk,0.0
Blm,Pola1,0.0
Blm,Rrm2,0.0
Bms1,Ssrp1,0.0
Brca2,Cdc45,0.0
Brca2,Pbk,0.0
Cbx1,Stat3,0.0
Cbx1,Zfp36,0.0
Cbx1,Irf9,0.0
Cdc45,Rfc1,0.0
Cdc45,Brip1,0.0
Cdc45,Hells,0.0
Cdc45,Hdac1,0.0
Cdc45,E2f8,0.0
Cdc6,Dnmt1,0.0
Cdc7,Ssrp1,0.0
Cdc7,Dnmt1,0.0
Cdc7,Tmpo,0.0
Cdc7,Rbmxl1,0.0
Cdca4,Smarce1,0.0
Cdca5,Uhrf1,0.0
Cdca5,Rora,0.0
Cdca8,Ssrp1,0.0
Cdca8,Dnmt1,0.0
Cdk4,Hmgb1,0.0
Cdk4,Rbmxl1,0.0
Cdt1,E2f3,0.0
Cenpi,Ruvbl2,0.0
Cenpi,Ttf2,0.0
Cenpq,Dnajc2,0.0
Chek1,Adnp2,0.0
Clspn,Set,0.0
Dctd,Hmga2,0.0
Ddx11,Stat3,0.0
Ddx11,Dnmt1,0.0
Dis3,Uhrf1,0.0
Dlgap5,Tfdp1,0.0
Dnajc9,Ssrp1,0.0
Dnajc9,Taf5,0.0
Dnmt1,Top2a,0.0
Dnmt1,Mybl2,0.0
Dnmt1,Ctbp1,0.0
Dnmt1,Espl1,0.0
Dnmt1,Oip5,0.0
Dnmt1,Palb2,0.0
Dnmt1,Pask,0.0
Dnmt1,Rfc5,0.0
Dnmt1,Rps6ka6,0.0
Dnmt1,Taf5,0.0
Dnmt1,Ube2t,0.0
Dnmt1,Zwilch,0.0
Dscc1,Uhrf1,0.0
Dsn1,Klf9,0.0
Dsn1,Taf5,0.0
Dtl,Tgif2,0.0
E2f7,Mtbp,0.0
E2f7,Pole,0.0
E2f7,Ttf2,0.0
Eme1,Ssrp1,0.0
Ercc6l,Ruvbl2,0.0
Exo1,Uhrf1,0.0
Ezh2,Tpx2,0.0
Fbl,Nfx1,0.0
Fbl,Trim28,0.0
Fen1,Ruvbl2,0.0
Fignl1,Pa2g4,0.0
Fignl1,Hdac1,0.0
Gins1,Tmpo,0.0
Hat1,Stat3,0.0
Hells,Serping1,0.0
Hells,Mr1,0.0
Hells,Hfe,0.0
Hells,Bzw2,0.0
Hells,Racgap1,0.0
Hirip3,Tmpo,0.0
Kif4,Mcm8,0.0
Kntc1,Stat3,0.0
Mcm3,Cdc5l,0.0
Mcm4,Uhrf1,0.0
Mcm6,Hdac1,0.0
Melk,Zfp711,0.0
Mms22l,Uhrf1,0.0
Mre11a,Uhrf1,0.0
Mybl2,Gstm2,0.0
Mybl2,Serping1,0.0
Mybl2,Coch,0.0
Mybl2,Lmnb2,0.0
Mybl2,Skp2,0.0
Ncapg,Tgif2,0.0
Nob1,Tada2a,0.0
Npm1,Serbp1,0.0
Nsmce2,Rfc1,0.0
Nup107,Uhrf1,0.0
Nup205,Foxm1,0.0
Nup205,Taf4b,0.0
Nup37,Stat3,0.0
Nup43,Stat3,0.0
Nup43,Zfp36,0.0
Oip5,Stat3,0.0
Oip5,Tfdp1,0.0
Orc6,Uhrf1,0.0
Pbk,Klf9,0.0
Pola1,Top2a,0.0
Pola1,Rbbp5,0.0
Pold1,Tfdp1,0.0
Pold1,Rbmxl1,0.0
Pold1,Pcna,0.0
Prim1,Adnp2,0.0
Racgap1,Brip1,0.0
Racgap1,E2f8,0.0
Rbmxl1,Mcm8,0.0
Rbmxl1,Smarce1,0.0
Rbmxl1,Ctps,0.0
Rbmxl1,Mettl2,0.0
Rbmxl1,Psmc3ip,0.0
Rbmxl1,Rps6ka6,0.0
Rbmxl1,Gtf2e1,0.0
Rcc2,Tcf3,0.0
Rfc4,Zfp184,0.0
Rfc4,Zfp711,0.0
Rnps1,Ppp1r8,0.0
Rpa2,Uhrf1,0.0
Rps6ka6,Stat3,0.0
Scml2,Smarca1,0.0
