GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
0610031J06Rik,0.5906381,0.9210234,0.7502378,0.8161364,0.72334594,0.84899855,0.717389,0.871669,0.7576517,0.8168894,0.75023794,0.81613666,0.73839575,0.80324775
A930001N09Rik,0.6112628,0.36773238,0.6021228,0.43527147,0.60052735,0.43745658,0.60338664,0.4399806,0.6033867,0.4399806,0.601416,0.43611786,0.56720436,0.5060618
Abt1,0.29663903,-0.069281146,0.29663903,-0.069281146,0.29663903,-0.069281146,0.29663903,-0.069281146,0.29663903,-0.069281146,0.29663903,-0.069281146,0.29663903,-0.069281146
Adar,0.54186463,0.1872133,0.57381284,0.11269564,0.57381284,0.11269561,0.5738128,0.1126956,0.5738129,0.11269563,0.5738129,0.11269561,0.55456245,0.16982293
Adnp2,0.8546524,0.25361794,0.8061007,0.53692025,0.7863834,0.56107473,0.77589166,0.6180694,0.8123512,0.53305954,0.8125123,0.5113007,0.82851565,0.44465628
Aebp1,0.48644978,2.5406883,1.3456333,1.264036,1.4477077,1.0879095,1.4477075,1.0879093,1.4477079,1.0879095,1.4477075,1.0879092,1.4477078,1.0879096
Aebp2,0.781533,0.66482145,0.7948624,0.66200954,0.7804953,0.6917175,0.60410714,0.97315425,0.63069165,0.9138362,0.631423,0.9103767,0.84878063,0.59029704
Ahctf1,0.5568015,0.61350125,0.53405976,0.6882116,0.530684,0.6928349,0.47861975,0.8129888,0.5333776,0.6942075,0.5434339,0.66760874,0.63273853,0.5140651
Ahr,0.41193938,0.7414241,0.4579383,0.6850116,0.46414042,0.6765176,0.46414042,0.6765176,0.4717363,0.6661147,0.4717362,0.6661146,0.47173637,0.6661147
Ahrr,1.3820325,0.3229998,1.3820325,0.32299986,1.3820325,0.32299992,1.3820323,0.3229999,1.3820329,0.32299975,1.3820323,0.3229999,1.3820325,0.32299986
Aire,0.39433163,0.5898122,0.38427234,0.6035888,0.3529681,0.68194604,0.3529681,0.6819461,0.17342621,0.9301682,0.20462316,0.85296535,0.3480699,0.6734804
Akna,0.6722251,-0.033091553,0.6722251,-0.033091567,0.67222506,-0.033091567,0.4393561,0.33208126,0.43935603,0.3320813,0.4393561,0.33208126,0.6722251,-0.033091553
Ankrd1,1.2270479,0.21159321,1.2799596,0.21699065,1.2853618,0.20959216,1.2853621,0.20959216,1.2853619,0.20959213,1.2853618,0.20959213,1.285362,0.20959216
