TF,PValue,Label
Snai2,6.6667,1
Gli3,45.6667,1
Yap1,132.3333,1
Sall4,146.3333,1
Tcf7l1,149.5,1
Lhx1,181.5,1
Tet1,198.8333,1
Arid4b,199.5,1
Nfatc1,296.3333,1
Cdkn2a,314.1667,1
Esrrb,665.1667,1
Jdp2,672.3333,1
Klf4,700.0,1
Nr5a2,775.8333,1
Glis1,1069.3333,1
Myc,1178.5,1
Ddx20,29.0,0
Blm,46.1667,0
Pcna,50.5,0
Rfc1,81.1667,0
Phf5a,159.8333,0
Dnmt1,218.3333,0
Tead2,351.8333,0
Pnn,416.1667,0
Rps3,502.6667,0
Tead1,582.5,0
Dnmt3b,588.3333,0
Thoc1,594.3333,0
Sphk1,746.8333,0
Xrcc6,833.5,0
C1d,850.0,0
Dnmt3a,878.1667,0
Xrcc5,884.8333,0
Terf2ip,1098.1667,0
Prkdc,1246.6667,0
Tead3,1297.5,0
