GeneSymbol,PValue
Psmc3ip,0.0
Gjc1,0.0
Brip1,0.0
Smarca5,0.0
Wnt5a,0.0
Ddx1,0.0
Prdm5,0.0
Gli1,0.0
Tfdp1,0.0
Tcf7l1,0.0
Bnc2,0.0
Foxh1,0.0
Foxs1,0.0
Hnrpdl,0.0
Fzd2,0.0
Yap1,0.0
Gli3,0.0
Prrx2,0.0
Npm1,0.0
Meis1,0.0
Tardbp,0.0
Zfp532,0.0
Brca2,0.0
Brca1,0.0
Rfc1,0.0
Zfp58,0.0
Pcna,0.0
Ddx20,0.0
Cnbp,0.0
Irx3,0.0
Rbmxl1,0.0
Hoxa5,0.0
Xpo1,0.0
Ash2l,0.0
Zeb2,0.0
Zfpm2,0.0
Hoxb3,0.0
Scx,0.0
Hmgb2,0.0
Igfbp5,0.0
Zfhx3,0.0
Ttf2,0.0
Tgif2,0.0
Nid2,0.0
Ezh2,0.0
Dnmt1,0.0
Foxm1,0.0
Tmem45a,0.0
Zfp553,0.0
Suz12,0.0
Trim28,0.0
Hic1,0.0
Aebp1,0.0
Nolc1,0.0
Hmgb1,0.0
Top2a,0.0
Mmp2,0.0
Taf5,0.0
Blm,0.0
Fgfr1,0.0
Pa2g4,0.0
Tead2,0.0
Mybbp1a,0.0
Ruvbl2,0.0
Nat14,0.0
Zfp184,0.0
Plagl1,0.0
Uhrf1,0.0
Nkrf,0.0
Twist2,0.0
Hdac1,0.0
Rbbp8,0.0
Tmpo,0.0
Tada2a,0.0
Adamts9,0.0
Cdc5l,0.0
Smarcc1,0.0
Nfib,0.0
E2f8,0.0
Twist1,0.0
Rarg,0.0
Stat3,0.0
Tceanc,0.0
Zkscan14,0.0
Hdac2,0.0
Hells,0.0
Hoxa1,0.0
Zfp521,0.0
Tead1,0.0
Snai2,0.0
Rbbp5,0.0
Mybl2,0.0
Mcm8,0.0
Set,0.0
Apex1,0.0
Snai1,0.0
Itm2a,0.0
Gli2,0.0
Nr2f2,0.0
Ssrp1,0.0
Zfp292,0.001
Klf9,0.001
Lpar4,0.001
Hoxb4,0.001
Hoxa2,0.001
Vasn,0.001
BC055324,0.001
Serpinh1,0.001
Prdm9,0.001
Ppic,0.001
Sulf1,0.001
Zfp711,0.001
Gtf2e2,0.001
Mta1,0.001
Bhlha15,0.001
Prrx1,0.001
Pax1,0.001
Rbmx,0.001
Mtf1,0.002
Pdgfra,0.002
Col5a1,0.002
Ppp1r8,0.002
Fstl1,0.002
Gata6,0.002
Col3a1,0.002
Snrpe,0.002
Arnt2,0.002
Col1a1,0.002
