GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
0610031J06Rik,0.86516875,-0.33664846,0.88563615,-0.29306787,0.88916844,-0.27793038,0.90481097,-0.2746746,0.9048111,-0.27467465,0.8849135,-0.28342026,0.87180907,-0.33748755
A930001N09Rik,0.7326426,-0.017899264,0.69950265,-0.1797989,0.699436,-0.18328144,0.6887254,-0.25233206,0.6928352,-0.24019088,0.68133837,-0.2534658,0.6845714,-0.16549131
Abt1,0.28619176,0.0775137,0.28619176,0.0775137,0.28619176,0.0775137,0.28619176,0.0775137,0.28619176,0.0775137,0.28619176,0.0775137,0.28619176,0.0775137
Adar,0.5260671,0.011997674,0.54183877,0.08241625,0.5231637,0.05767278,0.51548594,0.032912973,0.5154858,0.032912977,0.5154858,0.032912992,0.5154859,0.032912996
Adnp2,0.9254419,0.09619757,0.60175157,-0.906374,0.68922275,-0.6888335,0.6375016,-0.90247697,0.67783093,-0.83207864,0.6250353,-0.8771347,0.63181853,-0.91052526
Aebp1,0.55350494,-1.837593,1.6966622,-0.25118724,1.6974545,-0.24659358,1.7613754,-0.09281723,1.7613757,-0.09281728,1.7613757,-0.09281722,1.7613752,-0.09281728
Aebp2,0.9295276,-0.11894663,0.91407627,-0.21954201,0.75348884,-0.5332365,0.75886065,-0.5312025,0.7691068,-0.47830182,0.7605699,-0.49372202,0.9066703,-0.22042201
Ahctf1,0.7309743,-0.1653564,0.64151496,-0.43297836,0.63608485,-0.4648381,0.64309365,-0.4613142,0.64852387,-0.42945448,0.641515,-0.4329784,0.66022587,-0.33035353
Ahr,0.6539401,-0.24215256,0.7237989,-0.13685603,0.72895104,-0.1203772,0.73338896,-0.10436623,0.7333891,-0.10436624,0.733389,-0.10436623,0.73083156,-0.10489571
Ahrr,1.4625063,0.068612,1.4625063,0.06861201,1.4625065,0.068612,1.4625065,0.06861201,1.4625065,0.06861201,1.4625063,0.068612,1.4625065,0.068612
Aire,0.6853535,-0.061799247,0.6239005,-0.19749312,0.6239006,-0.19749312,0.6181052,-0.18881874,0.49697125,-0.4444264,0.40618736,-0.43024704,0.52874106,-0.37645417
Akna,0.6339423,0.13503055,0.63394225,0.13503055,0.4415354,-0.23538564,0.44153535,-0.23538564,0.4415354,-0.23538558,0.4415354,-0.23538558,0.63394225,0.13503055
Ankrd1,1.0169876,-0.19328685,1.0791609,-0.21215273,1.2564785,0.13231212,1.2588983,0.14531133,1.2588983,0.14531134,1.2588985,0.14531133,1.2588985,0.14531131
