TF,PValue,Label
Tcf7l1,2.3333,1
Snai2,2.8333,1
Gli3,5.3333,1
Nfatc1,6.1667,1
Lhx1,6.8333,1
Stat4,8.0,0
Cdkn2a,8.5,0
Ruvbl2,9.3333,0
Hdac2,9.3333,0
Taf5,9.8333,0
Blm,10.0,0
Rbmxl1,10.0,0
Gtf2e1,10.0,0
Bptf,10.1667,0
Rfc1,10.1667,0
Brca1,10.1667,0
Tnfaip3,10.3333,0
Ddx20,10.3333,0
Smarca5,10.5,0
Pcna,10.5,0
Brip1,10.5,0
Cbx2,10.6667,0
Gtf2e2,10.6667,0
Smarcc1,10.6667,0
Apex1,10.8333,0
Yap1,107.1667,0
Gtf2b,110.1667,0
Mbd3,110.5,0
E2f1,111.3333,0
Irf9,111.6667,0
Hmga2,111.8333,0
Stat6,112.5,0
Zfp28,112.5,0
Psip1,112.5,0
Zik1,112.6667,0
Gtf2f2,112.8333,0
Nr3c1,112.8333,0
Trp53,113.3333,0
Sin3a,113.3333,0
Zfp39,113.3333,0
E2f4,113.5,0
Phf5a,113.5,0
Zfp182,113.5,0
Brca2,113.6667,0
Ttf2,113.6667,0
Kdm2b,113.6667,0
Zfp647,113.8333,0
Zfp26,113.8333,0
Myb,114.0,0
Ezh2,114.0,0
Tead2,171.0,0
Runx1,171.8333,0
Smarca1,171.8333,0
Cebpb,172.0,0
Rest,172.3333,0
Ldb1,172.5,0
Taf13,173.0,0
Tgif2,173.3333,0
Nfkb1,173.8333,0
Trp53bp1,174.1667,0
Tardbp,174.3333,0
Taf6,174.6667,0
Dnmt1,174.6667,0
Vps72,192.0,0
Zfp354c,193.1667,0
Ahctf1,194.5,0
App,194.5,0
Bcor,195.0,0
Stat5a,249.6667,0
Men1,255.0,0
Suz12,255.0,0
Nfrkb,255.1667,0
Pcgf6,255.3333,0
Pias2,255.5,0
Med1,255.6667,0
Taf2,255.6667,0
Twist2,271.3333,0
Wnt5a,271.6667,0
Hdac1,276.3333,0
Rora,276.8333,0
Pias4,277.0,0
Rps3,277.1667,0
Tfdp1,277.6667,0
Zfpm2,292.8333,0
Meis1,296.1667,0
Tcf3,296.6667,0
Prdm16,297.1667,0
Ncor1,297.1667,0
Hnrnpk,297.3333,0
Baz2a,297.5,0
Pbrm1,297.6667,0
Tbp,297.8333,0
Cdc5l,298.1667,0
Pparg,298.1667,0
Hmgb1,298.5,0
Ddx58,351.0,0
Cic,353.0,0
Zfp46,353.3333,0
Naca,353.5,0
Stat3,353.6667,0
Zfp184,353.6667,0
Nfyb,353.8333,0
Zfp58,357.0,0
Ncor2,357.5,0
Taf12,357.6667,0
Nfya,358.3333,0
Zfp667,358.8333,0
Pnn,359.0,0
Kdm1a,359.1667,0
E2f3,359.1667,0
Gtf2f1,359.3333,0
Klf5,414.5,0
Nfkb2,414.6667,0
Pax6,416.3333,0
Rbck1,418.1667,0
Atf6b,418.3333,0
Creb1,418.6667,0
Ercc2,420.0,0
Gata3,434.6667,0
Rbmx,435.1667,0
Pias1,435.3333,0
Chd4,439.8333,0
Nrf1,440.5,0
Clock,440.6667,0
Nfatc4,458.1667,0
Xbp1,461.1667,0
Ctnnb1,461.1667,0
Gtf2i,461.6667,0
Zfp74,461.6667,0
Sphk1,461.8333,0
Klf4,461.8333,0
Atf2,462.0,0
Jarid2,462.0,0
Zfp354a,462.0,0
Bmi1,462.0,0
Zeb2,513.1667,0
Twist1,513.1667,0
Ets1,515.6667,0
Mecom,515.6667,0
Zeb1,515.8333,0
Etv1,515.8333,0
Creb3,516.3333,0
Sox4,516.8333,0
Klf3,517.1667,0
Six4,520.5,0
Arid1a,521.3333,0
Mga,522.0,0
Thoc1,522.3333,0
Sp1,522.3333,0
Dnmt3b,522.5,0
Zfp473,522.5,0
Zfp90,522.6667,0
Taf9,522.8333,0
Tead1,533.3333,0
Ahr,535.3333,0
Zfp37,536.1667,0
Epas1,537.1667,0
Atf1,537.6667,0
Rb1,538.0,0
Mlx,538.0,0
Mef2d,538.1667,0
Rbbp8,538.3333,0
Stat1,541.8333,0
Hsf1,542.1667,0
Irf1,542.3333,0
Ash1l,542.5,0
Smad6,542.5,0
Ptges2,543.0,0
Top2a,543.0,0
Creb3l2,543.1667,0
Crebbp,543.1667,0
Tfam,543.5,0
Elk4,543.6667,0
Taf11,543.6667,0
Arnt2,596.0,0
Mef2a,596.5,0
Junb,598.3333,0
Smarce1,598.3333,0
Prdx5,598.5,0
Zfp93,598.8333,0
Rbl2,598.8333,0
Creb3l4,599.0,0
Nr4a1,599.1667,0
Nfil3,599.1667,0
Lmo2,601.8333,0
Taf6l,602.0,0
Ncoa3,603.1667,0
Aire,603.3333,0
Fos,604.0,0
Rbpj,656.6667,0
Zfp30,659.0,0
Nr1d1,659.1667,0
Zfp1,659.6667,0
Bcl11b,659.8333,0
Kdm3a,671.3333,0
Rcor1,679.6667,0
Nr1h2,679.8333,0
Dnmt3a,680.5,0
Rela,700.6667,0
Fosb,700.8333,0
Nfatc2,700.8333,0
Creb3l1,701.1667,0
Etv5,701.3333,0
Smarcc2,701.5,0
Hhex,701.6667,0
Cry2,701.6667,0
Hdac4,701.6667,0
Rfxap,701.8333,0
Nfe2l2,702.0,0
Rxra,702.0,0
Foxo4,702.0,0
Xrcc6,702.1667,0
Smarca2,702.1667,0
E2f6,702.1667,0
E2f2,702.1667,0
Zfp316,702.1667,0
Cebpa,705.6667,0
Ercc3,706.1667,0
Zfp13,706.1667,0
Bcl3,706.5,0
Gtf2h5,706.5,0
Mycn,706.8333,0
Arrb1,707.0,0
Yy1,707.1667,0
Atf4,707.1667,0
Foxa2,707.1667,0
Carm1,707.1667,0
Taf9b,707.1667,0
Zfp57,707.5,0
Jund,707.5,0
Cdk9,707.5,0
Dhx33,707.5,0
Thra,761.6667,0
Egr1,761.8333,0
C1d,762.0,0
Tfap4,762.3333,0
Pou2f1,762.8333,0
Mbd2,762.8333,0
Foxp1,782.1667,0
Ppard,783.5,0
Xrcc5,783.5,0
Pml,843.0,0
Aebp2,843.3333,0
Relb,843.8333,0
Rybp,844.3333,0
Hey1,909.5,0
Dmap1,910.5,0
Prdm9,946.0,0
Pbx1,946.0,0
Taf1,946.1667,0
Zfp386,946.3333,0
Taf8,946.3333,0
Mta2,946.3333,0
Mta1,946.3333,0
Six1,946.3333,0
Tead4,946.5,0
Foxk1,946.5,0
Ncoa2,946.6667,0
Nfatc3,946.6667,0
Zfp82,946.8333,0
Tfeb,946.8333,0
Adar,946.8333,0
Tgif1,947.0,0
Myc,947.0,0
Srf,947.0,0
Taf7,947.0,0
Terf2ip,947.0,0
Irf3,947.1667,0
Taf4b,947.1667,0
Hif1a,947.3333,0
Ino80,947.3333,0
E2f5,947.3333,0
Rara,947.3333,0
Gatad2b,947.3333,0
Zfp768,947.3333,0
Elk1,947.3333,0
Sod2,947.3333,0
Rptor,947.3333,0
Mta3,997.5,0
Tead3,1019.6667,0
Brd7,1019.8333,0
Nr5a2,1075.0,0
Prkdc,1095.8333,0
Smad1,1096.0,0
Ccnt1,1100.8333,0
Nr1d2,1156.3333,0
Crem,1156.6667,0
