GeneSymbol,PValue
Plod2,0.0
Pa2g4,0.0
Nop56,0.0
Taf1d,0.0
Tead1,0.0
Zkscan14,0.0
Tmpo,0.0
Gtf2f2,0.0
Ahr,0.0
Mbd3,0.0
Zfp58,0.0
Hmbox1,0.0
Hnrnpab,0.0
Mier3,0.0
Snai2,0.0
Npm1,0.0
Ddr2,0.0
Pcna,0.0
Gli3,0.0
Gli1,0.0
Mybl1,0.0
Dedd2,0.0
Flrt2,0.0
Hsf1,0.0
Ash2l,0.0
Mis18bp1,0.0
Sin3a,0.0
Hmgb2,0.0
Dbf4,0.0
Smarca5,0.0
Phf5a,0.0
App,0.0
Zfp93,0.0
Hlx,0.0
Set,0.0
Top2a,0.0
Sarnp,0.0
Myst3,0.0
Zfp292,0.0
Nfyb,0.0
Haus5,0.1
Zfpm2,0.1
Dcn,0.1
Hoxb3,0.1
Dnmt3a,0.1
Mxd3,0.1
Cenph,0.1
Arid4b,0.1
Hoxd8,0.1
Taf11,0.1
Blm,0.1
Acvrl1,0.1
Mybl2,0.1
Nfat5,0.1
Rbmxl1,0.1
Prrx1,0.1
Rbm12,0.1
Zfp711,0.1
Zfp143,0.1
Smc3,0.1
Zfp148,0.1
Nvl,0.1
2610203C20Rik,0.1
Trim28,0.1
Cnbp,0.1
Hnrnpm,0.1
Timp3,0.1
Psma2,0.1
Foxm1,0.1
Cct2,0.1
Tmem209,0.1
Zfp184,0.1
Sox6,0.1
Rad18,0.1
Csda,0.1
Zfp329,0.1
Gtf2e2,0.1
Smarcc1,0.2
Ttc3,0.2
Rpl14,0.2
Tfam,0.2
Nr2f1,0.2
Wdr43,0.2
Ndn,0.2
Zfp41,0.2
Mll2,0.2
Abt1,0.2
Hnrnpk,0.2
Arhgap11a,0.2
Mastl,0.2
Appl1,0.2
Ddx20,0.2
Scyl2,0.2
Ptch2,0.2
Ddx1,0.2
Hoxa1,0.2
Yap1,0.2
Ddx18,0.2
Trp53,0.2
Zfp280d,0.2
Ccnt1,0.2
Arrdc1,0.2
Stat1,0.2
Tcfl5,0.2
Zfp46,0.2
Kdm5a,0.2
Gabpb1,0.2
Rorc,0.2
Chordc1,0.2
Brip1,0.2
Ttf2,0.2
Uhrf1,0.2
Nfia,0.2
Sfpq,0.2
Pbrm1,0.2
Psip1,0.2
Hc,0.2
Clock,0.2
Creb3l2,0.2
Zik1,0.2
Brca1,0.2
Nipbl,0.2
Loxl1,0.2
Snrpf,0.2
Polr2b,0.2
Gins2,0.2
Ptpn18,0.2
Rbms2,0.2
Adamts9,0.2
Dnajc2,0.3
Tcf7l1,0.3
Mki67,0.3
Chd8,0.3
Mysm1,0.3
Hnrpdl,0.3
Naca,0.3
Gpc6,0.3
Rbmx,0.3
Pms2,0.3
Ncaph,0.3
Med6,0.3
Topbp1,0.3
Eml5,0.3
Phb,0.3
Sall4,0.3
Ywhaq,0.3
Zfp26,0.3
Mcam,0.3
Gsg2,0.3
Bbx,0.3
Ube2t,0.3
Zfp37,0.3
Iqgap3,0.3
Ssbp2,0.3
Stat6,0.3
Hoxa2,0.3
Kdm3a,0.3
