pathway,nums,percent,pvalue
Antigen processing and presentation,97,0.41237113402061853,0.0
DNA replication,35,1.2,0.0
Drug metabolism - other enzymes,92,0.3804347826086957,0.0
Endocrine and other factor-regulated calcium reabsorption,61,0.29508196721311475,0.0
Fatty acid metabolism,64,0.65625,0.0
Homologous recombination,42,0.6904761904761905,0.0
Inflammatory mediator regulation of TRP channels,127,0.4094488188976378,0.0
Lysosome,136,0.7426470588235294,0.0
MCM complex,6,1.0,0.0
Metabolic pathways,1315,0.5209125475285171,0.0
Olfactory transduction,2230,0.004035874439461884,0.0
Oxidative phosphorylation,151,0.2980132450331126,0.0
Parkinson's disease,144,0.5069444444444444,0.0
Platelet activation,126,0.6746031746031746,0.0
Proteasome,47,0.8936170212765957,0.0
Purine metabolism,185,0.5081081081081081,0.0
Pyrimidine metabolism,107,0.4672897196261682,0.0
"Spliceosome, 35S U5-snRNP",36,0.8611111111111112,0.0
Tryptophan metabolism,54,0.2222222222222222,0.0
Nucleotide metabolism,84,0.75,0.0
Alzheimer disease,383,0.5169712793733682,0.0
Parkinson disease,264,0.5492424242424242,0.0
Pathways of neurodegeneration - multiple diseases,471,0.5456475583864119,0.0
Diabetic cardiomyopathy,211,0.5023696682464455,0.0
Alzheimer's disease,175,0.4857142857142857,0.001
Cell cycle,157,0.8471337579617835,0.001
Cell cycle - G1/S transition,13,0.9230769230769231,0.001
IL-17 signaling pathway,93,0.7419354838709677,0.001
"Proteasome, 19S regulatory particle (PA700)",19,0.7368421052631579,0.001
Protein processing in endoplasmic reticulum,183,0.5792349726775956,0.001
Retrograde endocannabinoid signaling,150,0.74,0.001
TNF signaling pathway,115,0.8173913043478261,0.001
Toll-like receptor signaling,15,0.9333333333333333,0.001
"Valine, leucine and isoleucine degradation",57,0.40350877192982454,0.001
Biosynthesis of cofactors,152,0.6842105263157895,0.001
Porphyrin metabolism,43,0.6046511627906976,0.001
Thermogenesis,231,0.6277056277056277,0.001
Hepatocellular carcinoma,174,0.6206896551724138,0.001
Prion disease,267,0.5393258426966292,0.001
Cocaine addiction,48,0.7916666666666666,0.001
Bile secretion,100,0.19,0.002
"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",10,0.3,0.002
Fatty acid degradation,53,0.18867924528301888,0.002
N-Glycan biosynthesis,53,0.3584905660377358,0.002
Oocyte meiosis,123,0.6991869918699187,0.002
Pyruvate metabolism,44,0.5,0.002
Renin secretion,76,0.5657894736842105,0.002
Necroptosis,175,0.4514285714285714,0.002
Complement and coagulation cascades,94,0.39361702127659576,0.003
"Citrate cycle (TCA cycle, Krebs cycle)",24,0.5,0.004
Long-term potentiation,67,0.3880597014925373,0.004
Peroxisome,87,0.632183908045977,0.004
Biosynthesis of nucleotide sugars,38,0.8421052631578947,0.004
Spinocerebellar ataxia,141,0.8085106382978723,0.004
ABC transporters,52,0.6538461538461539,0.005
Porphyrin and chlorophyll metabolism,41,0.5121951219512195,0.005
Cell adhesion molecules (CAMs),169,0.5976331360946746,0.006
Natural killer cell mediated cytotoxicity,123,0.42276422764227645,0.006
Pancreatic secretion,116,0.19827586206896552,0.006
"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",11,0.2727272727272727,0.006
Fanconi anemia pathway,51,0.9607843137254902,0.007
Origin recognition complex,6,0.5,0.007
Synaptic vesicle cycle,77,0.16883116883116883,0.007
Amino sugar and nucleotide sugar metabolism,52,0.6923076923076923,0.008
"Glycine, serine and threonine metabolism",40,0.575,0.008
Immunoproteasome,18,0.3888888888888889,0.008
Mismatch repair,22,1.1818181818181819,0.008
Cysteine and methionine metabolism,57,0.6140350877192983,0.009
Salivary secretion,88,0.3181818181818182,0.009
Propanoate metabolism,34,0.6470588235294118,0.011
T cell receptor signaling pathway,125,0.656,0.011
Rheumatoid arthritis,87,0.39080459770114945,0.011
Fatty acid biosynthesis,20,0.6,0.012
Wnt signaling,38,0.2894736842105263,0.012
Long-term depression,61,0.7213114754098361,0.013
Amyotrophic lateral sclerosis,369,0.6124661246612466,0.013
Apoptosis - multiple species,33,0.5151515151515151,0.014
Regulation of lipolysis in adipocytes,57,0.6666666666666666,0.014
Amphetamine addiction,69,0.34782608695652173,0.014
Melanogenesis,100,0.53,0.015
Nuclear pore complex,41,0.8536585365853658,0.016
Carbon metabolism,126,0.5952380952380952,0.017
Circadian rhythm,37,0.8648648648648649,0.017
Citrate cycle (TCA cycle),32,0.46875,0.018
Fc gamma R-mediated phagocytosis,97,0.7628865979381443,0.018
"Leucine degradation, leucine => acetoacetate + acetyl-CoA",13,0.6153846153846154,0.019
