pathway,nums,percent,pvalue
"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P",4,0.75,0.336
GABA (gamma-Aminobutyrate) shunt,4,0.75,0.447
"Fatty acid biosynthesis, initiation",3,1.0,0.486
Virion - Human immunodeficiency virus,10,0.3,0.488
"Proline biosynthesis, glutamate => proline",4,1.25,0.503
"C1-unit interconversion, eukaryotes",6,1.1666666666666667,0.526
"Serine biosynthesis, glycerate-3P => serine",3,1.0,0.536
Longevity regulating pathway,90,1.2666666666666666,0.603
One carbon pool by folate,19,1.631578947368421,0.606
Biosynthesis of cofactors,152,0.9802631578947368,0.614
Biosynthesis of amino acids,84,1.1547619047619047,0.618
Nicotine addiction,40,0.6,0.622
SCF-FBS complex,6,0.5,0.624
"Leucine degradation, leucine => acetoacetate + acetyl-CoA",13,1.4615384615384615,0.627
TNF signaling pathway,115,1.2260869565217392,0.634
AMPK signaling pathway,128,0.96875,0.638
Bladder cancer,41,2.097560975609756,0.64
Viral protein interaction with cytokine and cytokine receptor,95,0.7157894736842105,0.643
Riboflavin metabolism,8,2.0,0.645
p53 signaling pathway,74,1.527027027027027,0.649
MAPK (JNK) signaling,21,0.5714285714285714,0.655
PPAR signaling pathway,90,1.1111111111111112,0.664
"Parathyroid hormone synthesis, secretion and action",108,1.2592592592592593,0.664
Vitamin B6 metabolism,9,0.6666666666666666,0.667
Metabolic pathways,1315,0.5490494296577947,0.668
Selenocompound metabolism,18,1.2777777777777777,0.668
"Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline",5,0.6,0.669
Cytokine-cytokine receptor interaction,326,0.588957055214724,0.672
Glutathione metabolism,74,1.2297297297297298,0.672
2-Oxocarboxylic acid metabolism,34,1.3529411764705883,0.675
Cushing syndrome,162,0.9691358024691358,0.676
Insulin signaling pathway,143,0.9440559440559441,0.678
Rheumatoid arthritis,87,0.7816091954022989,0.679
Insulin secretion,86,1.1511627906976745,0.68
Glycosphingolipid biosynthesis - lacto and neolacto series,28,0.21428571428571427,0.684
Amphetamine addiction,69,1.1014492753623188,0.684
Survival motor neuron (SMN) complex,9,1.5555555555555556,0.685
"Valine, leucine and isoleucine biosynthesis",4,1.25,0.689
cGMP-PKG signaling pathway,175,0.8457142857142858,0.69
MicroRNAs in cancer,303,0.6204620462046204,0.69
Fanconi anemia pathway,51,1.4901960784313726,0.697
Activin signaling,10,2.2,0.698
TGF-beta signaling pathway,112,1.3035714285714286,0.702
Cortisol synthesis and secretion,72,1.2916666666666667,0.702
alpha-Linolenic acid metabolism,25,0.12,0.703
Type II diabetes mellitus,48,1.1875,0.704
IL-17 signaling pathway,93,1.2150537634408602,0.707
GnRH signaling pathway,90,1.2777777777777777,0.709
"Growth hormone synthesis, secretion and action",117,1.2564102564102564,0.709
NOD-like receptor signaling pathway,220,0.7772727272727272,0.712
Folate biosynthesis,26,0.9615384615384616,0.714
"Glycosaminoglycan biosynthesis, chondroitin sulfate backbone",6,2.3333333333333335,0.714
Alcoholic liver disease,141,0.9078014184397163,0.714
Hippo signaling pathway,158,1.0632911392405062,0.717
Efferocytosis,155,1.038709677419355,0.717
mTOR signaling pathway,158,0.9367088607594937,0.718
Thyroid hormone synthesis,74,1.445945945945946,0.718
Adipocytokine signaling pathway,73,1.273972602739726,0.719
Dorso-ventral axis formation,26,2.3076923076923075,0.721
Aldosterone synthesis and secretion,105,1.0476190476190477,0.722
SCF-BTRC complex,6,0.6666666666666666,0.727
"N-glycan biosynthesis, complex type",16,0.3125,0.728
ESCRT-0 complex,3,1.6666666666666667,0.729
Hippo signaling pathway - multiple species,27,2.259259259259259,0.732
"Phenylalanine, tyrosine and tryptophan biosynthesis",9,0.4444444444444444,0.734
Legionellosis,60,1.3166666666666667,0.736
Cell cycle,157,1.089171974522293,0.737
Cul4-DDB1-CSA complex,6,0.6666666666666666,0.737
Spliceosome,186,0.6935483870967742,0.738
Primary immunodeficiency,36,1.25,0.738
Human T-cell leukemia virus 1 infection,249,0.8072289156626506,0.739
ErbB signaling pathway,86,1.244186046511628,0.741
Huntington's disease,194,0.8247422680412371,0.741
Ovarian steroidogenesis,65,0.7230769230769231,0.741
Acute myeloid leukemia,70,1.457142857142857,0.741
Amoebiasis,107,0.9906542056074766,0.741
