pathway,,,,,
Biosynthesis of cofactors,,,0,,
Melanogenesis,,,0,,
Calcium signaling pathway,,,0,,
Carbon metabolism,,,0,,
Protein digestion and absorption,,,0,,
Biosynthesis of amino acids,,,0.0001,,
Nuclear pore complex,,,0.0001,,
Metabolic pathways,,,0.0001,,
Natural killer cell mediated cytotoxicity,,,0.0002,,
Breast cancer,,,0.0002,,
"Citrate cycle (TCA cycle, Krebs cycle)",,,0.0007,,
Hippo signaling pathway,,,0.0009,,
Gap junction,,,0.0011,,
Longevity regulating pathway,,,0.0016,,
Basal cell carcinoma,,,0.0016,,
Amoebiasis,,,0.0024,,
Renin secretion,,,0.0023,,
Circadian rhythm,,,0.0022,,
Tyrosine metabolism,,,0.0021,,
Mitophagy - animal,,,0.0024,,
Fanconi anemia pathway,,,0.0025,,
Gastric acid secretion,,,0.003,,
Nicotinate and nicotinamide metabolism,,,0.0039,,
Citrate cycle (TCA cycle),,,0.0046,,
"Valine, leucine and isoleucine degradation",,,0.0045,,
Antifolate resistance,,,0.0051,,
"Alanine, aspartate and glutamate metabolism",,,0.0053,,
Wnt signaling,,,0.0067,,
Hippo signaling pathway -multiple species,,,0.008,,
Rheumatoid arthritis,,,0.0078,,
2-Oxocarboxylic acid metabolism,,,0.0089,,
Hippo signaling pathway - multiple species,,,0.0088,,
"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4",,,0.0091,,
Biosynthesis of nucleotide sugars,,,0.0106,,
"Leucine degradation, leucine => acetoacetate + acetyl-CoA",,,0.0105,,
Inflammatory bowel disease,,,0.0106,,
Retrograde endocannabinoid signaling,,,0.0108,,
Signaling pathways regulating pluripotency of stem cells,,,0.0107,,
Glycosaminoglycan biosynthesis - keratan sulfate,,,0.0119,,
Arginine and proline metabolism,,,0.0128,,
Pyruvate metabolism,,,0.0147,,
Glucagon signaling pathway,,,0.016,,
Autophagy - animal,,,0.0158,,
Heparan sulfate degradation,,,0.0161,,
Mannose type O-glycan biosynthesis,,,0.0163,,
MCM complex,,,0.0206,,
Type II diabetes mellitus,,,0.0206,,
N-glycan precursor biosynthesis,,,0.0267,,
Central carbon metabolism in cancer,,,0.0306,,
N-Glycan biosynthesis,,,0.0316,,
Circadian entrainment,,,0.0311,,
Legionellosis,,,0.0322,,
Drug metabolism - other enzymes,,,0.0335,,
Thermogenesis,,,0.0361,,
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,,,0.0388,,
Cell adhesion molecules,,,0.0393,,
Salivary secretion,,,0.0394,,
PI3K-Akt signaling pathway,,,0.0398,,
Amino sugar and nucleotide sugar metabolism,,,0.0394,,
Taste transduction,,,0.0396,,
Inflammatory bowel disease (IBD),,,0.0398,,
AMPK signaling pathway,,,0.0418,,
Lipoic acid metabolism,,,0.0418,,
Riboflavin metabolism,,,0.0446,,
Vasopressin-regulated water reabsorption,,,0.0471,,
"Parathyroid hormone synthesis, secretion and action",,,0.0473,,
Starch and sucrose metabolism,,,0.0479,,
NOD-like receptor signaling pathway,,,0.0486,,
Arginine biosynthesis,,,0.0494,,
Insulin signaling pathway,,,0.0492,,
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",,,0.0538,,
Retinol metabolism,,,0.0546,,
Arrhythmogenic right ventricular cardiomyopathy,,,0.0539,,
Pathways in cancer,,,0.0543,,
cGMP-PKG signaling pathway,,,0.0545,,
Arrhythmogenic right ventricular cardiomyopathy (ARVC),,,0.0586,,
Cushing syndrome,,,0.0659,,
Pantothenate and CoA biosynthesis,,,0.0651,,
Pentose phosphate pathway,,,0.0692,,
"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",,,0.0726,,
Glutathione metabolism,,,0.072,,
Dorso-ventral axis formation,,,0.0712,,
Cortisol synthesis and secretion,,,0.0717,,
One carbon pool by folate,,,0.0733,,
Vitamin B6 metabolism,,,0.0731,,
Colorectal cancer,,,0.0733,,
Glycosphingolipid biosynthesis - lacto and neolacto series,,,0.0764,,
mTOR signaling pathway,,,0.081,,
Bladder cancer,,,0.0838,,
Homologous recombination,,,0.0868,,
Propanoate metabolism,,,0.0878,,
Parkinson's disease,,,0.0909,,
Cell adhesion molecules (CAMs),,,0.0901,,
Bloom's syndrome complex,,,0.0934,,
Cell cycle,,,0.0941,,
Th1 and Th2 cell differentiation,,,0.1012,,
Ubiquinone and other terpenoid-quinone biosynthesis,,,0.103,,
Apelin signaling pathway,,,0.1044,,
GABAergic synapse,,,0.1035,,
Regulation of lipolysis in adipocytes,,,0.1039,,
Thyroid hormone synthesis,,,0.1109,,
cAMP signaling,,,0.1135,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",,,0.1196,,
p53 signaling pathway,,,0.1198,,
Selenocompound metabolism,,,0.1205,,
Sphingolipid metabolism,,,0.1276,,
Apoptosis - multiple species,,,0.1271,,
Fatty acid degradation,,,0.1267,,
Bile secretion,,,0.1399,,
Arachidonic acid metabolism,,,0.1399,,
"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",,,0.1548,,
Chemical carcinogenesis - receptor activation,,,0.1543,,
Amyotrophic lateral sclerosis,,,0.1564,,
Endocrine resistance,,,0.1589,,
Sulfur relay system,,,0.1581,,
TGF-beta signaling,,,0.1595,,
Long-term potentiation,,,0.1637,,
Huntington disease,,,0.166,,
GnRH signaling pathway,,,0.1657,,
Complement and coagulation cascades,,,0.1696,,
Adipocytokine signaling pathway,,,0.1726,,
Fluid shear stress and atherosclerosis,,,0.1772,,
