term,,,adj_p_value
"Ribosome, eukaryotes",,,7.729551602198044e-06
Coronavirus disease - COVID-19,,,5.712436157766013e-05
Cell cycle,,,0.00017084315126838766
Nuclear pore complex,,,0.00017084315126838766
Nucleocytoplasmic transport,,,0.00017084315126838766
Ribosome,,,0.0003646334616451387
Amyotrophic lateral sclerosis,,,0.00046412067926668754
Metabolic pathways,,,0.0010138674949146146
Proteasome,,,0.0010138674949146146
Glyoxylate and dicarboxylate metabolism,,,0.0022746753993061765
Cholesterol metabolism,,,0.0038946671359386307
Lysosome,,,0.00394644716088478
ABC transporters,,,0.0042472812424988095
Non-alcoholic fatty liver disease,,,0.006505357457287454
Non-alcoholic fatty liver disease (NAFLD),,,0.006505357457287454
Ribosome biogenesis in eukaryotes,,,0.009734040747373704
Terpenoid backbone biosynthesis,,,0.010052416144195057
Dilated cardiomyopathy,,,0.015618640408201403
Hypertrophic cardiomyopathy,,,0.015618640408201403
Hypertrophic cardiomyopathy (HCM),,,0.015618640408201403
Cell cycle - G2/M transition,,,0.015895993496773092
Glucagon signaling pathway,,,0.015895993496773092
Pathways in cancer,,,0.015895993496773092
"Valine, leucine and isoleucine degradation",,,0.015895993496773092
2-Oxocarboxylic acid metabolism,,,0.01818157708288832
Estrogen signaling pathway,,,0.01818157708288832
FoxO signaling pathway,,,0.01818157708288832
"Leucine degradation, leucine => acetoacetate + acetyl-CoA",,,0.01818157708288832
Progesterone-mediated oocyte maturation,,,0.01818157708288832
Prostate cancer,,,0.018904428385804754
Biosynthesis of amino acids,,,0.021233053280316924
Protein processing in endoplasmic reticulum,,,0.022236304216604892
Carbon metabolism,,,0.02295321735457889
Chemical carcinogenesis - reactive oxygen species,,,0.02295321735457889
Steroid biosynthesis,,,0.02411289925440798
mmuK signaling pathway,,,0.02411289925440798
Hepatitis B,,,0.024902299687164786
AMPK signaling pathway,,,0.02501851886918074
Cysteine and methionine metabolism,,,0.02501851886918074
Longevity regulating pathway,,,0.02501851886918074
Thyroid hormone synthesis,,,0.02501851886918074
"Tyrosine degradation, tyrosine => homogentisate",,,0.02501851886918074
"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol",,,0.0277588259546402
