Source,Target,PValue
E2F2,Rab42,0.0
Elk1,Pard6G-As1,0.0
Elk1,Pskh2,0.0
Elk1,Hydin,0.0
Elk1,Rplp0,0.0
Elk1,Urb2,0.0
Elk4,Lmbrd2,0.0
Nfyb,Ulk4,0.0
Rbbp5,Katna1,0.0
Sp1,C2Cd2,0.0
Sp1,Lmbrd2,0.0
Sp1,Zbtb41,0.0
Taf1,Ubxn7,0.0
Taf1,Tex10,0.0
Tcfl5,Dnaaf2,0.0
Tgif1,Ubald1,0.0
Klf4,Lif,1.3963752312499325e-298
Ep300,Sin3A,2.241956291469525e-264
Znf787,Znf865,9.355936051934172e-261
Creb5,Cxcl8,2.559977321480814e-257
Znf787,Kmt5A,1.6346085174190032e-241
Sp1,C14Orf28,4.297284125415809e-239
Sp1,Kidins220,1.3564642784986873e-230
Taf7,Cpne1,1.3002430546164858e-219
Elk4,Akap11,2.6054319239629545e-202
Tgif1,Foxcut,3.5531422001323897e-199
Nfyb,Slc25A27,1.4632691380953887e-196
Rb1,Lmbrd2,1.8560497560804735e-195
Nfkb2,Hmga1,2.4854216877565467e-183
Gabpa,Fbxl3,8.937410441921919e-182
Elk4,C2Cd2,1.7936308614384688e-178
Taf7,Znf442,1.25770836785561e-177
Cebpb,Gjd2,1.0753781080197628e-175
Kdm5A,Ubxn7,3.7604579075906444e-175
Smad5,Mier1,4.213932367890693e-174
Stat1,Tmem147,2.1765453140473166e-172
Cebpb,Cxcl2,2.9723966865850407e-170
Foxn3,Lmo7,8.148667931924981e-168
Jund,Cxcl8,2.8456857536512485e-154
Elk4,Snx27,2.0184254228790438e-153
Klf4,Hbegf,5.032884788987426e-153
Yy1,Atg12,5.988881423957273e-150
Fosl2,F11R,1.3338442807339005e-143
Taf1,Shtn1,3.737962220398718e-143
Ppara,Sigmar1,4.402019732801105e-143
Thap11,Eef2K,4.60605936659272e-142
Relb,Ubxn10,1.9491119589920745e-141
Gabpa,Sdhd,3.796579047843809e-138
Smad5,Cnot2,4.31530304729907e-138
Cebpb,Rnf149,1.8877349829389286e-136
Klf16,Pqbp1,9.928316495063187e-134
Klf4,Apold1,4.6988413260618194e-132
Creb3L2,Gfpt1,9.044566554448588e-131
Sp1,Erc1,9.56880277926344e-129
Znf787,Isy1,8.335402841193083e-126
Yy1,Stxbp5,1.5143470981288047e-119
Pbx3,Tnk2,3.4423987756396276e-119
Yy1,Camlg,1.1721553269142837e-113
Elf4,Slc15A3,2.164978710709085e-112
Thap1,Fbxl3,7.517485340905615e-111
Sp1,Stxbp5,7.136459118232086e-106
Pbx3,Cacfd1,1.8496772433642377e-105
Sp1,Zdhhc13,1.880740564045165e-105
Taf1,Srsf7,4.073623160960432e-102
Tgif1,Dnajb5,1.2686316678712435e-101
Smad5,Cbfb,2.92967101661502e-101
Taf1,Map3K13,8.645050773540729e-101
Elk4,Elmod2,2.8410119329965404e-100
Gabpa,Armt1,6.351979114383213e-98
Taf1,Aak1,8.619164386830938e-97
Thap11,Sugp1,2.8198931878385026e-95
Etv6,Odc1,1.4403391710200635e-94
Fosl1,Dnajb5,4.459641139827619e-92
E2F2,Dok1,1.8161751714463516e-91
