source,target,p-value,model
Atf6,Amotl1,0.0,-1
E2F8,Rfwd3,0.0,-1
Elk1,C12Orf57,0.0,-1
Elk1,Rpl35,0.0,-1
Elk1,Dock9,0.0,-1
Elk1,Asip,0.0,-1
Elk1,Linc00852,0.0,-1
Elk1,Smpd2,0.0,-1
Elk1,Psmb5,0.0,-1
Elk1,Ppm1F,0.0,-1
Elk1,Znf669,0.0,-1
Elk1,Chchd7,0.0,-1
Elk1,Lhx3,0.0,-1
Elk1,Lrrc73,0.0,-1
Elk1,Amotl1,0.0,1
Elk1,Mavs,0.0,-1
Elk1,Trappc5,0.0,-1
Elk4,Tcf12,0.0,-1
Elk4,Armcx5,0.0,-1
Foxo4,Bcl2L11,0.0,-1
Gmeb2,Ighmbp2,0.0,-1
Gmeb2,Trmt44,0.0,-1
Gtf2F1,Chuk,0.0,-1
Gtf2F1,Otud7B,0.0,-1
Gtf2F1,Arhgef11,0.0,-1
Gtf2F1,Zfand3,0.0,-1
Hcfc1,Akt1S1,0.0,-1
Hcfc1,Dcaf7,0.0,-1
Hcfc1,Gpr107,0.0,-1
Hcfc1,Smg5,0.0,-1
Hnf4G,Itch,0.0,-1
Irf4,Cd8B,0.0,-1
Irf9,Ap5Z1,0.0,-1
Klf16,Abhd4,0.0,-1
Mzf1,Efhc1,0.0,1
Nr1H3,Pacsin3,0.0,-1
Nr1H3,Tmem220,0.0,-1
Nr1H3,Haao,0.0,-1
Nrf1,Ccdc12,0.0,-1
Pbx3,Zbtb3,0.0,1
Rb1,Tbc1D23,0.0,1
Rbbp5,Sart1,0.0,-1
Rhoxf1,Chfr,0.0,-1
Sp1,Ephb6,0.0,1
Stat1,Fga,0.0,-1
Stat1,Enpep,0.0,-1
Taf1,Mllt6,0.0,1
Tbp,C12Orf73,0.0,-1
Tbp,Dpm1,0.0,-1
Tp53,Dnaja3,0.0,-1
Xbp1,Hmgcs1,0.0,-1
Zbtb7A,Adam15,0.0,-1
Znf143,Znf24,0.0,-1
Znf384,Arhgef18,0.0,1
Znf384,Eif2S3,0.0,-1
Znf384,Fbxl19,0.0,1
Znf491,Napepld,0.0,-1
Taf1,Foxj3,1.8399579167354657e-299,-1
Znf384,Ldb1,3.924799202729952e-292,1
Rfx5,Dbi,2.3394337688757833e-279,-1
Gtf2F1,Vgll4,1.0318273648778261e-278,-1
Gtf2F1,Pstpip2,4.3392473715456616e-278,-1
Hcfc1,Fbxl18,6.693883956457269e-278,-1
Hcfc1,Coro1B,3.698900944319114e-276,-1
Rfx5,Cyb5B,1.1498590770791393e-267,-1
Hcfc1,Otud7B,5.835166673028278e-262,-1
Rbbp5,Sfmbt1,6.695511441289223e-258,-1
Hcfc1,Trappc6A,2.1521154716343198e-257,-1
Nr1H3,Lhpp,1.1316782891612282e-246,-1
Hcfc1,Cdc42Ep4,6.541854200865131e-238,-1
Foxo4,Sdhc,7.955056864819478e-224,1
Stat1,Csf2Rb,1.5657075056330914e-220,-1
Hcfc1,Zscan20,2.3997795005876473e-219,-1
Elk1,Piezo1,6.474526587132373e-215,-1
Ep300,Vps72,5.724041747501279e-206,-1
Polr2A,Tnfrsf11A,6.0663472037480796e-204,-1
Hcfc1,Pikfyve,3.126775694821679e-203,-1
Hcfc1,Rnf34,6.413600633030975e-199,-1
Hcfc1,Lasp1,2.0455355730246082e-198,-1
Rfx2,Drc3,4.284268719080086e-197,-1
Rfx5,Agbl5,1.0648802600379162e-193,-1
E4F1,Prr3,4.954394770278553e-193,-1
Gtf2F1,Cope,1.0386464152717177e-190,-1
Sp1,Tmem218,6.55697135301155e-189,1
Elk4,Linc01525,8.30785078754046e-189,1
Hcfc1,Slc12A9,1.9147127156092506e-188,-1
Rfx5,Ugp2,2.851537781846795e-188,-1
Znf384,Ubn1,3.5151587647980565e-187,-1
Cebpa,Gpr50,1.914817452406939e-186,-1
Gtf2F1,Gpr107,4.368170342988967e-186,-1
Ep300,Klhl2,2.4961176501860833e-183,1
Rfx5,Hmgcs1,2.2016008855322112e-182,-1
Znf384,Cdyl,2.3012077905626633e-180,-1
Foxo4,Klhdc3,8.001652549344746e-178,1
Gmeb2,Larp4B,9.087331946172464e-169,-1
Gtf2F1,Pik3C2A,1.6070622200501032e-168,-1
Rxra,Lingo1-As2,2.4384217460291953e-167,1
Gmeb2,Tubgcp2,2.9795446168876184e-165,-1
Etv6,Nos1,3.8973178416431815e-165,-1
Foxo4,Tmem187,1.0395779841955884e-163,1
Elk1,Tmx2,2.803545508467676e-163,-1
Hcfc1,Eef2K,8.376700229636779e-163,-1
Nrf1,Vash2,2.0084056973992343e-162,-1
Rfx2,Noxo1,2.3620673317891408e-158,-1
Sp1,Znf143,1.8489528308022037e-157,-1
Znf143,Sp1,1.8489528308074734e-157,-1
E2F7,Pold1,2.128041859647314e-155,-1
Znf143,Zeb1,3.1533207534374895e-155,-1
Yy1,Vamp4,6.727936147428107e-155,-1
Pbx3,Ankrd50,1.0428220362420123e-153,1
Xbp1,Gtf2B,1.0327117315030462e-152,-1
