source,target,p-value,model
Elk1,Raph1,0.0,-1
Elk1,Rpl35,0.0,-1
Elk1,Ppm1F,0.0,-1
Elk1,Znf669,0.0,-1
Elk1,Chchd7,0.0,-1
Elk1,Lrrc73,0.0,-1
Nrf1,Pgbd2,0.0,-1
Prdm16,Ckb,0.0,-1
Stat1,Ppt1,0.0,-1
Tbp,Znf213-As1,0.0,-1
Znf143,Nrav,0.0,-1
E2F7,E2F8,1.800561371012129e-289,-1
Ctbp2,Sencr,2.8705316093974683e-226,-1
Creb3,Xpnpep1,4.74201622246142e-158,-1
Hnf4A,Nme9,4.24185380858763e-121,-1
E2F7,Cdca5,2.0408561394498e-115,-1
Nrf1,Apbb3,5.579429468210799e-114,-1
Elk4,Gtf2H3,2.0141485092152114e-97,-1
Rfx5,P2Ry6,2.145984260680788e-95,-1
Rxra,Ap5B1,3.470843005250611e-95,-1
Znf143,Supt20H,4.722811313278511e-95,-1
Rfx5,Plxnc1,6.025745582364223e-94,-1
Stat2,Btn3A3,6.642908815833581e-90,-1
Gtf2F1,Psmd8,3.0531040018408665e-88,-1
Tfdp1,Dleu1,4.201731968132047e-86,-1
Creb3,Atp6V1G1,1.7894559919287278e-79,-1
Hcfc1,Psmd8,8.56621251540343e-76,-1
Gtf2F1,Uqcrc1,1.900242009259788e-74,-1
E2F8,Atad2,3.3533576599255335e-72,-1
Rarg,Fzd2,2.1226946276936207e-70,-1
Elk1,Dancr,2.7291208493207676e-67,-1
Nrf1,Rbm14,1.2662889678819775e-66,-1
Hnf4A,Pde3B,1.3976074721436035e-65,-1
Stat1,Linc00545,1.0941315967860874e-63,-1
Creb3,Tomm34,2.8275108829837835e-58,-1
Esrra,Hnf1B,7.709672909166916e-57,1
Rfx5,Hspa8,1.1144279923829255e-56,-1
Foxp2,Nudt4,1.7191327019568598e-56,1
Tbp,Slc25A40,5.07952881618106e-55,-1
Gtf2F1,Fbxw9,5.738817249020753e-54,-1
Tfdp1,Kbtbd8,3.891096279985945e-53,-1
Elk4,Phf14,1.5726672651004252e-52,-1
Gli2,Dpep1,8.045784827520345e-47,-1
Hcfc1,Ovch1-As1,3.02333483984259e-46,-1
Bcl3,Notum,2.3792629072927625e-45,-1
Gmeb2,Ddx56,1.1775769520764353e-44,1
Tbp,Hinfp,4.649538339112623e-44,-1
Elk1,Aamp,8.423395069509488e-44,-1
Elk4,Stk26,2.8177280977324225e-43,-1
