GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
Arid3A,0.11121905,0.28711918,0.6183777,0.048383806,0.5970435,0.02440668,0.4168679,-0.33371592,0.36664897,0.36342853
Arnt,0.0933908,-0.040556993,-0.111060016,0.6582916,-0.12249171,-0.3086701,-0.22064269,0.6086944,-0.69454193,-0.38612917
Arx,-0.3240408,-0.26914498,-0.18778968,-0.00440095,-0.103209995,-0.049690183,-0.20573702,-0.051589724,0.11457272,-0.08153845
Atf1,0.70561486,0.086779594,0.8298911,-0.44557983,-0.045268565,-0.85693973,0.7681701,-0.2077579,0.59931093,-0.9308009
Atf3,-0.21279374,0.77167904,-1.1175741,-0.89696187,-0.19795665,0.103478,-0.786082,-0.9014678,0.5051212,0.30249327
Atf4,0.22900945,-0.016540647,0.37326136,-0.5529299,0.3190821,-1.1166878,0.37073174,-0.32578343,0.38936016,0.25885355
Atf6,-0.56600016,0.3870329,-0.56600016,0.3870329,-0.56600016,0.3870329,-0.56600016,0.3870329,-0.56600016,0.3870329
Barhl1,-0.5141189,0.3526736,-0.24937189,0.044510048,-0.3644232,0.4277626,-0.49586654,0.2813266,-0.48392987,0.7741703
Batf,-0.047453552,0.39204568,0.29644987,-0.11698112,0.5205053,0.39989305,0.76727396,0.12748161,1.2847537,1.2251191
Bcl3,-0.15531206,0.4962433,0.2962137,-0.13206732,0.78815126,0.09289652,0.48310265,-0.65037435,1.0352957,0.7874057
Bcl6B,-0.2571908,0.27829602,0.15606937,0.2824877,0.07475961,-0.07557441,0.08111238,0.54636747,0.50993186,0.8940893
Brf2,0.03960852,0.060186252,0.20632201,0.36463416,0.32471436,0.3637206,0.5042159,0.42342755,-0.021893218,0.3509377
Canx,-0.21337783,-0.63564086,-0.74598354,0.91568446,0.02449688,0.27266696,-0.8334392,0.025745679,-0.21842453,-0.36304066
Cbx7,0.16542304,0.08124039,-0.20686916,0.10586664,0.103237614,-0.0047475435,0.17801297,0.041545402,0.111968555,-0.49331456
