pathway,nums,percent,pvalue
Apoptosis,137,0.8248175182481752,0.0
Basal transcription factors,45,0.37777777777777777,0.0
GnRH signaling pathway,90,0.8555555555555555,0.0
Herpes simplex infection,215,0.5302325581395348,0.0
Huntington's disease,194,0.6185567010309279,0.0
MAPK signaling pathway,252,0.6944444444444444,0.0
Mitophagy - animal,68,0.8676470588235294,0.0
mRNA surveillance pathway,105,0.7047619047619048,0.0
Neurotrophin signaling pathway,121,0.7851239669421488,0.0
Ribosome biogenesis in eukaryotes,125,0.432,0.0
RIG-I-like receptor signaling pathway,73,0.5753424657534246,0.0
RNA degradation,90,0.8444444444444444,0.0
RNA transport,167,0.6526946107784432,0.0
Spliceosome,186,0.5645161290322581,0.0
Tryptophan metabolism,54,0.3148148148148148,0.0
Nucleocytoplasmic transport,117,0.8376068376068376,0.0
ATP-dependent chromatin remodeling,136,0.5882352941176471,0.0
Polycomb repressive complex,84,1.0357142857142858,0.0
Viral life cycle - HIV-1,61,0.7704918032786885,0.0
"Growth hormone synthesis, secretion and action",117,0.905982905982906,0.0
Chronic myeloid leukemia,76,0.7105263157894737,0.0
Renal cell carcinoma,68,0.9264705882352942,0.0
Human T-cell leukemia virus 1 infection,249,0.6385542168674698,0.0
Hepatitis B,163,0.7607361963190185,0.0
Human cytomegalovirus infection,255,0.6470588235294118,0.0
Staphylococcus aureus infection,128,0.171875,0.0
Chagas disease,103,0.6893203883495146,0.0
Huntington disease,302,0.5894039735099338,0.0
Spinocerebellar ataxia,141,0.8226950354609929,0.0
Endocrine resistance,93,1.0,0.0
HRD1/SEL1 ERAD complex,13,1.2307692307692308,0.001
Thyroid hormone signaling pathway,120,0.7666666666666667,0.001
"Valine, leucine and isoleucine degradation",57,0.3157894736842105,0.001
mmuK signaling pathway,301,0.6710963455149501,0.001
Cholesterol metabolism,50,0.96,0.001
Viral carcinogenesis,228,0.5964912280701754,0.001
Choline metabolism in cancer,98,0.7448979591836735,0.001
Kaposi sarcoma-associated herpesvirus infection,223,0.5739910313901345,0.001
Salmonella infection,253,0.6679841897233202,0.001
Lipid and atherosclerosis,216,0.625,0.001
Chagas disease (American trypanosomiasis),101,0.7227722772277227,0.002
Estrogen signaling pathway,134,0.8432835820895522,0.002
Fat digestion and absorption,43,0.18604651162790697,0.002
HTLV-I infection,283,0.657243816254417,0.002
Metabolic pathways,1315,0.5209125475285171,0.002
Nuclear pore complex,41,1.024390243902439,0.002
Relaxin signaling pathway,129,0.8449612403100775,0.002
Cortisol synthesis and secretion,72,0.6805555555555556,0.002
Colorectal cancer,88,0.8181818181818182,0.002
Prostate cancer,99,0.8383838383838383,0.002
Autophagy - animal,167,0.7724550898203593,0.003
Ubiquitin mediated proteolysis,151,0.7483443708609272,0.003
Chemical carcinogenesis - DNA adducts,84,0.10714285714285714,0.003
BMP signaling,20,0.45,0.004
Endocytosis,297,0.5925925925925926,0.004
PPAR signaling pathway,90,0.4777777777777778,0.004
TGF-beta signaling pathway,112,0.875,0.004
Alcoholism,205,0.4146341463414634,0.004
Protein processing in endoplasmic reticulum,183,0.6174863387978142,0.005
Signaling pathways regulating pluripotency of stem cells,141,0.8723404255319149,0.005
T cell receptor signaling pathway,125,0.64,0.005
Thyroid hormone synthesis,74,0.8243243243243243,0.005
Pentose and glucuronate interconversions,37,0.08108108108108109,0.006
Urea cycle,6,0.6666666666666666,0.006
Cul3-SPOP complex,5,0.6,0.007
Glycerolipid metabolism,64,0.71875,0.007
"Parathyroid hormone synthesis, secretion and action",108,0.9444444444444444,0.007
Herpes simplex virus 1 infection,458,0.21615720524017468,0.007
Circadian rhythm,37,0.972972972972973,0.008
Amphetamine addiction,69,0.5362318840579711,0.009
Adrenergic signaling in cardiomyocytes,156,0.5897435897435898,0.011
FoxO signaling pathway,133,0.8571428571428571,0.011
Long-term potentiation,67,0.5671641791044776,0.011
TNF signaling pathway,115,0.8695652173913043,0.011
Apoptosis - multiple species,33,0.7878787878787878,0.012
ErbB signaling pathway,86,0.7325581395348837,0.012
MCM complex,6,0.5,0.012
Circadian entrainment,100,0.76,0.013
Renin secretion,76,0.5131578947368421,0.013
RF-C complex,5,0.8,0.013
Transcriptional misregulation in cancer,224,0.6339285714285714,0.013
Dopaminergic synapse,138,0.5797101449275363,0.014
Notch signaling pathway,63,1.2222222222222223,0.014
Amyotrophic lateral sclerosis,369,0.6151761517615176,0.014
N-Glycan biosynthesis,53,0.32075471698113206,0.015
SCF-BTRC complex,6,0.5,0.015
