pathway,nums,percent,pvalue
"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P",4,0.75,0.098
GABA (gamma-Aminobutyrate) shunt,4,0.75,0.467
RF-C complex,5,0.6,0.478
Proximal tubule bicarbonate reclamation,22,0.13636363636363635,0.501
Citrate cycle (TCA cycle),32,0.125,0.607
Sm core complex,8,0.875,0.646
"Spliceosome, Prp19/CDC5L complex",13,0.3076923076923077,0.653
Survival motor neuron (SMN) complex,9,0.3333333333333333,0.653
MRN complex,3,1.0,0.67
Phenylalanine metabolism,24,0.125,0.678
Terpenoid backbone biosynthesis,24,0.125,0.681
"Spliceosome, U1-snRNP",11,0.8181818181818182,0.7
"Glycine, serine and threonine metabolism",40,0.125,0.701
Glycosphingolipid biosynthesis - globo and isoglobo series,17,0.17647058823529413,0.714
Non-alcoholic fatty liver disease (NAFLD),151,0.5231788079470199,0.718
Virion - Lyssavirus,4,0.75,0.719
Methionine salvage pathway,11,0.36363636363636365,0.724
Non-alcoholic fatty liver disease,156,0.5448717948717948,0.732
Metabolic pathways,1315,0.48136882129277564,0.736
DNA polymerase alpha / primase complex,4,1.5,0.739
HRD1/SEL1 ERAD complex,13,0.23076923076923078,0.765
Pantothenate and CoA biosynthesis,22,0.18181818181818182,0.77
Ribosome biogenesis in eukaryotes,125,0.552,0.773
Ribosome,187,0.45454545454545453,0.774
Collecting duct acid secretion,27,0.1111111111111111,0.776
Biosynthesis of cofactors,152,0.618421052631579,0.781
MAPK (ERK1/2) signaling,8,0.375,0.789
Ascorbate and aldarate metabolism,31,0.0967741935483871,0.79
Histidine metabolism,28,0.21428571428571427,0.792
"Ribosome, eukaryotes",98,0.5510204081632653,0.792
IL-17 signaling pathway,93,0.6236559139784946,0.798
Lsm 2-8 complex,7,1.1428571428571428,0.798
Maturity onset diabetes of the young,27,0.14814814814814814,0.798
"beta-Oxidation, acyl-CoA synthesis",8,0.375,0.803
"Spliceosome, U4/U6.U5 tri-snRNP",32,0.90625,0.804
Fatty acid biosynthesis,20,0.35,0.805
DNA damage-induced cell cycle checkpoints,7,0.5714285714285714,0.807
Fatty acid degradation,53,0.05660377358490566,0.809
NOD-like receptor signaling pathway,220,0.4909090909090909,0.81
Cysteine and methionine metabolism,57,0.6842105263157895,0.812
Lsm 1-7 complex,7,1.0,0.812
Huntington's disease,194,0.5,0.813
Immunoproteasome,18,0.16666666666666666,0.815
"Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol",9,0.3333333333333333,0.816
