pathway,nums,percent,pvalue
Apoptosis,137,0.583941605839416,0.0
B cell receptor signaling pathway,85,0.6352941176470588,0.0
cAMP signaling pathway,224,0.3482142857142857,0.0
Chagas disease (American trypanosomiasis),101,0.49504950495049505,0.0
IL-17 signaling pathway,93,0.6021505376344086,0.0
Jak-STAT signaling pathway,159,0.4339622641509434,0.0
NF-kappa B signaling pathway,114,0.43859649122807015,0.0
PI3K-Akt signaling pathway,373,0.5281501340482574,0.0
Prolactin signaling pathway,74,0.3918918918918919,0.0
TNF signaling pathway,115,0.6956521739130435,0.0
Toll-like receptor signaling,15,0.6666666666666666,0.0
mmuK signaling pathway,301,0.5980066445182725,0.0
JAK-STAT signaling pathway,171,0.45614035087719296,0.0
Relaxin signaling pathway,129,0.49612403100775193,0.0
Transcriptional misregulation in cancer,224,0.4642857142857143,0.0
Colorectal cancer,88,0.4431818181818182,0.0
Herpes simplex virus 1 infection,458,0.17467248908296942,0.0
Legionellosis,60,0.4,0.0
Amoebiasis,107,0.4672897196261682,0.0
Leishmaniasis,70,0.35714285714285715,0.0
Chagas disease,103,0.5145631067961165,0.0
Rheumatoid arthritis,87,0.26436781609195403,0.0
Osteoclast differentiation,140,0.5142857142857142,0.001
MicroRNAs in cancer,303,0.38613861386138615,0.001
Choline metabolism in cancer,98,0.6428571428571429,0.001
Measles,145,0.4827586206896552,0.001
Amphetamine addiction,69,0.2898550724637681,0.001
Apoptosis - multiple species,33,0.15151515151515152,0.002
Cholinergic synapse,114,0.5087719298245614,0.002
Cytokine-cytokine receptor interaction,326,0.3282208588957055,0.002
DNA replication,35,0.8857142857142857,0.002
Estrogen signaling pathway,134,0.5522388059701493,0.002
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,21,0.23809523809523808,0.002
Neuroactive ligand-receptor interaction,393,0.29770992366412213,0.002
Pathways in cancer,543,0.5911602209944752,0.002
Yersinia infection,135,0.674074074074074,0.002
Lipid and atherosclerosis,216,0.4861111111111111,0.002
AGE-RAGE signaling pathway in diabetic complications,101,0.43564356435643564,0.002
Circadian entrainment,100,0.41,0.003
GnRH signaling pathway,90,0.4,0.003
Glycerophospholipid metabolism,99,0.6060606060606061,0.004
Thyroid hormone signaling pathway,120,0.5666666666666667,0.004
C-type lectin receptor signaling pathway,112,0.49107142857142855,0.004
Toxoplasmosis,109,0.5229357798165137,0.004
Dorso-ventral axis formation,26,0.5384615384615384,0.005
Herpes simplex infection,215,0.4372093023255814,0.005
RIG-I-like receptor signaling pathway,73,0.5753424657534246,0.005
Efferocytosis,155,0.5096774193548387,0.005
"Parathyroid hormone synthesis, secretion and action",108,0.6296296296296297,0.005
Human T-cell leukemia virus 1 infection,249,0.5220883534136547,0.005
Human immunodeficiency virus 1 infection,239,0.48535564853556484,0.005
Pertussis,77,0.5064935064935064,0.005
Insulin resistance,110,0.5,0.005
Dopaminergic synapse,138,0.34057971014492755,0.006
Chemical carcinogenesis - receptor activation,225,0.3511111111111111,0.006
Small cell lung cancer,93,0.6236559139784946,0.007
Cocaine addiction,48,0.3541666666666667,0.007
Maturity onset diabetes of the young,27,0.1111111111111111,0.007
Biosynthesis of amino acids,84,0.44047619047619047,0.008
Cell cycle,157,0.6050955414012739,0.008
"Glycosaminoglycan biosynthesis, chondroitin sulfate backbone",6,0.5,0.008
HTLV-I infection,283,0.5441696113074205,0.008
Rap1 signaling pathway,218,0.5458715596330275,0.008
PD-L1 expression and PD-1 checkpoint pathway in cancer,88,0.6931818181818182,0.008
Gastric acid secretion,75,0.26666666666666666,0.009
Glycerolipid metabolism,64,0.5625,0.01
MCM complex,6,0.8333333333333334,0.01
Influenza A,173,0.4797687861271676,0.01
Human cytomegalovirus infection,255,0.5098039215686274,0.01
Hippo signaling,15,0.7333333333333333,0.011
Hepatitis B,163,0.6687116564417178,0.011
Arginine biosynthesis,20,0.35,0.012
Cytosolic DNA-sensing pathway,80,0.275,0.012
Fructose and mannose metabolism,38,0.15789473684210525,0.012
Fluid shear stress and atherosclerosis,147,0.46938775510204084,0.012
MAPK signaling pathway,252,0.6071428571428571,0.013
Neurotrophin signaling pathway,121,0.4049586776859504,0.013
Toll-like receptor signaling pathway,104,0.49038461538461536,0.013
"Growth hormone synthesis, secretion and action",117,0.6837606837606838,0.014
Kaposi sarcoma-associated herpesvirus infection,223,0.5067264573991032,0.014
Peroxisome,87,0.5402298850574713,0.016
Complement and coagulation cascades,94,0.18085106382978725,0.017
Insulin signaling pathway,143,0.44755244755244755,0.017
Tuberculosis,180,0.4,0.017
Chronic myeloid leukemia,76,0.5131578947368421,0.018
Antifolate resistance,29,0.4482758620689655,0.018
Drug metabolism - other enzymes,92,0.2826086956521739,0.019
Ras signaling pathway,242,0.5537190082644629,0.02
Hippo signaling pathway,158,0.6265822784810127,0.022
Biosynthesis of cofactors,152,0.6052631578947368,0.022
ErbB signaling pathway,86,0.38372093023255816,0.024
RF-C complex,5,0.8,0.024
Taurine and hypotaurine metabolism,22,0.22727272727272727,0.026
Adipocytokine signaling pathway,73,0.6575342465753424,0.028
Hepatitis C,166,0.5301204819277109,0.029
Synaptic vesicle cycle,77,0.06493506493506493,0.03
Platinum drug resistance,80,0.4,0.031
Inflammatory bowel disease (IBD),59,0.288135593220339,0.032
HIF-1 signaling pathway,120,0.4166666666666667,0.033
Steroid hormone biosynthesis,96,0.03125,0.033
Pancreatic cancer,76,0.631578947368421,0.038
Metabolic pathways,1315,0.5034220532319391,0.039
Axon guidance,183,0.4808743169398907,0.042
Aldosterone synthesis and secretion,105,0.3619047619047619,0.043
Oxytocin signaling pathway,154,0.4935064935064935,0.043
Acute myeloid leukemia,70,0.44285714285714284,0.043
Chemokine signaling pathway,204,0.5147058823529411,0.045
Phospholipase D signaling pathway,150,0.56,0.045
Viral carcinogenesis,228,0.4517543859649123,0.046
Chondroitin sulfate degradation,10,0.3,0.049
VEGF signaling pathway,58,0.43103448275862066,0.05
Salmonella infection,253,0.5652173913043478,0.05
Phagosome,192,0.13020833333333334,0.051
Viral myocarditis,87,0.10344827586206896,0.051
Regulation of actin cytoskeleton,239,0.7196652719665272,0.052
Phosphatidylinositol signaling system,99,0.46464646464646464,0.053
T cell receptor signaling pathway,125,0.488,0.055
cGMP-PKG signaling pathway,175,0.4,0.056
Motor proteins,196,0.28061224489795916,0.057
Chemical carcinogenesis - reactive oxygen species,223,0.43946188340807174,0.057
Primary immunodeficiency,36,0.16666666666666666,0.059
Polycomb repressive complex,84,0.8809523809523809,0.062
Hematopoietic cell lineage,98,0.20408163265306123,0.064
2-Oxocarboxylic acid metabolism,34,0.29411764705882354,0.065
p53 signaling pathway,74,0.6621621621621622,0.065
Prostate cancer,99,0.696969696969697,0.069
Longevity regulating pathway - multiple species,62,0.4838709677419355,0.07
Glycosaminoglycan degradation,21,0.19047619047619047,0.073
Endocrine resistance,93,0.5053763440860215,0.073
BRCA1-associated genome surveillance complex (BASC),16,0.75,0.075
Carbon metabolism,126,0.5079365079365079,0.075
Proteoglycans in cancer,205,0.526829268292683,0.077
Th1 and Th2 cell differentiation,89,0.6179775280898876,0.08
"Alanine, aspartate and glutamate metabolism",41,0.5853658536585366,0.089
Morphine addiction,91,0.21978021978021978,0.092
Lysine degradation,67,0.1791044776119403,0.095
Gap junction,86,0.5581395348837209,0.096
Arginine and proline metabolism,57,0.45614035087719296,0.101
Fatty acid elongation,29,0.27586206896551724,0.103
Glutamatergic synapse,116,0.39655172413793105,0.103
Tyrosine metabolism,41,0.3170731707317073,0.105
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,26,0.23076923076923078,0.108
GnRH secretion,63,0.6349206349206349,0.113
Porphyrin metabolism,43,0.46511627906976744,0.116
Mismatch repair,22,0.6818181818181818,0.117
TGF-beta signaling pathway,112,0.2857142857142857,0.119
Autophagy - other,32,0.09375,0.122
Th17 cell differentiation,107,0.5514018691588785,0.126
Ribosome biogenesis in eukaryotes,125,0.424,0.129
Leukocyte transendothelial migration,121,0.4297520661157025,0.13
Coronavirus disease - COVID-19,249,0.5381526104417671,0.13
Inflammatory bowel disease,62,0.14516129032258066,0.13
GABAergic synapse,91,0.34065934065934067,0.133
Oxidative phosphorylation,151,0.32450331125827814,0.133
AMPK signaling pathway,128,0.390625,0.134
Ribosome,187,0.47593582887700536,0.135
Regulation of lipolysis in adipocytes,57,0.47368421052631576,0.139
Tight junction,179,0.5865921787709497,0.14
Longevity regulating pathway,90,0.5888888888888889,0.142
Salivary secretion,88,0.2727272727272727,0.145
Porphyrin and chlorophyll metabolism,41,0.4878048780487805,0.151
"Spliceosome, 35S U5-snRNP",36,0.4722222222222222,0.151
Platelet activation,126,0.31746031746031744,0.153
Mineral absorption,56,0.10714285714285714,0.154
Cortisol synthesis and secretion,72,0.3333333333333333,0.155
Nicotinate and nicotinamide metabolism,45,0.06666666666666667,0.156
Apelin signaling pathway,145,0.5379310344827586,0.157
Cysteine and methionine metabolism,57,0.47368421052631576,0.157
"Ribosome, eukaryotes",98,0.5816326530612245,0.161
"Fatty acid biosynthesis, elongation, endoplasmic reticulum",13,0.23076923076923078,0.166
