term,,,adj_p_value
"Ribosome, eukaryotes",,,4.55914246395508e-35
Ribosome,,,2.243691236430706e-28
Coronavirus disease - COVID-19,,,1.3986553263254925e-25
Nucleocytoplasmic transport,,,8.224300707395403e-11
Prion disease,,,1.5706367424420316e-09
Proteasome,,,1.5706367424420316e-09
RNA transport,,,2.8059923809888688e-09
Amyotrophic lateral sclerosis,,,3.560599909741165e-09
Parkinson disease,,,6.404110499802311e-09
Regulation of actin cytoskeleton,,,1.5733486939491674e-08
Huntington disease,,,4.137330068358811e-08
Calcium signaling pathway,,,5.7464468376540636e-08
Metabolic pathways,,,6.187501987031932e-08
"Proteasome, 20S core particle",,,2.8562853145253494e-07
"Proteasome, 19S regulatory particle (PA700)",,,3.7790032000409923e-07
Neuroactive ligand-receptor interaction,,,3.8681456782143366e-07
Pathways of neurodegeneration - multiple diseases,,,6.798824307129869e-07
Cell cycle,,,9.977966258434078e-07
Spliceosome,,,1.529818645825935e-06
Alzheimer disease,,,5.6534941069391e-06
Cytokine-cytokine receptor interaction,,,6.615131351914016e-06
Nuclear pore complex,,,1.0728968782453749e-05
PI3K-Akt signaling pathway,,,1.5463161156730468e-05
Spinocerebellar ataxia,,,5.4965366189657725e-05
Chemokine signaling pathway,,,9.437995499614107e-05
Exon junction complex (EJC),,,0.00018182640353601976
"Spliceosome, U4/U6.U5 tri-snRNP",,,0.00018331985420402832
Notch signaling pathway,,,0.00018637466810962814
Non-alcoholic fatty liver disease (NAFLD),,,0.00019671153936471256
Hypertrophic cardiomyopathy (HCM),,,0.00021829592911779236
Dilated cardiomyopathy,,,0.0002287123923615697
Estrogen signaling pathway,,,0.00023769828421223393
Rap1 signaling pathway,,,0.00023769828421223393
Ras signaling pathway,,,0.00023769828421223393
Nucleotide metabolism,,,0.00023949135239751095
Non-alcoholic fatty liver disease,,,0.0002419309291514009
Huntington's disease,,,0.0003254822762903638
Focal adhesion,,,0.00037441104017170055
Hypertrophic cardiomyopathy,,,0.00037441104017170055
Oxytocin signaling pathway,,,0.0004909989784034604
mmuK signaling pathway,,,0.0004909989784034604
Parkinson's disease,,,0.0005658268933839727
Glycerophospholipid metabolism,,,0.0005801867862112851
Diabetic cardiomyopathy,,,0.0005911887926570641
Pathways in cancer,,,0.0006476993181588205
cAMP signaling pathway,,,0.0006594710543126314
Cell adhesion molecules (CAMs),,,0.0006746249407220479
mRNA surveillance pathway,,,0.0007647858933129768
Cell adhesion molecules,,,0.0007743534339069997
MCM complex,,,0.0008560371585268578
Immunoproteasome,,,0.0009299672767535471
Antifolate resistance,,,0.0011876156055279183
"GPI-anchor biosynthesis, core oligosaccharide",,,0.0017887664757295196
Alzheimer's disease,,,0.002182123636136498
Origin recognition complex,,,0.0022100005604146038
Leukocyte transendothelial migration,,,0.0032420987268960474
Oxidative phosphorylation,,,0.0032596941808042588
GABAergic synapse,,,0.003319851981874241
Morphine addiction,,,0.003319851981874241
Viral carcinogenesis,,,0.0033451627915575513
Arrhythmogenic right ventricular cardiomyopathy (ARVC),,,0.003536015522886739
GnRH secretion,,,0.003536015522886739
Protein processing in endoplasmic reticulum,,,0.0036033133443674403
Cytochrome bc1 complex,,,0.003894782406394981
Carbon metabolism,,,0.003910870095009535
Thermogenesis,,,0.003910870095009535
Pyruvate metabolism,,,0.003910870095009535
MAPK signaling pathway,,,0.003929031639515628
NF-kappa B signaling pathway,,,0.003929031639515628
Polycomb repressive complex,,,0.003958383485482157
JAK-STAT signaling pathway,,,0.004417066726908511
Viral protein interaction with cytokine and cytokine receptor,,,0.004417066726908511
Glutathione metabolism,,,0.0044273301655579755
Chemical carcinogenesis - reactive oxygen species,,,0.004464110492236585
Autophagy - animal,,,0.004552356391710889
"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol",,,0.004669000782186781
Steroid biosynthesis,,,0.004669000782186781
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,,,0.004919857696345563
Arrhythmogenic right ventricular cardiomyopathy,,,0.005472417440686259
Fc epsilon RI signaling pathway,,,0.005786881994207913
Mismatch repair,,,0.006124847567805448
ECM-receptor interaction,,,0.006491194579293134
Hepatocellular carcinoma,,,0.006921818583800165
Fanconi anemia pathway,,,0.007069122923588053
Signaling pathways regulating pluripotency of stem cells,,,0.007069122923588053
Apelin signaling pathway,,,0.007452998717433401
Proteoglycans in cancer,,,0.00782660224047014
Cholinergic synapse,,,0.008524288252406918
Melanoma,,,0.008524288252406918
Platelet activation,,,0.008755775307779875
NADH dehydrogenase (ubiquinone) 1 beta subcomplex,,,0.009375058610739272
Propanoate metabolism,,,0.010073299391801915
Arginine and proline metabolism,,,0.010322362533437109
Cysteine and methionine metabolism,,,0.010322362533437109
Retrograde endocannabinoid signaling,,,0.010322362533437109
H/ACA ribonucleoprotein complex,,,0.010322362533437109
Longevity regulating pathway,,,0.010325976993936043
RNA degradation,,,0.010325976993936043
B cell receptor signaling pathway,,,0.010472167943256894
Ferroptosis,,,0.010476672256063723
Progesterone-mediated oocyte maturation,,,0.010497887602480313
Relaxin signaling pathway,,,0.01053118384768776
DNA replication,,,0.011511596069872584
FoxO signaling pathway,,,0.011757057333803844
Malaria,,,0.011996613423689337
Peroxisome,,,0.011996613423689337
Epstein-Barr virus infection,,,0.012650969972925023
BRCA1-associated genome surveillance complex (BASC),,,0.013750473884362596
"Guanine ribonucleotide biosynthesis IMP => GDP,GTP",,,0.013857924487340618
"Pyruvate oxidation, pyruvate => acetyl-CoA",,,0.014918333362394563
Jak-STAT signaling pathway,,,0.015809331002560593
THC complex,,,0.01606428459500308
Ubiquitin mediated proteolysis,,,0.016604437787057332
Lsm 1-7 complex,,,0.017441517966896813
Lsm 2-8 complex,,,0.017441517966896813
