pathway,,,,,
Neuroactive ligand-receptor interaction,,,0,,
Pathways in cancer,,,0,,
Alzheimer disease,,,0,,
Lysosome,,,0,,
Autophagy - animal,,,0,,
Thermogenesis,,,0,,
Sphingolipid signaling pathway,,,0,,
Human T-cell leukemia virus 1 infection,,,0,,
Human papillomavirus infection,,,0,,
Protein processing in endoplasmic reticulum,,,0,,
Biosynthesis of cofactors,,,0,,
Non-alcoholic fatty liver disease (NAFLD),,,0,,
Non-alcoholic fatty liver disease,,,0,,
Viral carcinogenesis,,,0,,
Calcium signaling pathway,,,0,,
RNA transport,,,0,,
Longevity regulating pathway,,,0,,
Ubiquitin mediated proteolysis,,,0,,
Efferocytosis,,,0,,
Kaposi sarcoma-associated herpesvirus infection,,,0,,
Nucleotide metabolism,,,0,,
cAMP signaling pathway,,,0,,
Circadian entrainment,,,0,,
mTOR signaling pathway,,,0,,
Human cytomegalovirus infection,,,0,,
cGMP-PKG signaling pathway,,,0,,
Necroptosis,,,0,,
PI3K-Akt signaling pathway,,,0,,
HTLV-I infection,,,0,,
Gap junction,,,0,,
Endocytosis,,,0,,
Glutamatergic synapse,,,0,,
Oxytocin signaling pathway,,,0,,
Spinocerebellar ataxia,,,0,,
"Growth hormone synthesis, secretion and action",,,0,,
Insulin resistance,,,0,,
Insulin signaling pathway,,,0,,
Herpes simplex virus 1 infection,,,0,,
Metabolic pathways,,,0,,
AMPK signaling pathway,,,0,,
Phospholipase D signaling pathway,,,0,,
Longevity regulating pathway - multiple species,,,0,,
Chemical carcinogenesis - receptor activation,,,0,,
GABAergic synapse,,,0,,
Signaling pathways regulating pluripotency of stem cells,,,0,,
Viral life cycle - HIV-1,,,0,,
Biosynthesis of amino acids,,,0,,
Ribosome biogenesis in eukaryotes,,,0,,
mRNA surveillance pathway,,,0,,
Renin secretion,,,0,,
Chemokine signaling pathway,,,0,,
Thyroid hormone signaling pathway,,,0,,
Herpes simplex infection,,,0.0001,,
N-Glycan biosynthesis,,,0.0001,,
Purine metabolism,,,0.0001,,
Leukocyte transendothelial migration,,,0.0001,,
Peroxisome,,,0.0001,,
Regulation of actin cytoskeleton,,,0.0002,,
HIF-1 signaling pathway,,,0.0002,,
Antifolate resistance,,,0.0002,,
Insulin secretion,,,0.0002,,
Dopaminergic synapse,,,0.0003,,
Inflammatory bowel disease,,,0.0004,,
Tyrosine metabolism,,,0.0005,,
Cocaine addiction,,,0.0005,,
Adipocytokine signaling pathway,,,0.0006,,
Apoptosis,,,0.0006,,
Cell cycle,,,0.0006,,
Choline metabolism in cancer,,,0.0007,,
EGFR tyrosine kinase inhibitor resistance,,,0.0012,,
Inflammatory bowel disease (IBD),,,0.0013,,
Various types of N-glycan biosynthesis,,,0.0013,,
Circadian rhythm,,,0.0017,,
Th17 cell differentiation,,,0.0017,,
Cysteine and methionine metabolism,,,0.0019,,
MCM complex,,,0.002,,
Fc gamma R-mediated phagocytosis,,,0.0024,,
One carbon pool by folate,,,0.0029,,
Rheumatoid arthritis,,,0.0031,,
SNARE interactions in vesicular transport,,,0.0035,,
Cell cycle - G1/S transition,,,0.0035,,
Type II diabetes mellitus,,,0.0045,,
N-glycan precursor biosynthesis,,,0.0053,,
Arginine and proline metabolism,,,0.0053,,
Alcoholism,,,0.0053,,
Regulation of lipolysis in adipocytes,,,0.006,,
Cholinergic synapse,,,0.0061,,
Prostate cancer,,,0.0064,,
Cellular senescence,,,0.0066,,
Amphetamine addiction,,,0.0075,,
Parkinson disease,,,0.0081,,
Vasopressin-regulated water reabsorption,,,0.0097,,
Focal adhesion,,,0.0109,,
Neurotrophin signaling pathway,,,0.0108,,
Lipid and atherosclerosis,,,0.0122,,
Polycomb repressive complex,,,0.0143,,
Prion disease,,,0.0142,,
Sphingolipid metabolism,,,0.0142,,
Pyrimidine metabolism,,,0.0161,,
Estrogen signaling pathway,,,0.0171,,
Long-term potentiation,,,0.0244,,
Mitophagy - animal,,,0.0252,,
Glucagon signaling pathway,,,0.0251,,
Yersinia infection,,,0.0273,,
Cushing syndrome,,,0.0281,,
TGF-beta signaling pathway,,,0.0281,,
Histidine metabolism,,,0.0279,,
Fluid shear stress and atherosclerosis,,,0.0285,,
Bacterial invasion of epithelial cells,,,0.0359,,
