tf,p-value
Taf1,0.0
Tbp,0.0
Tfdp1,0.0
Fosl2,0.0
Thap1,0.0
Gmeb2,0.0
Srf,0.0
Hnf1B,0.0
Cebpa,0.0
Rbbp5,0.0
Irf9,0.0
Taf7,0.0
Hnf4G,0.0
Ctcf,0.0
Rxra,0.0
Mecom,0.0
Gabpa,0.0
Elk3,0.0
Hnf4A,0.0
Nr1H3,0.0
Tgif2,0.0
Creb3L2,0.0
Jun,0.0
Etv3,0.0
Thra,0.0
Tgif1,0.0
Fosl1,0.0
Nfyb,0.0
Rab14,0.0
Prdm16,0.0
Kdm5A,0.0
Pbx3,0.0
Ppara,0.0
Stat2,0.0
Znf143,0.0
Yy1,0.0
Foxp2,0.0
Cebpb,0.0
Ddit3,0.0
Nfil3,0.0
Rfx5,0.0
Nr2C2,0.0
Znf768,0.0
Sp1,0.0
Elf1,0.0
Cebpg,0.0
Nfyc,0.0
Nr2F6,0.0
Atf4,0.0
Elk4,0.0
Ubtf,0.0
Hnf1A,0.0
Rb1,0.0
Smad5,0.0
Foxo4,0.0001
E2F7,0.0001
Esrra,0.0001
Maz,0.0002
Gtf2F1,0.0002
Creb5,0.0002
Wrnip1,0.0003
Elk1,0.0003
Jund,0.0003
Hcfc1,0.0003
Six5,0.0004
Foxq1,0.0006
Faap24,0.0008
Atf3,0.0009
Rcor1,0.0011
Rela,0.0014
Sp2,0.0016
Ep300,0.0019
Znf490,0.0019
Mecp2,0.0022
Rfx2,0.0022
Irf2,0.0023
Hoxa3,0.0024
Nr1I3,0.0036
Cdx2,0.0036
E2F2,0.0038
Cdx1,0.0042
Nr1I2,0.0044
Etv6,0.0045
Fosb,0.0054
Nfe2L1,0.0077
Foxo1,0.0087
Junb,0.0097
Spib,0.01
Elf4,0.0118
Stat4,0.015
Nrf1,0.0152
E2F8,0.016
Creb3,0.0165
Znf441,0.0168
Hivep3,0.0172
Foxa1,0.02
Stat3,0.0201
Nfe2L2,0.0204
Znf266,0.021
E2F1,0.0211
Zkscan1,0.023
Mafb,0.0238
Znf607,0.0265
Tal1,0.0301
Hand1,0.0314
Klf1,0.0318
Thap11,0.032
Zbtb14,0.0331
Rara,0.0333
Nr3C1,0.0334
Pitx1,0.034
Nfkb2,0.034
Hoxc6,0.0362
Relb,0.0402
Clock,0.0406
Cebpd,0.0412
Polr2A,0.0416
Eomes,0.0563
Gmeb1,0.0566
Znf585B,0.0568
Znf580,0.057
Ctbp2,0.0588
Zfp62,0.0636
Tbx21,0.0676
Fos,0.0769
Znf35,0.0797
Egr1,0.0812
Lhx5,0.0888
Mef2D,0.0911
Ets2,0.0934
Xbp1,0.0986
Mycn,0.0997
Tcf7,0.0997
Hoxa13,0.1001
Gli2,0.1043
Gsx2,0.1126
Foxj3,0.1136
Mafk,0.1187
Rarg,0.126
Crem,0.1313
Sox21,0.1322
Foxo3,0.134
Tlx2,0.134
Lmx1B,0.1356
Atf6,0.136
Foxp3,0.1365
Tppp,0.1401
Thrb,0.1418
Foxf1,0.142
Setdb1,0.1449
Tbx19,0.1455
Atf1,0.151
