tf,p-value
Tbp,0.0
Tfdp1,0.0
Fosl2,0.0
E2F8,0.0
Zfp62,0.0
Gmeb2,0.0
Srf,0.0
Hnf1B,0.0
Cebpd,0.0
Foxc1,0.0
Rbbp5,0.0
Elk1,0.0
Irf9,0.0
Clock,0.0
Znf76,0.0
Relb,0.0
Rfx1,0.0
Foxo1,0.0
Foxq1,0.0
Etv5,0.0
Tgif2,0.0
Znf384,0.0
Zic2,0.0
Tgif1,0.0
Mybl2,0.0
Rela,0.0
Gtf2F1,0.0
Atf3,0.0
Znf426,0.0
Irf4,0.0
Foxn3,0.0
Yy1,0.0
Foxp2,0.0
E2F2,0.0
Nfkb2,0.0
Rfx5,0.0
Nr2C2,0.0
Sp1,0.0
Klf16,0.0
Stat1,0.0
Nfyc,0.0
Nr2F6,0.0
E2F1,0.0
Mlx,0.0
Batf,0.0
Elk4,0.0
Polr2A,0.0
Rfx2,0.0
Rb1,0.0
Hcfc1,0.0
Thap1,0.0001
Cers6,0.0001
Meis3,0.0001
Jun,0.0001
Cebpb,0.0001
Klf4,0.0002
Nfil3,0.0003
Tp53,0.0004
Jund,0.0005
Nrf1,0.0011
Atf6,0.0012
Rara,0.0012
Thap11,0.0015
Mecom,0.0015
Etv3,0.0022
Smad5,0.0022
Znf671,0.0023
Nfyb,0.0023
Creb3,0.0024
Tp73,0.0026
E2F7,0.0027
Znf274,0.0027
Ctbp2,0.0031
Ppara,0.0037
Mafg,0.0039
Foxa1,0.0041
Xbp1,0.0043
Spib,0.0047
Fosb,0.0048
Sp2,0.0049
Eomes,0.0058
Hoxa4,0.0059
Hoxc13,0.0059
Etv6,0.0082
Znf557,0.0086
Hmx2,0.0093
Creb3L2,0.0111
Znf143,0.0112
Smarca4,0.012
Nfatc3,0.0125
Taf1,0.0129
Gata1,0.0136
Elf3,0.0151
Maz,0.0158
Vdr,0.0197
Etv7,0.0211
Gata6,0.0221
Junb,0.0227
Znf768,0.0234
Nr1H3,0.0237
Znf136,0.0259
Rarg,0.0261
Hnf1A,0.0261
Atf4,0.0263
Ikzf2,0.029
Mef2D,0.0302
Irf1,0.0318
Lhx1,0.0321
Elf4,0.0322
Bcl6B,0.0324
Ets2,0.0336
Foxa2,0.034
Ep300,0.0355
Gbx1,0.0381
Tal1,0.0392
Rora,0.0405
Prdm16,0.0426
Tead4,0.0431
Srebf2,0.0437
Egr1,0.0489
Phox2A,0.0532
Hoxa13,0.0544
Nfe2L1,0.0549
Fos,0.0573
Ubtf,0.0622
Znf816,0.0677
Myog,0.0777
Gata4,0.0831
Hlf,0.084
Rxra,0.0871
Hnf4G,0.0874
Znf513,0.0933
Znf471,0.094
Nr1D2,0.0941
Cux1,0.0997
Ddit3,0.1019
Foxo4,0.108
Myf6,0.1221
Hoxc10,0.1293
Creb5,0.1327
Zbtb14,0.1337
Pparg,0.134
Kdm5A,0.1615
Zfp30,0.1619
Taf7,0.1661
Tead3,0.1673
Bcl3,0.1712
Stat4,0.1715
Ctcf,0.1718
Elk3,0.1862
E2F6,0.1982
Tcf7L2,0.2031
Znf35,0.2249
Nfe2L2,0.2484
Znf791,0.2484
Znf787,0.2523
Stat2,0.2577
Klf17,0.2578
Znf835,0.2766
Sall2,0.2839
Max,0.2852
Rax2,0.2889
Nfatc2,0.2907
Pou2F1,0.2948
Mecp2,0.2952
Cebpg,0.2974
Gsc,0.2988
Pbx1,0.302
Nr1I2,0.3104
Mycn,0.3277
Nr1I3,0.3295
Hoxb5,0.3303
Dlx2,0.3306
Hivep2,0.331
Osr2,0.3332
Glis2,0.3339
Znf625,0.3346
Znf266,0.3359
Znf547,0.3363
Nkx6-2,0.3366
Meis1,0.3366
Nelfe,0.3376
Nucb1,0.3376
Mesp1,0.3399
Stat6,0.3407
Foxf1,0.3433
Zscan12,0.357
Klf5,0.361
Nr3C1,0.382
Nkx3-2,0.3873
Hltf,0.4041
Tfap4,0.4111
E4F1,0.4234
Znf227,0.4236
Stat5A,0.4258
Znf490,0.4266
Tbx21,0.4277
Hoxc11,0.4377
Znf607,0.4471
Znf740,0.4553
Cic,0.4608
Tead2,0.4793
Nkx2-5,0.4879
Barhl1,0.4898
Etv4,0.4951
Stat3,0.5126
Gata3,0.5215
Hivep3,0.5352
Nfkb1,0.5549
Znf229,0.5577
Irf2,0.564
Znf821,0.5727
Tfap2A,0.5735
Crem,0.586
Mxi1,0.586
Gmeb1,0.6193
Sox21,0.6286
Cdx1,0.6341
Gata2,0.6361
Lhx5,0.643
Pitx2,0.6487
Six2,0.6556
Znf718,0.6573
Tfcp2L1,0.6575
Arid3A,0.6597
Uqcrb,0.6598
Elf5,0.6614
Rhoxf1,0.663
Znf37A,0.6648
Foxo3,0.6655
Brf2,0.6657
Znf112,0.6658
Etv2,0.6661
Gli1,0.6668
Zbtb7A,0.667
Zkscan1,0.6672
Hinfp,0.669
Klf1,0.6712
Hoxc6,0.675
Znf235,0.6873
Tcf7,0.695
Hoxa3,0.7221
Thra,0.7255
Plagl1,0.7335
Znf319,0.7584
Pax8,0.7644
Smad9,0.7722
Nkx3-1,0.7726
Rcor1,0.7735
Tead1,0.7913
Gli2,0.7921
Foxj3,0.8142
Hnf4A,0.8529
Fosl1,0.8556
Hoxa5,0.8558
Znf3,0.8738
Pbx3,0.8905
Arnt,0.9125
Hoxb9,0.9254
Pitx1,0.9623
Lmx1B,0.9633
Otx1,0.9654
Dlx1,0.9673
Setdb1,1.0
Mafb,1.0
Gabpa,1.0
Znf404,1.0
Snapc4,1.0
Znf589,1.0
Zscan18,1.0
Nkx1-1,1.0
Mzf1,1.0
Hlx,1.0
Cdx2,1.0
Atf1,1.0
Tlx2,1.0
