Source,Target
Arid3A,Cnr1
Arid3A,Coro2A
Arid3A,Exoc3L2
Arid3A,Gse1
Arid3A,Cebpg
Arid3A,Creb3
Arid3A,Etv6
Arid3A,Hcfc1
Arid3A,Hnf1B
Arid3A,Klf16
Arid3A,Rara
Arid3A,Rela
Arid3A,Znf787
Cnr1,Batf
Cnr1,Clock
Cnr1,Elk3
Cnr1,Etv5
Cnr1,Foxc1
Cnr1,Rb1
Cnr1,Rxra
Coro2A,Creb3
Coro2A,Elk1
Coro2A,Ep300
Coro2A,Gtf2F1
Coro2A,Hnf1B
Coro2A,Maz
Coro2A,Nr1H3
Coro2A,Nr2F6
Coro2A,Rara
Coro2A,Rbbp5
Coro2A,Rxra
Coro2A,Tcf7
Coro2A,Zbtb7B
Coro2A,Znf740
Coro2A,Znf787
Exoc3L2,Cebpg
Exoc3L2,Creb3
Exoc3L2,Elk1
Exoc3L2,Hnf1B
Exoc3L2,Nr2F6
Exoc3L2,Nr6A1
Exoc3L2,Rara
Gse1,Cebpg
Gse1,Elk4
Gse1,Ep300
Gse1,Foxj3
Gse1,Gmeb2
Gse1,Hnf1B
Gse1,Kdm5A
Gse1,Mecp2
Gse1,Smad5
Gse1,Taf1
Gse1,Ubtf
Gse1,Znf384
Gse1,Znf787
Arnt,Cuta
Arnt,Diaph2
Arnt,Hdac5
Arnt,Jmjd1C
Arnt,Khk
Arnt,Nr1D2
Arnt,Nr3C1
Arnt,Pak1
Arnt,Pde8A
Arnt,Pdlim5
Arnt,Per2
Arnt,Phf3
Arnt,Rbm47
Arnt,Spag9
Arnt,Tet2
Arnt,Dixdc1
Arnt,Met
Arnt,Mxi1
Arnt,Sirt1
Arnt,Eml4
Arnt,Lnx1
Arnt,Kdm5A
Arnt,Nfyb
Arnt,Nfyc
Arnt,Pbx3
Arnt,Yy1
Cuta,Nfyc
Diaph2,Hnf4A
Diaph2,Nr3C1
Hdac5,Hnf1B
Hdac5,Hnf4A
Hdac5,Mef2D
Hdac5,Nr1H3
Hdac5,Tgif2
Hdac5,Yy1
Hdac5,Znf768
Jmjd1C,Foxo1
Jmjd1C,Foxo3
Jmjd1C,Foxp2
Jmjd1C,Taf1
Jmjd1C,Taf7
Khk,Hnf1A
Khk,Hnf4A
Khk,Nr1H3
Nr1D2,Foxn3
Nr1D2,Foxp2
Nr1D2,Hnf4A
Nr1D2,Jund
Nr1D2,Mxi1
Nr1D2,Nfil3
Nr1D2,Acvr1C
Nr1D2,C20Orf202
Nr1D2,Cpeb2
Nr1D2,Il1Rapl1
Nr1D2,Npas2
Nr1D2,Nr3C1
Nr1D2,Tet2
Nr1D2,Anp32C
Nr1D2,Cdh2
Nr1D2,Fbxl3
Nr1D2,Kcnab3
Nr1D2,Lonrf3
Nr1D2,Lrig3
Nr1D2,Pcolce
Nr1D2,Rad54L2
Nr1D2,Sec1P
Nr1D2,Zfp36L1
Nr3C1,Foxp2
Nr3C1,Nfib
Nr3C1,Nfyb
Nr3C1,Nfyc
Nr3C1,Atxn1
Nr3C1,Clic4
Nr3C1,Dact3-As1
Nr3C1,Dnajb4
Nr3C1,Ehbp1
Nr3C1,Inhba-As1
Nr3C1,Kiaa1217
Nr3C1,Map3K7Cl
Nr3C1,Mast4
Nr3C1,Mat2B
Nr3C1,Pamr1
Nr3C1,Per2
Nr3C1,Tle4
Nr3C1,Zbtb18
Nr3C1,Zbtb20
Nr3C1,Taf7
Nr3C1,Thrb
Nr3C1,Yy1
Pak1,Hnf4A
Pak1,Ubtf
Pde8A,Foxo3
Pde8A,Hnf1B
Pde8A,Taf1
Pdlim5,Ep300
Pdlim5,Hnf4A
Pdlim5,Yy1
Per2,Atf3
Per2,Clock
Per2,Ddit3
Per2,Fosb
Per2,Foxp2
Per2,Gmeb2
Per2,Hlf
Per2,Jun
Per2,Nrf1
Per2,Rara
Per2,Rfx2
Per2,Snapc4
Phf3,Foxj3
Phf3,Foxn3
Phf3,Foxo3
Phf3,Foxp2
Phf3,Kdm5A
Phf3,Taf7
Rbm47,Ep300
Rbm47,Foxo3
Rbm47,Nfe2L2
Rbm47,Polr2A
Rbm47,Rbbp5
Rbm47,Taf7
Rbm47,Yy1
Spag9,Atf6
Spag9,Hnf4A
Spag9,Rbbp5
Spag9,Tead1
Tet2,Foxp2
Tet2,Kdm5A
Tet2,Nfyc
Tet2,Zfp62
Dixdc1,Atf3
Dixdc1,Foxo1
Dixdc1,Foxo3
Dixdc1,Nfyb
Dixdc1,Nr1H3
Met,Crem
Met,Elk4
Met,Fosl1
Met,Hnf4A
Mxi1,Foxj3
Mxi1,Foxn3
Mxi1,Foxo3
