GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
0610031J06Rik,0.931581,-0.015901629,0.96908736,0.038965527,0.96743417,0.055115666,0.9731506,0.07214792,0.9731505,0.072147876,0.96781814,0.048856344,0.97012436,0.00567602
A930001N09Rik,0.6591303,0.22078823,0.69796896,0.0495998,0.6991812,0.04552309,0.70362407,0.011464033,0.7028212,0.024535555,0.70418775,0.0024161749,0.68021685,0.07569924
Abt1,0.22238559,0.24314772,0.22238559,0.24314772,0.22238559,0.24314772,0.22238562,0.24314772,0.22238559,0.24314772,0.22238562,0.24314772,0.22238559,0.24314772
Adar,0.5236814,0.20678051,0.5132697,0.27564844,0.50788033,0.27190006,0.51215607,0.23013438,0.5121561,0.23013441,0.51215607,0.23013444,0.51215607,0.23013441
Adnp2,0.8013824,0.4887646,0.91311216,-0.4947503,0.9089253,-0.31192243,0.91872144,-0.465283,0.9290587,-0.4374117,0.92421114,-0.5079761,0.93261755,-0.5226657
Aebp1,1.4737711,-1.1120358,1.8103856,0.32149187,1.809862,0.32659942,1.8059973,0.53179044,1.8059973,0.53179044,1.8059968,0.5317907,1.805997,0.5317905
Aebp2,0.9431913,0.19552551,0.9583123,0.13016282,0.93698025,-0.22127831,0.93836904,-0.2151135,0.93216074,-0.16235943,0.933257,-0.1825642,0.95391476,0.13260432
Ahctf1,0.749735,0.10931975,0.76493585,-0.13891108,0.7700168,-0.16933282,0.7696482,-0.16056679,0.764567,-0.1301451,0.76493573,-0.1389111,0.7517636,-0.03977508
Ahr,0.68950605,0.031549882,0.70238614,0.12627342,0.7005532,0.14417875,0.6987201,0.16208409,0.6987201,0.16208407,0.69872016,0.16208409,0.69918275,0.15755649
Aire,0.63716143,0.1464555,0.6403886,0.01891752,0.64038855,0.018917497,0.63409007,0.029380422,0.61803335,-0.22205646,0.5688423,-0.17010988,0.6361545,-0.16457306
Ankrd1,1.1183764,0.12739703,1.1545882,0.17208347,1.1471952,0.61408573,1.1455563,0.630099,1.1455562,0.63009924,1.1455561,0.6300991,1.1455562,0.63009924
