label,value,term
1,1,Ras signaling pathway
1,1,Focal adhesion
1,1,ECM-receptor interaction
1,1,Cytokine-cytokine receptor interaction
1,10,Pathways in cancer
1,10,Adherens junction
1,19,Tight junction
1,20,Phospholipase D signaling pathway
1,21,Small cell lung cancer
1,23,Neurotrophin signaling pathway
1,29,EGFR tyrosine kinase inhibitor resistance
1,30,C-type lectin receptor signaling pathway
1,30,Breast cancer
1,31,Signaling pathways regulating pluripotency of stem cells
1,32,TGF-beta signaling pathway
1,33,Apoptosis
1,35,Hepatitis B
1,37,MAPK signaling pathway
0,39,GINS complex
1,40,Thyroid hormone synthesis
1,40,Gap junction
1,41,T cell receptor signaling pathway
1,42,Chronic myeloid leukemia
1,42,Gastric cancer
0,45,DNA polymerase epsilon complex
1,46,Chemokine signaling pathway
1,50,Hepatocellular carcinoma
1,51,JAK-STAT signaling pathway
1,52,Rheumatoid arthritis
0,53,DNA polymerase delta complex
1,56,Thyroid cancer
0,57,DNA polymerase alpha / primase complex
1,60,Transcriptional misregulation in cancer
1,61,Chemical carcinogenesis - receptor activation
1,67,Acute myeloid leukemia
1,67,Thyroid hormone signaling pathway
1,67,cGMP-PKG signaling pathway
1,72,Inflammatory bowel disease
1,76,MicroRNAs in cancer
1,77,Proteasome
0,78,RPA complex
1,79,Measles
1,83,Viral carcinogenesis
1,85,Fluid shear stress and atherosclerosis
1,86,Hematopoietic cell lineage
1,96,NF-kappa B signaling pathway
1,101,"Parathyroid hormone synthesis, secretion and action"
0,106,H/ACA ribonucleoprotein complex
1,112,Oxytocin signaling pathway
0,112,"Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP"
1,112,ErbB signaling pathway
1,119,Osteoclast differentiation
1,121,IL-17 signaling pathway
1,126,Th17 cell differentiation
0,127,"Serine biosynthesis, glycerate-3P => serine"
0,130,Shelterin complex
1,145,Th1 and Th2 cell differentiation
1,153,B cell receptor signaling pathway
1,170,Insulin signaling pathway
1,176,RIG-I-like receptor signaling pathway
1,178,PPAR signaling pathway
0,210,Cap binding complex
0,217,Succinate dehydrogenase (ubiquinone)
0,271,Apoptotic machinery
1,285,Primary immunodeficiency
0,313,Ski complex
0,561,TRAMP complex
0,561,Cytochrome bc1 complex respiratory unit
0,561,Lysine biosynthesis
0,561,"Valine, leucine and isoleucine biosynthesis"
0,561,"Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer"
0,561,Lactosylceramide biosynthesis
0,561,"C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone"
0,561,"Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid"
0,561,"Glutathione biosynthesis, glutamate => glutathione"
0,561,"Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate"
0,561,DNA polymerase gamma complex
0,561,"Fatty acid biosynthesis, initiation"
0,561,"Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine"
0,561,"Polyamine biosynthesis, arginine => ornithine => putrescine"
0,561,"Cysteine biosynthesis, homocysteine + serine => cysteine"
0,561,Biotin metabolism
0,561,"Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA"
0,561,"Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate"
0,561,"Fatty acid biosynthesis, elongation"
0,561,D-Arginine and D-ornithine metabolism
0,561,DNA polymerase zeta  complex
0,561,MRN complex
0,561,MAPK (ERK5) signaling
0,561,"Nucleotide sugar biosynthesis, galactose => UDP-galactose"
0,561,"Proline biosynthesis, glutamate => proline"
0,561,"PRPP biosynthesis, ribose 5P => PRPP"
0,561,Sulfur relay system
0,561,DNA-PK complex
0,561,Virion - Adenovirus
0,561,ESCRT-II complex
0,561,GABA (gamma-Aminobutyrate) shunt
0,561,"Phosphatidylcholine (PC) biosynthesis, PE => PC"
0,561,Virion - Lyssavirus
0,561,Translocon-associated protein (TRAP) complex
0,561,D-Glutamine and D-glutamate metabolism
0,561,p97-Ufd1-Npl4 complex
1,561,Intestinal immune network for IgA production
0,561,Sphingosine degradation
0,561,ESCRT-0 complex
0,561,Cholecalciferol biosynthesis
0,561,"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P"
1,561,Asthma
0,561,"Exosome, archaea"
0,561,"Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine"
0,561,"Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3"
0,561,"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate"
