pathway,nums,percent,pvalue
Base excision repair,49,2.2857142857142856,0.0
BRCA1-associated genome surveillance complex (BASC),16,6.0625,0.0
Cell cycle,157,1.3694267515923566,0.0
DNA replication,35,3.1714285714285713,0.0
Focal adhesion,204,0.46568627450980393,0.0
Homologous recombination,42,2.142857142857143,0.0
Mismatch repair,22,4.954545454545454,0.0
Nucleotide excision repair,58,2.103448275862069,0.0
RNA transport,167,0.9760479041916168,0.0
Spliceosome,186,0.9623655913978495,0.0
ATP-dependent chromatin remodeling,136,1.088235294117647,0.0
Polycomb repressive complex,84,1.9047619047619047,0.0
Fanconi anemia pathway,51,1.6666666666666667,0.001
mRNA surveillance pathway,105,1.0095238095238095,0.001
Nuclear pore complex,41,1.5365853658536586,0.001
Ribosome biogenesis in eukaryotes,125,0.6,0.001
Nucleocytoplasmic transport,117,1.0341880341880343,0.001
Basal transcription factors,45,2.088888888888889,0.002
Amoebiasis,107,0.29906542056074764,0.002
Adherens junction,93,0.7634408602150538,0.003
Protein digestion and absorption,110,0.24545454545454545,0.003
Neutrophil extracellular trap formation,208,0.5769230769230769,0.003
Coronavirus disease - COVID-19,249,0.5301204819277109,0.004
Human T-cell leukemia virus 1 infection,249,0.7550200803212851,0.005
Origin recognition complex,6,3.8333333333333335,0.006
Basal cell carcinoma,63,0.3333333333333333,0.006
Herpes simplex infection,215,0.7627906976744186,0.007
Proteoglycans in cancer,205,0.624390243902439,0.007
HTLV-I infection,283,0.8551236749116607,0.009
Axon guidance,183,0.47540983606557374,0.01
Exon junction complex (EJC),22,1.6363636363636365,0.011
Longevity regulating pathway - multiple species,62,1.096774193548387,0.011
Alcoholism,205,0.5804878048780487,0.011
RNA degradation,90,0.6888888888888889,0.012
Pyrimidine metabolism,107,0.8504672897196262,0.013
"Ribosome, eukaryotes",98,0.3877551020408163,0.013
"Spliceosome, U2-snRNP",21,1.7142857142857142,0.013
Hepatitis B,163,1.098159509202454,0.013
"Exosome, eukaryotes",10,2.0,0.014
Purine metabolism,185,0.6,0.015
Thyroid hormone synthesis,74,1.1891891891891893,0.015
Chronic myeloid leukemia,76,1.3421052631578947,0.016
Ribosome,187,0.3155080213903743,0.019
PI3K-Akt signaling pathway,373,0.41823056300268097,0.02
RF-C complex,5,5.2,0.021
ECM-receptor interaction,89,0.43820224719101125,0.023
"Spliceosome, U4/U6.U5 tri-snRNP",32,0.84375,0.025
"Spliceosome, 35S U5-snRNP",36,1.0555555555555556,0.026
Amyotrophic lateral sclerosis,369,0.6666666666666666,0.027
Oocyte meiosis,123,0.6910569105691057,0.028
Viral life cycle - HIV-1,61,0.9672131147540983,0.028
Hedgehog signaling,11,0.5454545454545454,0.03
TGF-beta signaling pathway,112,1.2589285714285714,0.033
Progesterone-mediated oocyte maturation,92,0.8369565217391305,0.036
FoxO signaling pathway,133,0.631578947368421,0.037
MCM complex,6,3.0,0.038
Nucleotide metabolism,84,0.8214285714285714,0.038
Hedgehog signaling pathway,58,0.39655172413793105,0.039
Non-homologous end-joining,13,1.3076923076923077,0.04
Transcriptional misregulation in cancer,224,0.6205357142857143,0.041
Chemical carcinogenesis - receptor activation,225,0.5822222222222222,0.042
Pancreatic cancer,76,1.118421052631579,0.042
Drug metabolism - other enzymes,92,0.6086956521739131,0.043
Cytokine-cytokine receptor interaction,326,0.24233128834355827,0.044
Platinum drug resistance,80,1.1125,0.045
Wnt signaling,38,0.2894736842105263,0.046
Arrhythmogenic right ventricular cardiomyopathy (ARVC),72,0.3472222222222222,0.047
Melanogenesis,100,0.3,0.047
Thyroid hormone signaling pathway,120,0.8666666666666667,0.047
Epstein-Barr virus infection,230,0.782608695652174,0.047
Amphetamine addiction,69,1.0869565217391304,0.048
Influenza A,173,0.6127167630057804,0.051
"Spliceosome, U1-snRNP",11,1.4545454545454546,0.054
Arrhythmogenic right ventricular cardiomyopathy,77,0.33766233766233766,0.057
Hippo signaling pathway,158,0.6012658227848101,0.066
MicroRNAs in cancer,303,0.6006600660066007,0.067
Alcoholic liver disease,141,0.5390070921985816,0.069
DNA polymerase alpha / primase complex,4,3.25,0.072
Sm core complex,8,1.625,0.072
Rap1 signaling pathway,218,0.30275229357798167,0.076
"Guanine ribonucleotide biosynthesis IMP => GDP,GTP",12,1.8333333333333333,0.077
Survival motor neuron (SMN) complex,9,3.2222222222222223,0.079
Viral carcinogenesis,228,0.8464912280701754,0.08
DNA polymerase delta complex,4,2.25,0.081
Endocytosis,297,0.4444444444444444,0.081
Ubiquitin mediated proteolysis,151,0.5894039735099338,0.087
Tuberculosis,180,0.39444444444444443,0.087
Regulation of actin cytoskeleton,239,0.27615062761506276,0.091
Notch signaling pathway,63,1.2222222222222223,0.093
Cell cycle - G2/M transition,10,1.2,0.098
Huntington disease,302,0.6887417218543046,0.107
GINS complex,4,2.5,0.114
Colorectal cancer,88,0.8522727272727273,0.12
Salmonella infection,253,0.6324110671936759,0.122
Non-small cell lung cancer,72,0.8055555555555556,0.125
DNA polymerase epsilon complex,4,2.5,0.126
Huntington's disease,194,0.7628865979381443,0.131
RPA complex,3,2.6666666666666665,0.143
Peroxisome,87,0.26436781609195403,0.144
C-type lectin receptor signaling pathway,112,0.5089285714285714,0.144
Yersinia infection,135,0.6370370370370371,0.176
Herpes simplex virus 1 infection,458,0.3951965065502183,0.178
Metabolic pathways,1315,0.4692015209125475,0.182
DNA damage-induced cell cycle checkpoints,7,1.5714285714285714,0.186
Calcium signaling pathway,254,0.11811023622047244,0.188
H/ACA ribonucleoprotein complex,4,1.75,0.193
Sphingolipid metabolism,57,0.49122807017543857,0.194
Prostate cancer,99,0.6666666666666666,0.197
Relaxin signaling pathway,129,0.6124031007751938,0.201
Lsm 2-8 complex,7,0.8571428571428571,0.202
Endometrial cancer,58,0.39655172413793105,0.206
Cell cycle - G1/S transition,13,1.3076923076923077,0.207
Pertussis,77,0.2987012987012987,0.22
APC/C complex,14,0.8571428571428571,0.225
Biosynthesis of cofactors,152,0.40131578947368424,0.23
Hippo signaling,15,0.4,0.236
Cysteine and methionine metabolism,57,0.7017543859649122,0.246
Pathways of neurodegeneration - multiple diseases,471,0.5498938428874734,0.246
Osteoclast differentiation,140,0.4785714285714286,0.248
Hippo signaling pathway -multiple species,26,0.23076923076923078,0.249
Human papillomavirus infection,361,0.6565096952908587,0.251
"Aminoacyl-tRNA biosynthesis, eukaryotes",38,0.7105263157894737,0.252
NOD-like receptor signaling pathway,220,0.4681818181818182,0.258
Lysosome,136,0.4338235294117647,0.26
"Spliceosome, Prp19/CDC5L complex",13,0.6923076923076923,0.262
Mitophagy - animal,68,0.6764705882352942,0.266
Prolactin signaling pathway,74,0.6081081081081081,0.268
Toxoplasmosis,109,0.7155963302752294,0.274
Efferocytosis,155,0.45806451612903226,0.281
NF-kappa B signaling pathway,114,0.5175438596491229,0.285
"Parathyroid hormone synthesis, secretion and action",108,0.3333333333333333,0.304
Aminoacyl-tRNA biosynthesis,84,0.34523809523809523,0.307
Breast cancer,147,0.5374149659863946,0.307
Hippo signaling pathway - multiple species,27,0.1111111111111111,0.315
Steroid biosynthesis,20,0.25,0.322
AMPK signaling pathway,128,0.2578125,0.325
RNA polymerase,36,0.5277777777777778,0.336
Signaling pathways regulating pluripotency of stem cells,141,0.574468085106383,0.336
Toll-like receptor signaling pathway,104,0.4519230769230769,0.342
Alzheimer disease,383,0.402088772845953,0.342
Insulin resistance,110,0.6545454545454545,0.345
Various types of N-glycan biosynthesis,43,0.3488372093023256,0.346
Neuroactive ligand-receptor interaction,393,0.06615776081424936,0.349
N-glycan precursor biosynthesis,14,0.7857142857142857,0.349
Th1 and Th2 cell differentiation,89,0.47191011235955055,0.359
Amyotrophic lateral sclerosis (ALS),52,0.6153846153846154,0.365
Apoptosis - multiple species,33,0.7272727272727273,0.37
Toll-like receptor signaling,15,0.8666666666666667,0.371
Gastric cancer,150,0.54,0.376
Methionine degradation,11,1.2727272727272727,0.379
Viral protein interaction with cytokine and cytokine receptor,95,0.21052631578947367,0.379
Legionellosis,60,0.45,0.381
"Growth hormone synthesis, secretion and action",117,0.5128205128205128,0.384
N-Glycan biosynthesis,53,0.39622641509433965,0.386
B cell receptor signaling pathway,85,0.43529411764705883,0.387
Long-term potentiation,67,0.3880597014925373,0.39
Endocrine resistance,93,0.46236559139784944,0.392
Autophagy - animal,167,0.3712574850299401,0.397
Renal cell carcinoma,68,0.38235294117647056,0.399
Chagas disease,103,0.5728155339805825,0.409
Chagas disease (American trypanosomiasis),101,0.6039603960396039,0.415
Apelin signaling pathway,145,0.41379310344827586,0.416
Cellular senescence,183,0.726775956284153,0.418
Vitamin B6 metabolism,9,0.5555555555555556,0.425
Tight junction,179,0.7597765363128491,0.43
Malaria,57,0.19298245614035087,0.431
Viral myocarditis,87,0.3103448275862069,0.431
JAK-STAT signaling,19,1.263157894736842,0.432
Carbon metabolism,126,0.38095238095238093,0.435
Holo-TFIIH complex,10,0.6,0.436
Alzheimer's disease,175,0.22285714285714286,0.438
Motor proteins,196,0.5,0.438
"RNA polymerase I, eukaryotes",13,0.5384615384615384,0.444
Cushing syndrome,162,0.5246913580246914,0.454
Collecting duct acid secretion,27,0.25925925925925924,0.456
RIG-I-like receptor signaling pathway,73,0.5068493150684932,0.463
"Phosphatidylcholine (PC) biosynthesis, choline => PC",6,0.6666666666666666,0.468
Phosphonate and phosphinate metabolism,6,0.6666666666666666,0.469
IL-17 signaling pathway,93,0.40860215053763443,0.477
Acute myeloid leukemia,70,0.7714285714285715,0.477
Type II diabetes mellitus,48,0.22916666666666666,0.481
Choline metabolism in cancer,98,0.22448979591836735,0.483
Leishmaniasis,70,0.5428571428571428,0.483
Biosynthesis of amino acids,84,0.32142857142857145,0.484
Cul4-DDB1-CSA complex,6,0.6666666666666666,0.49
Rheumatoid arthritis,87,0.16091954022988506,0.49
Lsm 1-7 complex,7,0.42857142857142855,0.492
MAPK signaling pathway,252,0.3333333333333333,0.496
Glutathione metabolism,74,0.36486486486486486,0.5
Thermogenesis,231,0.5454545454545454,0.5
Cytosolic DNA-sensing pathway,80,0.475,0.503
"Glycine, serine and threonine metabolism",40,0.35,0.508
Cell adhesion molecules (CAMs),169,0.16568047337278108,0.514
Chemokine signaling pathway,204,0.47058823529411764,0.53
Th17 cell differentiation,107,0.616822429906542,0.534
Hepatitis C,166,0.6204819277108434,0.535
Prion disease,267,0.3146067415730337,0.535
"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",20,0.2,0.542
THC complex,5,1.2,0.546
AGE-RAGE signaling pathway in diabetic complications,101,0.7524752475247525,0.548
Notch signaling,17,0.29411764705882354,0.55
TREX complex,10,0.7,0.55
Oxytocin signaling pathway,154,0.24675324675324675,0.551
Ether lipid metabolism,48,0.1875,0.552
