Source,Target
Ehf,Pgrmc1
Ehf,Fads1
Ehf,Tmem150a
Ehf,Slc38a4
Ehf,St3gal5
Ehf,1600029D21Rik
Ehf,1810019J16Rik
Ehf,2010001M06Rik
Ehf,2200002D01Rik
Ehf,2310030G06Rik
Ehf,2610528A11Rik
Ehf,2610528J11Rik
Ehf,5033414D02Rik
Ehf,5730559C18Rik
Ehf,8430427H17Rik
Ehf,9130017N09Rik
Ehf,AA467197
Ehf,Acvr1b
Ehf,AI661453
Ehf,Ano9
Ehf,Ap1m2
Ehf,Arhgef16
Ehf,Arhgef5
Ehf,Baiap2l1
Ehf,Bcas1
Ehf,Bspry
Ehf,C77080
Ehf,Car4
Ehf,Cblc
Ehf,Ccdc68
Ehf,Cdcp1
Ehf,Cdh1
Ehf,Cds1
Ehf,Ceacam1
Ehf,Chmp4c
Ehf,Ckmt1
Ehf,Cldn3
Ehf,Cldn4
Ehf,Cldn7
Ehf,Crb3
Ehf,Cyb561
Ehf,Cyp2s1
Ehf,Dpep1
Ehf,Dsg2
Ehf,Dsp
Ehf,Edn2
Ehf,Elf3
Ehf,Elmo3
Ehf,Elovl7
Ehf,Endod1
Ehf,Epcam
Ehf,Eps8
Ehf,Eps8l2
Ehf,Erbb2
Ehf,Erbb3
Ehf,Esrp1
Ehf,Esrp2
Ehf,F2rl1
Ehf,Fam83h
Ehf,Fbxo25
Ehf,Fgfbp1
Ehf,Frk
Ehf,Galnt12
Ehf,Galnt3
Ehf,Galnt7
Ehf,Gipc2
Ehf,Glod5
Ehf,Gmds
Ehf,Golm1
Ehf,Golph3l
Ehf,Gpa33
Ehf,Gpr160
Ehf,Gpx2
Ehf,Grb7
Ehf,Ildr1
Ehf,Irf6
Ehf,Itgb4
Ehf,Kcnk1
Ehf,Kcnn4
Ehf,Klf4
Ehf,Klf5
Ehf,Krt19
Ehf,Krt20
Ehf,Krt7
Ehf,Krt8
Ehf,Krtcap3
Ehf,Lad1
Ehf,Lamb3
Ehf,Liph
Ehf,Llgl2
Ehf,Mal2
Ehf,Mansc1
Ehf,Mapk13
Ehf,Marveld3
Ehf,Mfsd4
Ehf,Mfsd6
Ehf,Mgat4a
Ehf,Mgst2
Ehf,Mkrn1
Ehf,Myb
Ehf,Myh11
Ehf,Myh14
Ehf,Myo1a
Ehf,Myo1d
Ehf,Myo5c
Ehf,Myo6
Ehf,Ocln
Ehf,Oit1
Ehf,Ovol1
Ehf,Pak1
Ehf,Parm1
Ehf,Pglyrp1
Ehf,Pkp3
Ehf,Pld1
Ehf,Plek2
Ehf,Plekha6
Ehf,Plekhh1
Ehf,Pls1
Ehf,Prss32
Ehf,Prss8
Ehf,Pycard
Ehf,Rab25
Ehf,Rab27b
Ehf,Rassf6
Ehf,Rassf7
Ehf,Rfk
Ehf,Rgmb
Ehf,Ripk4
Ehf,S100a14
Ehf,Satb2
Ehf,Scamp2
Ehf,Sdcbp2
Ehf,Serinc2
Ehf,Serpinb1a
Ehf,Serpinb6a
Ehf,Slc25a24
Ehf,Slc26a2
Ehf,Slc37a1
Ehf,Smagp
Ehf,Spink3
Ehf,Spint1
Ehf,Spint2
Ehf,Sri
Ehf,St14
Ehf,St3gal6
Ehf,Stap2
Ehf,Styk1
Ehf,Sult2b1
Ehf,Sytl2
Ehf,Tes
Ehf,Tjp3
Ehf,Tmc4
Ehf,Tmem238
Ehf,Tmem30b
Ehf,Tmem54
Ehf,Tnk1
Ehf,Trpm4
Ehf,Tspan8
Ehf,Ush1c
Ehf,Usp43
Ehf,Vsig10
Ehf,Rcor1
Ehf,Jarid2
