TF	Gene	Input
Ehf	Pgrmc1	1
Ehf	Fads1	1
Ehf	Tmem150a	1
Ehf	Slc38a4	1
Ehf	St3gal5	1
Ehf	1600029D21Rik	1
Ehf	1810019J16Rik	1
Ehf	2010001M06Rik	1
Ehf	2200002D01Rik	1
Ehf	2310030G06Rik	1
Ehf	2610528A11Rik	1
Ehf	2610528J11Rik	1
Ehf	5033414D02Rik	1
Ehf	5730559C18Rik	1
Ehf	8430427H17Rik	1
Ehf	9130017N09Rik	1
Ehf	AA467197	1
Ehf	Acvr1b	1
Ehf	AI661453	1
Ehf	Ano9	1
Ehf	Ap1m2	1
Ehf	Arhgef16	1
Ehf	Arhgef5	1
Ehf	Baiap2l1	1
Ehf	Bcas1	1
Ehf	Bspry	1
Ehf	C77080	1
Ehf	Car4	1
Ehf	Cblc	1
Ehf	Ccdc68	1
Ehf	Cdcp1	1
Ehf	Cdh1	1
Ehf	Cds1	1
Ehf	Ceacam1	1
Ehf	Chmp4c	1
Ehf	Ckmt1	1
Ehf	Cldn3	1
Ehf	Cldn4	1
Ehf	Cldn7	1
Ehf	Crb3	1
Ehf	Cyb561	1
Ehf	Cyp2s1	1
Ehf	Dpep1	1
Ehf	Dsg2	1
Ehf	Dsp	1
Ehf	Edn2	1
Ehf	Elf3	1
Ehf	Elmo3	1
Ehf	Elovl7	1
Ehf	Endod1	1
Ehf	Epcam	1
Ehf	Eps8	1
Ehf	Eps8l2	1
Ehf	Erbb2	1
Ehf	Erbb3	1
Ehf	Esrp1	1
Ehf	Esrp2	1
Ehf	F2rl1	1
Ehf	Fam83h	1
Ehf	Fbxo25	1
Ehf	Fgfbp1	1
Ehf	Frk	1
Ehf	Galnt12	1
Ehf	Galnt3	1
Ehf	Galnt7	1
Ehf	Gipc2	1
Ehf	Glod5	1
Ehf	Gmds	1
Ehf	Golm1	1
Ehf	Golph3l	1
Ehf	Gpa33	1
Ehf	Gpr160	1
Ehf	Gpx2	1
Ehf	Grb7	1
Ehf	Ildr1	1
Ehf	Irf6	1
Ehf	Itgb4	1
Ehf	Kcnk1	1
Ehf	Kcnn4	1
Ehf	Klf4	1
Ehf	Klf5	1
Ehf	Krt19	1
Ehf	Krt20	1
Ehf	Krt7	1
Ehf	Krt8	1
Ehf	Krtcap3	1
Ehf	Lad1	1
Ehf	Lamb3	1
Ehf	Liph	1
Ehf	Llgl2	1
Ehf	Mal2	1
Ehf	Mansc1	1
Ehf	Mapk13	1
Ehf	Marveld3	1
Ehf	Mfsd4	1
Ehf	Mfsd6	1
Ehf	Mgat4a	1
Ehf	Mgst2	1
Ehf	Mkrn1	1
Ehf	Myb	1
Ehf	Myh11	1
Ehf	Myh14	1
Ehf	Myo1a	1
Ehf	Myo1d	1
Ehf	Myo5c	1
Ehf	Myo6	1
Ehf	Ocln	1
Ehf	Oit1	1
Ehf	Ovol1	1
Ehf	Pak1	1
Ehf	Parm1	1
Ehf	Pglyrp1	1
Ehf	Pkp3	1
Ehf	Pld1	1
Ehf	Plek2	1
Ehf	Plekha6	1
Ehf	Plekhh1	1
Ehf	Pls1	1
Ehf	Prss32	1
Ehf	Prss8	1
Ehf	Pycard	1
Ehf	Rab25	1
Ehf	Rab27b	1
Ehf	Rassf6	1
Ehf	Rassf7	1
Ehf	Rfk	1
Ehf	Rgmb	1
Ehf	Ripk4	1
Ehf	S100a14	1
Ehf	Satb2	1
Ehf	Scamp2	1
Ehf	Sdcbp2	1
Ehf	Serinc2	1
Ehf	Serpinb1a	1
Ehf	Serpinb6a	1
Ehf	Slc25a24	1
Ehf	Slc26a2	1
Ehf	Slc37a1	1
Ehf	Smagp	1
Ehf	Spink3	1
Ehf	Spint1	1
Ehf	Spint2	1
Ehf	Sri	1
Ehf	St14	1
Ehf	St3gal6	1
Ehf	Stap2	1
Ehf	Styk1	1
Ehf	Sult2b1	1
Ehf	Sytl2	1
Ehf	Tes	1
Ehf	Tjp3	1
Ehf	Tmc4	1
Ehf	Tmem238	1
Ehf	Tmem30b	1
Ehf	Tmem54	1
Ehf	Tnk1	1
Ehf	Trpm4	1
Ehf	Tspan8	1
Ehf	Ush1c	1
Ehf	Usp43	1
Ehf	Vsig10	1
Ehf	Rcor1	1
Ehf	Jarid2	1
Ehf	Ovol2	1
Ehf	Creb3l1	1
Ehf	Smad1	1
Pgrmc1	Gzf1	1
Pgrmc1	Creb3l1	1
Pgrmc1	Nfatc2	1
Fads1	Tfcp2	1
Fads1	Jarid2	1
Fads1	Ovol2	1
Fads1	Tnfaip3	1
Tmem150a	Purb	1
Slc38a4	Myb	1
Slc38a4	Trim16	1
Slc38a4	Klf4	1
Slc38a4	Klf6	1
Slc38a4	Klf5	1
Slc38a4	Plagl2	1
Slc38a4	Fosl2	1
Slc38a4	Klf12	1
Slc38a4	Grhl2	1
Slc38a4	Relb	1
Slc38a4	Elf1	1
Slc38a4	Elf3	1
Slc38a4	Irf1	1
Slc38a4	Tnfaip3	1
St3gal5	Stat5b	1
St3gal5	Klf5	1
St3gal5	Atf5	1
St3gal5	Jarid2	1
St3gal5	Elf3	1
St3gal5	Tnfaip3	1
1600029D21Rik	Mycn	1
1810019J16Rik	Klf5	1
1810019J16Rik	Phtf2	1
1810019J16Rik	Atf5	1
1810019J16Rik	Elf3	1
1810019J16Rik	Irf6	1
2010001M06Rik	Ppard	1
2010001M06Rik	Zkscan17	1
2010001M06Rik	Klf5	1
2010001M06Rik	Esrra	1
2010001M06Rik	Satb2	1
2010001M06Rik	Atf5	1
2010001M06Rik	Lass6	1
2010001M06Rik	Ascl2	1
2010001M06Rik	Ovol2	1
2010001M06Rik	Zfp281	1
2010001M06Rik	Smad1	1
2010001M06Rik	Elf3	1
2010001M06Rik	Irf6	1
2200002D01Rik	Tcf7l2	1
2200002D01Rik	Ppard	1
2200002D01Rik	Klf5	1
2200002D01Rik	Esrra	1
2200002D01Rik	Ascl2	1
2200002D01Rik	Smarcal1	1
2200002D01Rik	Tfcp2l1	1
2200002D01Rik	Mlx	1
2200002D01Rik	Elf3	1
2200002D01Rik	Mxi1	1
2310030G06Rik	Irf6	1
2610528A11Rik	Pparg	1
2610528A11Rik	Rcor1	1
2610528A11Rik	Satb2	1
2610528A11Rik	Prdm14	1
2610528A11Rik	Tfcp2l1	1
2610528A11Rik	Gm98	1
2610528A11Rik	Creb3l1	1
2610528A11Rik	Creb3l2	1
2610528A11Rik	Smad1	1
2610528J11Rik	Tcf7l2	1
2610528J11Rik	Tfcp2l1	1
2610528J11Rik	Elf3	1
2610528J11Rik	Irf6	1
5033414D02Rik	Klf5	1
5033414D02Rik	Plagl2	1
5033414D02Rik	Hmgb2	1
5033414D02Rik	Klf15	1
5033414D02Rik	Jarid2	1
5033414D02Rik	Hhex	1
5033414D02Rik	Ovol2	1
5033414D02Rik	Zfp518a	1
5730559C18Rik	Stat5b	1
5730559C18Rik	Ppard	1
5730559C18Rik	Klf5	1
5730559C18Rik	Rcor1	1
5730559C18Rik	Sox9	1
5730559C18Rik	Satb2	1
5730559C18Rik	Hmga2	1
5730559C18Rik	Smarca2	1
5730559C18Rik	Ovol2	1
5730559C18Rik	Grhl2	1
5730559C18Rik	Zfp281	1
5730559C18Rik	Creb3l1	1
5730559C18Rik	Elf3	1
8430427H17Rik	Klf5	1
8430427H17Rik	Plagl2	1
8430427H17Rik	Prdm1	1
8430427H17Rik	Atf5	1
8430427H17Rik	Jarid2	1
8430427H17Rik	Elf3	1
9130017N09Rik	Ppard	1
9130017N09Rik	Klf5	1
9130017N09Rik	Plagl2	1
9130017N09Rik	Satb2	1
9130017N09Rik	Atf5	1
9130017N09Rik	Lass6	1
9130017N09Rik	Ascl2	1
9130017N09Rik	Jarid2	1
9130017N09Rik	Ovol2	1
