Genesymbol	0	1	2	3	4	5	6
0610031J06Rik	444.5766667	119.1303333	97.4779	107.412	104.9721	103.7039	117.3613333
A930001N09Rik	3.151983333	2.185276667	3.532773333	3.867673333	3.036993333	3.43441	9.72756
Abt1	18.17293333	25.2431	23.79436667	27.92203333	26.35663333	25.5042	26.18336667
Adar	9.938693333	12.647	15.74056667	14.06916667	17.37373333	18.71693333	24.80936667
Adnp2	9.278183333	18.5166	17.45686667	13.93976667	13.32476667	13.94306667	18.89906667
Aebp1	308.3983333	1.984833333	1.2044	3.449636667	5.665853333	5.328123333	8.53419
Aebp2	63.1675	109.7156667	113.4446667	102.5642	75.25463333	73.61726667	59.0173
Ahctf1	52.42406667	64.54056667	72.2709	72.40246667	68.18883333	74.01663333	112.73
Ahr	8.415566667	0.540469667	1.303199333	1.815543333	1.350976667	1.103820667	2.932343333
Aire	0.0	0.0312411	0.424923333	0.034640667	0.468484333	5.616063333	20.8977
Ankrd1	142.2906667	0.385357333	0.056075867	2.6286	1.068501667	0.975294667	1.792286667
Apex1	112.567	203.3213333	162.7163333	206.8513333	166.368	146.4196667	138.2876667
App	514.911	118.7663333	125.7236667	94.25546667	90.0023	68.42786667	29.92396667
Arid1a	17.67366667	31.75903333	38.727	37.57636667	37.4807	27.15236667	48.87296667
Arid3a	3.15309	4.603226667	5.483716667	4.83221	7.475823333	7.220596667	5.380393333
Arid3b	2.527693333	7.2276	11.71863	12.72566667	27.09413333	33.86173333	46.23406667
Arid4b	11.27943333	14.72693333	21.0424	18.33423333	15.82663333	13.9361	17.1677
Arid5a	7.777166667	1.92129	1.804681667	1.661443333	1.40524	1.81458	3.147246667
Arid5b	17.24546667	35.8906	35.27856667	24.10006667	15.88026667	12.2368	13.62576667
Arnt	30.33146667	31.0864	39.82173333	33.08613333	35.12986667	41.71403333	31.95546667
Arnt2	5.207806667	4.809396667	6.12181	7.508673333	14.48716667	8.942646667	2.313003333
Arntl2	6.875113333	5.838936667	7.288423333	6.684553333	10.74932667	11.09401667	6.92304
Arrb1	4.05841	2.749143333	1.74638	2.796503333	4.494026667	3.321533333	19.31706667
Ascl2	0.0659202	0.348047333	0.396558333	0.767746667	1.261886667	1.177291333	3.8142
Ash1l	10.96247333	10.35945	11.3589	9.07675	7.80188	5.593216667	5.59072
Ash2l	39.68236667	59.70136667	53.4453	57.4655	58.97806667	69.6901	143.1663333
Atf1	46.3392	54.09866667	39.38403333	51.28493333	34.41356667	33.1371	61.93366667
