TF,PValue,Label
Ddx20,84.0,1
Foxm1,104.3333,1
Tet1,148.6667,1
Suz12,165.3333,1
Top2a,204.5,1
Cdkn2a,219.8333,1
Atf1,222.8333,1
Smarce1,233.6667,1
Yap1,248.6667,1
Kdm2b,267.1667,1
Sall4,279.1667,1
Smarca5,290.0,1
Nfatc1,369.3333,1
Arid4b,402.6667,1
Klf4,409.6667,1
Tcf7l1,425.0,1
Esrrb,451.1667,1
Lhx1,510.0,1
Nr5a2,572.6667,1
Jdp2,612.5,1
Gli3,612.6667,1
Snai2,779.5,1
Pcna,85.6667,0
Rfc1,178.8333,0
Pnn,260.6667,0
Thoc1,302.5,0
Sphk1,336.5,0
Dnmt3b,344.6667,0
Rps3,358.3333,0
Tead1,366.0,0
Blm,406.1667,0
Dnmt1,441.5,0
Terf2ip,449.6667,0
Phf5a,465.1667,0
Ercc2,531.3333,0
Tead2,594.6667,0
Tead3,652.3333,0
Dnmt3a,671.8333,0
C1d,684.6667,0
Xrcc5,723.3333,0
Prkdc,750.6667,0
