TF,PValue,Label
Ddx20,120.6667,1
Yap1,192.3333,1
Suz12,221.1667,1
Foxm1,237.5,1
Cdkn2a,255.1667,1
Top2a,281.3333,1
Atf1,287.3333,1
Smarce1,295.0,1
Kdm2b,357.0,1
Smarca5,392.5,1
Tet1,399.8333,1
Gli3,440.6667,1
Sall4,456.0,1
Nfatc1,461.8333,1
Arid4b,463.3333,1
Nr5a2,500.8333,1
Klf4,530.3333,1
Tcf7l1,588.3333,1
Esrrb,654.3333,1
Lhx1,654.3333,1
Jdp2,698.3333,1
Snai2,894.3333,1
Pcna,120.1667,0
Tead3,287.0,0
Pnn,320.6667,0
Thoc1,404.6667,0
Rfc1,413.1667,0
Sphk1,436.5,0
Dnmt3b,465.5,0
Blm,466.5,0
Ercc2,476.3333,0
Tead1,481.1667,0
Terf2ip,493.0,0
Phf5a,507.6667,0
Tead2,515.3333,0
Rps3,544.6667,0
Dnmt1,561.5,0
Dnmt3a,783.8333,0
Xrcc5,836.3333,0
Prkdc,875.1667,0
