GeneSymbol,PValue
Creb3,0.008
Pbx3,0.0355
Iqcb1,0.057
Foxh1,0.061
Psip1,0.067
Trmt10a,0.0685
Sall2,0.0995
Taf12,0.103
Csrnp2,0.1645
Vps72,0.1775
Taf13,0.1945
Yaf2,0.1965
Trim37,0.244
Mns1,0.2525
Gtf2e2,0.282
Kdm1a,0.2915
Basp1,0.31
Rbmxl1,0.3115
Hmg20b,0.3245
Mta3,0.3285
Patz1,0.33
Lin54,0.3305
Ddx41,0.332
Ascl2,0.3355
Ndn,0.336
Zfp512,0.337
Zfp217,0.338
Zfp354c,0.3435
Zfp46,0.3565
Cxxc1,0.361
Bag5,0.3625
Ctps2,0.3785
Hax1,0.398
D630045J12Rik,0.416
Zfp184,0.416
9130011J15Rik,0.44
Tcf7l2,0.4435
Ddx31,0.4705
Ddx20,0.473
Creb3l2,0.4785
Kdm5b,0.484
Ufc1,0.488
Mcm8,0.4985
Hic2,0.5015
Zbtb7b,0.525
Cry2,0.526
Cyp4f13,0.5525
Arpc4,0.569
Hadha,0.5755
Mybl1,0.5815
Pbx4,0.591
Zbtb3,0.592
Sbf1,0.599
Pcgf6,0.6125
Psmc3ip,0.6125
Ap2s1,0.618
Bmp2,0.6195
Zfp821,0.63
Zbtb43,0.6315
Senp2,0.6315
Zfp771,0.6325
Gtsf1l,0.635
Cox5a,0.6375
Mycn,0.642
Tcf3,0.6425
Nr3c1,0.643
Tcf25,0.6435
Zfp26,0.6455
Ppfia3,0.646
Kcnk12,0.6465
Creld1,0.6475
Rnf216,0.6495
Zfp30,0.6505
Foxj3,0.652
Angel2,0.6535
Mta2,0.6535
Net1,0.6545
Zfp711,0.6555
Zscan10,0.656
Vcpip1,0.6565
Phf16,0.6565
Abr,0.657
Trim28,0.658
Mybl2,0.6585
Flot2,0.6595
Plekha6,0.6605
Tardbp,0.6605
Ifitm5,0.6615
Gabpb1,0.662
Bmi1,0.6625
Zfp316,0.6635
Ooep,0.664
Ddx1,0.664
Arhgdib,0.6645
Cds1,0.665
Glrx,0.6655
Zfp105,0.666
Rps6ka1,0.666
Phf20,0.6665
Zc3h8,0.6665
Arhgef1,0.6665
Mxd3,0.6665
Zfp90,0.6665
Lrmp,0.6665
Zfp553,0.6665
Thap11,0.6665
Zic3,0.6675
Esf1,0.668
Phf12,0.6685
Smarca1,0.669
Smpd1,0.6695
Wasf1,0.6705
Gpt,0.6715
Zbtb41,0.6715
Rdx,0.672
Ppip5k1,0.672
Nat14,0.6725
Taf2,0.6725
Phf7,0.6725
Ptp4a2,0.6725
Cebpa,0.6735
Zfp42,0.6735
Fbxo25,0.674
Cnbp,0.674
Lgals4,0.674
Zmpste24,0.675
E2f4,0.6765
Rbck1,0.677
Nr4a1,0.6775
Pld1,0.6795
Smarce1,0.6805
Tbp,0.681
Bag6,0.682
Nr2f1,0.6835
Cep192,0.684
Elf1,0.684
Zfp110,0.6875
Elk4,0.693
Txndc17,0.694
Topors,0.694
Utf1,0.694
Cops8,0.7
Elf3,0.7095
Taf9,0.7105
2210013O21Rik,0.7235
Klc3,0.726
Cd302,0.728
Cyp4f39,0.7335
Camsap2,0.7335
Dcaf12l1,0.738
Ipmk,0.7385
Pold4,0.753
Zkscan17,0.761
Slc25a14,0.763
Sall4,0.7685
Fam65b,0.774
Boll,0.7765
Erbb2ip,0.778
Nfe2l2,0.7805
Fgd4,0.7825
Gm9112,0.784
Hyls1,0.784
Lrrc46,0.786
1700008O03Rik,0.787
Acrbp,0.7915
Galnt10,0.792
Armc9,0.7935
Ss18l1,0.7965
Atp6v0a2,0.7985
1700001P01Rik,0.8
Metrnl,0.801
Chmp4c,0.802
Irf6,0.808
Ltb,0.8095
Stk10,0.8225
Ccdc45,0.8235
Inpp5d,0.832
Nr6a1,0.832
Col17a1,0.8325
Glis3,0.8385
Rnf165,0.8395
Cdkl3,0.84
Cdc14a,0.8405
Prkch,0.8415
Zfp709,0.842
Inadl,0.843
Smagp,0.8445
Lipm,0.8445
Lima1,0.846
Lass6,0.8465
Dyrk1b,0.8515
Ehf,0.855
Zfp39,0.8605
Mterfd3,0.8605
Styk1,0.8655
Adcy7,0.8665
Mpi,0.868
9130017N09Rik,0.8695
Dusp3,0.872
Slc12a8,0.8735
Ccdc30,0.877
Coro2a,0.8775
Atf6b,0.879
Irf2,0.881
Zdhhc20,0.886
Glis2,0.8865
Aldh5a1,0.89
Lrba,0.892
Fam166a,0.8925
Ankhd1,0.895
Metrn,0.8955
4930513N10Rik,0.9045
Srgap2,0.9085
Got1l1,0.9135
Shcbp1l,0.915
Ybx1,0.9235
Ramp2,0.9245
Plxdc2,0.926
Naca,0.927
Tm4sf1,0.9275
Ckmt1,0.928
Snapc1,0.9305
Junb,0.931
Galnt6,0.931
Klf3,0.932
2010001M06Rik,0.9335
Pls3,0.934
Eps8l2,0.934
Elk3,0.936
Frk,0.937
Abt1,0.937
4933411K20Rik,0.9375
Slc4a5,0.938
Hck,0.938
Rb1,0.939
Ano9,0.9395
Ppp1r13l,0.9405
Phf19,0.941
Lck,0.941
Ptpre,0.942
Spata24,0.9425
Sorbs2,0.9435
Plcg2,0.9435
9930012K11Rik,0.9435
Timp3,0.9445
Phldb2,0.945
Mgat4a,0.9455
Hook2,0.946
Stat5a,0.949
Usp50,0.9495
Galnt7,0.95
Igfbp6,0.95
