Source,Target,PValue
Cenpi,Mxd3,0.0
Impdh2,Taf5,0.0
Rfc5,Taf5,0.0
Ttf2,Kif18b,0.0
Aqp5,Ankrd1,0.0
Bbx,Smarca4,0.0
Slc44a2,Etv5,0.0
Zfp329,Mecp2,0.0
Col5a1,Twist2,0.0
Gpr124,Prrx2,0.0
Gpr124,Twist2,0.0
Gpr124,Snai2,0.0
Gpr124,Foxc2,0.0
Gpr124,Aebp1,0.0
Lamb1,Plagl1,0.0
Zfp711,Tmem35,0.0
Sorbs2,Sphk1,0.0
Glipr1,Runx2,0.0
2610203C20Rik,Zfpm2,0.0
2610203C20Rik,Nr2f1,0.0
Cdh11,Twist2,0.0
Cdh11,Nr2f1,0.0
Col1a1,Snai2,0.0
Col1a2,Snai2,0.0
Col3a1,Twist2,0.0
Fam198b,Twist1,0.0
Fat4,Ndn,0.0
Fat4,Snai2,0.0
Fat4,Nr2f1,0.0
Lrrc17,Snai2,0.0
Osr1,Twist2,0.0
Ccdc80,Twist2,0.0
Col11a1,Twist1,0.0
Dnm3os,Twist1,0.0
Lox,Snai2,0.0
Mmp16,Nr2f1,0.0
Prrx2,Ptx3,0.0
Ptn,Nr2f1,0.0
Slit2,Snai2,0.0
Snai2,Cxcl12,0.0
Snai2,Loxl1,0.0
Snai2,Sdpr,0.0
Snai2,Wisp1,0.0
Snai2,Zfp503,0.0
Svep1,Twist2,0.0
Twist2,Bgn,0.0
Twist2,Col12a1,0.0
Mettl7a1,Epas1,0.0
Vasn,Zeb1,0.0
Unc5c,Nr2f1,0.0
Pparg,Ap1m1,0.0
Gria3,Hey2,0.0
Mpdz,Pbx1,0.0
Troap,Tfip11,0.0
Lrrk1,Runx2,0.0
Ndn,Ndrg4,0.0
Nipa1,Nr2f1,0.0
Etv1,Rreb1,0.0
Tnfrsf12a,Fosl1,0.0
Ehbp1l1,Runx2,0.0
Foxo4,Zfp592,0.0
Gng10,Hey2,0.0
Mllt3,Kdm3a,0.0
Nr2f1,Pcdh9,0.0
Nr2f1,Sema3a,0.0
Nr2f1,Tmeff2,0.0
0610040B09Rik,Hoxb6,0.0
Nt5dc3,Tbx3,0.0
C230081A13Rik,Runx2,0.0
Runx2,Prkg2,0.0
Rbbp5,Pebp1,3.67936203976234e-310
Ncapg2,Mxd3,5.5653348291213366e-303
Depdc1a,Mxd3,6.055658615642903e-303
Col4a5,Zfpm2,2.1557855055500403e-292
Tgfbr2,Ets1,4.184045628983077e-292
Nr2f1,Edil3,5.682694999804522e-289
Twist2,Aebp1,7.8563607609612695e-289
Ezh2,Snrnp40,6.892031293148846e-284
Bmper,Nr2f1,7.378064904875344e-282
Lox,Twist2,3.5812141617108956e-261
Ppp1r8,Mxd3,9.034322022364649e-250
Lrrc17,Twist1,2.279621181832633e-248
Ptprm,Foxc2,4.154135424193294e-241
Tmpo,Fmr1,4.5158312457794326e-241
Zfp503,Aebp1,2.905296768019873e-240
Setx,Dmtf1,7.254123417685751e-240
Adamtsl3,Prrx1,9.414779651839234e-235
Kdm5a,Nemf,1.311962612483939e-230
Adamts5,Zfpm2,6.286760120683579e-223
Trim28,Senp3,3.460413087586683e-222
Col1a1,Twist1,9.080417551644363e-217
Col5a1,Snai2,8.230157270464047e-216
Crip1,Trim16,7.689915591248131e-208
Col5a2,Twist1,7.121429587372945e-207
Col5a2,Zfpm2,6.0810173339215184e-201
Srpx,Aebp1,1.8981427928672943e-198
Sphk1,Prrx1,8.007286645778353e-195
Mxd3,Tmpo,2.864727967022467e-194
Adamts5,Twist1,1.8796096896167322e-192
Impdh2,Set,1.2298825910597494e-191
Dhtkd1,Hhex,1.3549635066986543e-185
Twist1,Wisp1,7.202244935908506e-184
Rbms3,Twist2,2.212282553203922e-183
Bbs2,Zfp28,4.479465520418398e-183
Col1a1,Zfpm2,2.1747575982095313e-182
Adam12,Twist1,6.670580700449356e-182
Loxl3,Zfpm2,1.7664021663970017e-181
Snai2,Bgn,6.685770066818384e-181
Loxl3,Prrx1,1.1515564472733083e-178
Zfp263,Gpha2,1.4542378676429643e-178
Fam198b,Prrx1,2.514649169902122e-177
Ltbp1,Prrx1,5.561461747976662e-174
Prrx1,Cyp1b1,1.1872591050433733e-173
Yap1,Lmo1,2.5049134291781756e-173
Twist1,Loxl1,3.0876629393895716e-172
Ets1,Adamts10,1.1091724164669226e-170
Wisp1,Zfpm2,1.2448499058445044e-169
Emp3,Runx1,1.7644744694802412e-169
Pdzrn3,Prrx1,2.883952037258514e-167
Pdzrn3,Zfpm2,1.4334277556533975e-166
Mecom,Tinagl1,3.9855566126857793e-166
Hoxa5,Pcdh18,3.369462873616044e-165
Pdzrn3,Snai2,3.6803514578173546e-165
Svep1,Zfpm2,1.3729091164065345e-164
Lox,Twist1,7.931414071014653e-163
Ezh2,Lsm3,1.0448499947416264e-160
Eri1,Mxd3,1.0073340026172098e-159
Prss23,Prrx1,5.562952993325138e-159
Hoxa3,Hoxa5,1.5877256942383895e-158
Twist1,Foxc2,3.8389369087657346e-157
Trim27,Ctnnbl1,1.9302222261167256e-156
Twist1,Col12a1,1.7256906398513461e-155
Rprm,Nr2f1,3.6488292042603023e-155
Prrx2,Twist1,3.9723290410476164e-155
Cmtm3,Snai2,6.288738337171526e-155
Lox,Zfpm2,5.549230487518948e-154
Fat4,Zfpm2,1.7310814459781636e-152
Col5a1,Twist1,1.766399505737482e-150
Arhgdib,Sphk1,3.7392090114592373e-149
Ccdc102a,Twist1,4.306861627579264e-148
Col1a2,Twist1,3.508274235694416e-146
Mcee,Zfp750,2.815087863285998e-143
Tm4sf1,Ankrd1,1.486738876691503e-141
Tceanc,Tmem209,1.2394275638634123e-138
Rps3,Tubb5,1.0616660136974214e-137
Rfc1,Nap1l1,6.143295626304211e-135
Aspn,Twist2,1.0448581129722273e-133
Osr1,Twist1,4.114735935131131e-133
Yme1l1,Gabpa,3.0709076898446095e-130
Col5a1,Zfpm2,2.4964641164500522e-129
Col1a2,Zfpm2,3.617477524659885e-129
Adamts5,Prrx1,7.113998081659285e-129
Snai2,Col12a1,1.986795107229859e-128
Cd248,Twist2,3.924886539164619e-128
Twist2,Loxl1,4.5980733541730494e-128
Slc12a8,Lass6,1.924148188579e-127
Smarcc2,Csnk1g2,2.6120889655085003e-127
Snrnp40,Tardbp,2.4297404729199736e-124
Ehd2,Prrx1,3.7971691728741126e-123
Slc30a4,Atoh8,4.8810283306233094e-123
Sass6,Mxd3,9.214109270540878e-123
Ets1,4930523C07Rik,2.544954073777693e-122
Uba6,Rbbp8,1.2018264486090494e-120
Fam76b,Sp1,1.6690297670341056e-120
Sec24b,Mta2,5.600411430330183e-120
Rasgrp3,Zeb1,6.723582414228904e-118
Runx1,Fgf7,2.7305707964547716e-116
Msn,Foxs1,2.870746147981772e-116
Polr2a,Mll2,8.913018617864458e-116
Tm4sf1,Prrx1,2.3870825604144073e-115
Fosl1,Ngf,4.343577145222233e-115
Prrx1,Fgf7,1.0135364353856755e-114
Ppp1r18,Hic1,1.2094568607556004e-114
Ccdc80,Twist1,1.0768927132629744e-113
Osr1,Zfpm2,1.6062200182050312e-111
Zfpm2,Efemp2,3.1479361561167418e-111
Nop56,Rbmxl1,4.366351307576184e-108
Ccdc80,Zfpm2,1.3645666290674896e-106
Twist1,Aebp1,3.7475158616479345e-106
D5Ertd579e,Nfat5,1.3095443963510465e-105
Fam64a,E2f1,1.9994641180708197e-104
Snai2,Twist1,2.5062864450213614e-103
Twist2,Olfml2b,3.599642148600262e-103
Zfp36,Myd88,9.762283763787247e-102
Sdpr,Prrx1,5.751911203670625e-101
Yap1,Mtap7d2,2.7133068912740135e-100
Zik1,Kdm1a,4.4110062458557954e-100
Prrx2,Prrx1,5.430542591702332e-99
Hnrpdl,Chd2,2.902874592442927e-98
Prrx1,Sgcd,4.6472028865694153e-98
Col3a1,Zfpm2,1.1626381289713356e-97
Col5a2,Prrx1,1.7877402677692534e-97
Ogn,Prrx1,1.8408884282428557e-97
Lgals1,Zfpm2,8.54454841308711e-97
Tm4sf1,Foxc2,1.3812610620030257e-96
Snai2,Zfpm2,7.3121126308119035e-96
Cxcl12,Prrx1,1.950441155179327e-95
Zfpm2,Ptplad2,4.869067901594519e-95
Rpl7a,Naca,1.1132136799525327e-93
Col6a3,Twist1,9.769113895200622e-93
Emp3,Hic1,2.46173979818112e-92
Fbln5,Prrx1,2.6193876210627694e-91
Col5a2,Snai2,1.2597936073584811e-90
Nfic,Tspan4,1.2986080209080421e-90
Usp43,Bcl11b,1.8619675643348893e-90
Hdac7,Foxs1,7.985024094416875e-90
Blm,Sgol1,1.076763459408963e-89
Rhoj,Prrx1,1.7950130565587356e-89
Nid1,Aebp1,2.3384340810242935e-88
