GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
0610031J06Rik,0.8947481,-0.11031416,0.9264879,-0.124291584,0.92709744,-0.10587475,0.9350753,-0.101236604,0.93507516,-0.101236604,0.92526937,-0.11375271,0.92224634,-0.16588086
A930001N09Rik,0.6862197,0.17197116,0.69530916,-0.025820794,0.6960185,-0.030093763,0.69438326,-0.07620194,0.69544625,-0.061850183,0.69298756,-0.07958382,0.6842514,-0.006435181
Abt1,0.22590244,0.19265136,0.22590244,0.19265138,0.22590244,0.19265138,0.22590244,0.19265132,0.22590244,0.19265136,0.22590244,0.19265136,0.22590244,0.19265138
Adar,0.5294392,0.12230925,0.5330134,0.21807085,0.5225235,0.19056009,0.520989,0.14421256,0.52098894,0.14421257,0.52098906,0.14421254,0.520989,0.14421253
Adnp2,0.8600334,0.4476079,0.8457253,-0.71654856,0.8607069,-0.5041875,0.8584212,-0.70759606,0.8702203,-0.6541854,0.8528315,-0.70914495,0.85961354,-0.75691247
Aebp1,1.2363417,-1.2864441,1.8850564,0.13365716,1.8852447,0.13935828,1.9077858,0.31153214,1.9077858,0.3115322,1.9077858,0.3115323,1.907786,0.31153223
Aebp2,0.97185946,0.07473977,0.98064697,-0.024436751,0.91733277,-0.329089,0.92031956,-0.32546046,0.9203651,-0.2687812,0.91768384,-0.2872373,0.9755677,-0.037757494
Ahctf1,0.7617872,0.015051046,0.7437649,-0.26584238,0.74525714,-0.29828095,0.74667454,-0.29282665,0.7451823,-0.26038802,0.743765,-0.26584235,0.7421384,-0.16307022
Ahr,0.55622226,-0.082453154,0.5909224,0.03710533,0.5916254,0.058338597,0.5923284,0.07957187,0.59232837,0.07957192,0.5923283,0.0795719,0.5924451,0.08309419
Aire,0.6358443,0.14503165,0.62143505,-0.056291267,0.621435,-0.056291275,0.61580116,-0.045333598,0.5663818,-0.2996898,0.5079943,-0.28936088,0.5880304,-0.26280284
Akna,0.5707095,0.33633155,0.5707094,0.33633152,0.49689722,-0.03024912,0.49689728,-0.030249104,0.49689728,-0.030249083,0.49689722,-0.030249113,0.5707095,0.33633155
Ankrd1,1.0845956,0.27638695,1.1416149,0.10539879,1.192056,0.4523621,1.1926618,0.47066262,1.1926618,0.4706627,1.1926624,0.47066256,1.1926621,0.4706625
Apex1,0.54010284,0.3337022,0.54010284,0.33370218,0.54010284,0.33370218,0.54010284,0.3337022,0.54010284,0.33370218,0.54010284,0.33370215,0.54010284,0.33370218
App,0.57095647,0.13181561,0.5755683,0.054827042,0.57556826,0.05482699,0.576656,0.05733736,0.576656,0.05733736,0.57556826,0.05482702,0.57472974,0.11627784
Arid1a,0.62747204,-0.30969802,0.6473912,-0.0736334,0.6743634,-0.08529601,0.6729967,-0.082352296,0.67443055,-0.08514108,0.67436326,-0.085296005,0.6739395,-0.08988234
Arid3a,0.18248516,0.09801216,0.17565107,0.06444879,0.18192548,0.05224531,0.1759448,0.06512667,0.18221915,0.052923217,0.18192542,0.05224529,0.1808145,0.05463939
Arid3b,0.017219543,-0.42089656,0.03277883,0.048332155,0.03277883,0.048332155,0.03277883,0.048332155,0.03277886,0.048332155,0.03277883,0.048332155,0.03277883,0.048332155
Arid4b,0.78078866,0.31151578,0.77824235,0.19336407,0.7771605,0.16954316,0.777578,0.17054065,0.7786622,0.1943329,0.7782426,0.19336404,0.7760761,0.1611196
Arid5a,0.28055143,0.20370376,0.2755344,0.052174576,0.28055143,0.20370375,0.27553433,0.052174576,0.2755344,0.052174583,0.2755344,0.052174605,0.2805515,0.20370379
