TF,PValue,Label
Snai2,22.0,1
Ddx20,36.1667,1
Tcf7l1,55.0,1
Smarca5,73.3333,1
Yap1,116.5,1
Gli3,131.0,1
Foxm1,167.0,1
Tet1,174.5,1
Sall4,196.6667,1
Arid4b,216.0,1
Kdm2b,263.0,1
Lhx1,264.6667,1
Suz12,299.8333,1
Nfatc1,371.6667,1
Cdkn2a,389.8333,1
Top2a,536.3333,1
Esrrb,628.8333,1
Jdp2,636.8333,1
Atf1,665.6667,1
Smarce1,681.0,1
Klf4,699.6667,1
Myc,1164.8333,1
Nr5a2,1253.3333,1
Pcna,45.0,0
Blm,46.1667,0
Rfc1,86.3333,0
Phf5a,148.5,0
Dnmt1,205.3333,0
Tead2,372.5,0
Pnn,418.8333,0
Tead1,526.8333,0
Rps3,528.5,0
Thoc1,562.8333,0
Dnmt3b,601.5,0
Sphk1,710.1667,0
Xrcc6,743.0,0
Ercc3,777.5,0
C1d,783.5,0
Xrcc5,817.5,0
Ercc2,829.8333,0
Dnmt3a,867.3333,0
Tead4,939.6667,0
Gtf2h5,958.0,0
Terf2ip,1020.5,0
Prkdc,1130.0,0
Tead3,1215.3333,0
