source,target,p-value,model
Pias4,2410002I01Rik,0.0,-1
Pias4,Trappc9,0.0,-1
Pias4,Vps18,0.0,-1
Csde1,Mpnd,0.0,-1
Rfx1,Tjap1,0.0,-1
Rfx1,Wipf2,0.0,-1
Pbx2,Taf8,0.0,-1
Sap30,Aimp1,0.0,1
Sap30,Magoh,0.0,1
Sap30,Orc6,0.0,1
Sap30,Polr2d,0.0,1
E4f1,Zfyve27,0.0,-1
Arid5b,Rnf169,0.0,-1
Churc1,Plscr3,0.0,-1
Taf8,Pbx2,0.0,-1
Sap30,Lsm5,1.397457876954368e-280,1
Sap30,Snrpd1,2.6734704020033218e-273,1
Mafg,Dnase1l1,1.8481706508973284e-250,-1
Sap30,Nup93,1.8515980490246803e-230,1
Zkscan14,B4galt7,3.0044988110105107e-227,-1
Gm98,Golga3,1.0485918520724441e-158,-1
Sap30,Nop56,2.1007913359352726e-132,1
Sap30,Mcm6,8.499474383306756e-132,1
Sap30,Prim1,2.041344389414634e-117,1
Sap30,Rpa2,2.9392020947206366e-98,1
Sap30,Rfc4,3.046738268952462e-97,1
Rxrg,Hspb6,2.3923671570173153e-96,-1
Sap30,Naa38,1.009868666729827e-93,1
Sap30,Ltv1,3.1654954541758034e-72,1
Sap30,Smc2,1.7204475173601676e-70,1
Sap30,Sf3a3,2.0681188951973483e-64,1
Mafg,Slc25a44,8.906822911605836e-64,1
Sap30,Tcerg1,2.3774645096432562e-57,1
Chd8,BC088983,1.4280593552625912e-48,-1
Gmeb2,Fam54b,3.554141925768101e-41,1
Nr3c2,Il13ra1,1.3266157463117364e-35,-1
Phb,Ptges2,2.771388165362049e-33,1
Ptges2,Phb,2.771388165362049e-33,1
Gatad2b,Myst3,2.780481389112968e-33,1
Mtf1,Mta3,2.780481389112968e-33,1
Myst3,Gatad2b,2.780481389112968e-33,1
Zfp276,Irf3,2.780481389112968e-33,1
Irf3,Zfp276,2.780481389112968e-33,1
Mta3,Mtf1,2.780481389112968e-33,1
Nolc1,Aqr,1.5284239258011114e-32,-1
Mafg,Fbxo21,2.6731874366822584e-31,-1
Tfip11,Mrps11,1.2780610121375626e-29,-1
Naca,Rpl10a,1.9852435717553688e-29,-1
Mef2a,Clic4,1.6618966338811175e-28,-1
Hmgb2,Mcm6,8.869539209307103e-28,-1
Sarnp,Hsp90aa1,4.655104397099444e-27,-1
Zfp750,Rnf39,7.100033276646693e-26,1
Sap30,Mrps25,1.0099186724899067e-24,1
Tfpt,Drg2,9.096752411245512e-24,-1
Zfpm1,Sco2,1.875230328209661e-23,-1
Nostrin,Slc44a3,4.252447621150258e-21,-1
Nostrin,Baiap2l1,4.573712645759304e-21,-1
Set,Hnrnpu,3.0194529802913104e-20,-1
Nr3c2,Cd38,3.2397857367420854e-20,-1
Tmf1,Tlr5,1.8173837823667793e-19,-1
Rbmx,Jkamp,2.646374392833919e-18,-1
