source,target,p-value,model
Gatad2b,Myst3,0.0,-1
Nfkb2,Klf13,0.0,-1
Mtf1,Lamc1,0.0,-1
Pias4,2410002I01Rik,0.0,-1
Pias4,Trappc9,0.0,-1
Gon4l,Rffl,0.0,-1
Tfip11,Nploc4,0.0,-1
Zbtb6,Chchd2,0.0,1
Csde1,Mpnd,0.0,-1
Atxn1l,Cox6a1,0.0,-1
Safb,Tmem143,0.0,-1
Klf13,Nfkb2,0.0,-1
Rfx1,Wipf2,0.0,-1
Pbx2,Taf8,0.0,-1
Myst3,Gatad2b,0.0,-1
Mef2a,Bmpr2,0.0,-1
E4f1,Zfyve27,0.0,-1
Arid5b,Hgf,0.0,-1
Arid5b,Rnf169,0.0,-1
Churc1,Plscr3,0.0,-1
Churc1,2410015M20Rik,0.0,-1
Foxk1,Rps24,0.0,-1
Zfp664,Zfyve20,0.0,-1
Taf1d,Cox7c,0.0,1
Taf12,Zfp810,0.0,-1
Mta3,Tmem143,0.0,-1
Mta3,Tmem184a,0.0,-1
Taf8,Pbx2,0.0,-1
Nfat5,Zfr,2.42867950636259e-226,-1
Kdm5c,Zmynd8,1.9416506200210393e-225,-1
Mterfd3,Rnf149,2.48787436683743e-198,-1
Grlf1,Slc48a1,7.678211812227856e-164,-1
Zfp800,Ublcp1,5.6372643083268e-157,-1
Zscan21,Slc35e1,2.6520022338231892e-137,1
Nfat5,Itch,4.165317233434135e-131,-1
Nfat5,Dync1h1,1.6679983445528883e-113,-1
Ercc6,Mysm1,8.767570306573476e-101,-1
Mysm1,Ercc6,8.767570306579236e-101,-1
Tfdp1,Qtrt1,1.4761650412467997e-91,1
Foxa2,Rcan2,6.646184566950076e-91,-1
Maf,Oat,1.3933580320965199e-90,-1
Gtf2b,Socs7,4.079367568846057e-82,-1
Mxi1,Ugcg,4.1469278951561077e-81,-1
Set,Mapre1,1.3314190095391652e-72,-1
Sox6,Rab4a,5.676075846220375e-67,-1
Grlf1,AU040320,1.6134058228697355e-62,-1
Pias4,Clptm1,8.33560709822037e-62,-1
Drap1,Mob2,3.208669653403911e-58,-1
App,Mdm4,1.7323489174052137e-57,-1
Nfat5,Fcho2,1.7308275914269624e-56,1
Nfat5,Pds5a,1.3891879209004602e-55,-1
Csde1,Strn3,9.761731495948995e-55,-1
Etv3,Abi1,1.417695558542156e-53,-1
Cbfb,Rps3a,2.8032304159892126e-53,-1
Etv3,Lrig3,5.275640324776463e-53,-1
Atf6b,Dctn1,3.2999532733504875e-51,-1
Ncor1,Wasl,1.2449148472161373e-46,1
Hinfp,Zfp472,1.8360067637245647e-46,-1
Mef2d,Rbm15b,3.948250977126083e-46,-1
Nfat5,Krit1,1.7802942599201697e-44,-1
Creb3,Ptpn11,4.0175111714486907e-44,-1
Nfat5,Vps54,6.108868565140542e-44,-1
Irf6,Cyb561,1.3096861385543971e-42,-1
Hmg20a,Usp32,1.933748212842266e-42,-1
Gzf1,Dhtkd1,7.160271460076774e-42,-1
Nfat5,Rbm39,1.0728516032125159e-41,-1
Gmeb2,Fam54b,3.554141925768101e-41,1
Sra1,Gnptg,2.1394662324637445e-37,-1
Bclaf1,Rif1,2.932428164578602e-37,-1
Rfx1,Ugcg,4.1328892479741815e-37,-1
Irf6,Ripk4,8.350709428754318e-37,-1
Nr2c2,Alkbh8,1.7475406286794817e-36,-1
Nfat5,Rbm5,6.616062888704679e-36,1
Ercc6,Srsf11,7.573317981245177e-36,-1
Mtf1,Plxnd1,1.370067680994499e-35,-1
Zfp445,Wdr26,2.066072394994132e-35,-1
Dhx33,Cct3,2.2201446136827207e-35,-1
Kdm6b,Dync1h1,4.020461946326275e-35,-1
Kdm5c,Rapgef6,1.4446160263759547e-34,-1
Klf12,Dhtkd1,2.465664284516833e-34,-1
Grlf1,Tmem170,4.1470774096518e-34,-1
Nfat5,Birc6,6.7474783455975824e-34,-1
Zfp276,Irf3,2.780481389112968e-33,1
Zhx1,Zbtb44,2.780481389112968e-33,1
Zbtb44,Zhx1,2.780481389112968e-33,1
Irf3,Zfp276,2.780481389112968e-33,1
Mysm1,Rc3h2,9.660828342119617e-33,-1
Vps72,Mob2,1.1724386621710094e-32,-1
Nr1i2,Aqp8,5.2826830819635975e-31,-1
Pa2g4,Qtrt1,6.44941904323161e-31,1
Dhx33,Cirh1a,5.514780934146227e-30,-1
Gatad1,Zmym5,1.1483669902891153e-29,-1
Dhx33,Dis3,1.2061142280401126e-29,-1
Fubp1,Sf3b1,1.828800485435855e-29,-1
Ahctf1,Nup153,2.2387555456545896e-29,-1
Grlf1,Snx6,2.7366041533800355e-29,-1
Hdac2,Cct7,5.707671787259991e-29,-1
Dhx33,Pus7,1.5117134231439675e-28,-1
Dhx33,Mak16,3.4358943009137104e-28,-1
Mysm1,Srcap,8.628251404611376e-28,-1
Grlf1,Tmem41a,1.7669866080287553e-27,-1
Chd8,Phf8,8.131310816098253e-27,-1
Mta3,Cryl1,9.488901969901168e-27,-1
Grlf1,Bik,1.7818931923972271e-26,-1
Grlf1,Cnnm3,3.3189756718648295e-26,-1
Dhx33,Gart,6.758528397133835e-26,-1
Nfat5,Zfp53,8.843460566005005e-26,-1
Cc2d1a,Tmc6,1.282062233379579e-25,-1
Churc1,Lamc1,2.05970957899925e-25,-1
Grlf1,Orai3,3.1540968936975434e-25,-1
Bclaf1,Api5,4.526615320343281e-25,-1
Arid4b,Rb1cc1,1.2708681071783685e-24,-1
Yy1,Rapgef6,1.7845626777667696e-24,-1
Nfat5,Sbf2,2.577481368270315e-24,-1
Nfat5,Zcchc7,2.91371616803203e-24,-1
Dhx33,Pwp2,3.537928768755417e-24,-1
Nfat5,Plekha1,5.8266747228969775e-24,-1
Hdac2,Tcp1,8.73005615605578e-24,-1
Gtf3a,Nop56,1.2802464712145636e-23,1
Atf2,Pikfyve,1.600858410105104e-23,-1
Ahctf1,Rbm39,2.2683585192073664e-23,-1
Gtf3a,Rpl13a,2.5391536810623948e-23,1
Dhx33,Utp14a,2.6753056160964855e-23,-1
Gtf3a,Cad,3.7090849914367116e-23,1
Tfdp1,Mcm2,4.144951483526333e-23,-1
