pathway,nums,percent,pvalue
Arachidonic acid metabolism,95,0.10526315789473684,0.0
Bile secretion,100,0.3,0.0
Biosynthesis of amino acids,84,0.4166666666666667,0.0
Cell adhesion molecules (CAMs),169,0.07100591715976332,0.0
Drug metabolism - other enzymes,92,0.30434782608695654,0.0
Glucuronate pathway (uronate pathway),26,0.23076923076923078,0.0
Linoleic acid metabolism,50,0.26,0.0
Metabolic pathways,1315,0.46539923954372625,0.0
Ovarian steroidogenesis,65,0.12307692307692308,0.0
Retinol metabolism,97,0.41237113402061853,0.0
Selenocompound metabolism,18,0.5,0.0
Serotonergic synapse,133,0.2781954887218045,0.0
Steroid hormone biosynthesis,96,0.3645833333333333,0.0
Biosynthesis of cofactors,152,0.34868421052631576,0.0
Cell adhesion molecules,182,0.07692307692307693,0.0
Chemical carcinogenesis - DNA adducts,84,0.2976190476190476,0.0
Maturity onset diabetes of the young,27,0.3333333333333333,0.0
Cysteine and methionine metabolism,57,0.45614035087719296,0.001
Taurine and hypotaurine metabolism,22,0.22727272727272727,0.001
Prostate cancer,99,0.26262626262626265,0.001
Dopaminergic synapse,138,0.2028985507246377,0.002
Inflammatory mediator regulation of TRP channels,127,0.11811023622047244,0.002
Starch and sucrose metabolism,36,0.25,0.002
Tight junction,179,0.2849162011173184,0.002
Proteoglycans in cancer,205,0.12682926829268293,0.002
Cocaine addiction,48,0.3541666666666667,0.002
Hepatitis C,166,0.1746987951807229,0.003
Influenza A,173,0.15606936416184972,0.003
Arrhythmogenic right ventricular cardiomyopathy,77,0.14285714285714285,0.003
Drug metabolism - cytochrome P450,72,0.2777777777777778,0.004
Pantothenate and CoA biosynthesis,22,0.2727272727272727,0.004
Leukocyte transendothelial migration,121,0.24793388429752067,0.005
Pentose and glucuronate interconversions,37,0.1891891891891892,0.005
Nucleotide metabolism,84,0.21428571428571427,0.005
Hepatocellular carcinoma,174,0.14942528735632185,0.005
Purine metabolism,185,0.21621621621621623,0.006
Tryptophan metabolism,54,0.25925925925925924,0.006
Alcoholism,205,0.14146341463414633,0.006
Phenylalanine metabolism,24,0.375,0.008
Amphetamine addiction,69,0.2318840579710145,0.009
Sulfur metabolism,14,0.2857142857142857,0.01
Lysine degradation,67,0.14925373134328357,0.013
Vitamin digestion and absorption,24,0.125,0.013
Arrhythmogenic right ventricular cardiomyopathy (ARVC),72,0.1111111111111111,0.014
Metabolism of xenobiotics by cytochrome P450,75,0.2,0.014
Platinum drug resistance,80,0.075,0.014
Ascorbate and aldarate metabolism,31,0.2903225806451613,0.015
Tyrosine metabolism,41,0.2926829268292683,0.015
Wnt signaling pathway,180,0.06666666666666667,0.015
Salmonella infection,253,0.20553359683794467,0.015
Viral carcinogenesis,228,0.15789473684210525,0.016
"Glycosaminoglycan biosynthesis, linkage tetrasaccharide",5,0.6,0.017
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,24,0.25,0.02
cAMP signaling pathway,224,0.11160714285714286,0.022
