pathway,nums,percent,pvalue
Ascorbate and aldarate metabolism,31,0.25806451612903225,0.0
"Ascorbate biosynthesis, animals, glucose-1P => ascorbate",24,0.5,0.0
Bile secretion,100,0.51,0.0
Complement and coagulation cascades,94,0.6170212765957447,0.0
Drug metabolism - cytochrome P450,72,0.2638888888888889,0.0
Drug metabolism - other enzymes,92,0.32608695652173914,0.0
Glucuronate pathway (uronate pathway),26,0.11538461538461539,0.0
"Glycine, serine and threonine metabolism",40,0.75,0.0
Linoleic acid metabolism,50,0.28,0.0
Metabolic pathways,1315,0.45779467680608366,0.0
Retinol metabolism,97,0.36082474226804123,0.0
Steroid hormone biosynthesis,96,0.3541666666666667,0.0
Biosynthesis of cofactors,152,0.4276315789473684,0.0
Chemical carcinogenesis - DNA adducts,84,0.23809523809523808,0.0
Arachidonic acid metabolism,95,0.25263157894736843,0.001
Pentose and glucuronate interconversions,37,0.2702702702702703,0.001
Glycerophospholipid metabolism,99,0.1919191919191919,0.002
Metabolism of xenobiotics by cytochrome P450,75,0.16,0.002
Cholesterol metabolism,50,0.56,0.002
Serotonergic synapse,133,0.23308270676691728,0.004
Porphyrin metabolism,43,0.18604651162790697,0.004
Lysine degradation,67,0.22388059701492538,0.007
NOD-like receptor signaling pathway,220,0.031818181818181815,0.008
Insulin resistance,110,0.22727272727272727,0.011
Biosynthesis of amino acids,84,0.5833333333333334,0.012
Nitrogen metabolism,17,0.23529411764705882,0.012
Phagosome,192,0.18229166666666666,0.013
Chemical carcinogenesis - receptor activation,225,0.4088888888888889,0.013
Primary bile acid biosynthesis,18,0.5,0.014
Hepatocellular carcinoma,174,0.06321839080459771,0.016
beta-Alanine metabolism,37,0.1891891891891892,0.017
Pentose phosphate pathway,34,0.47058823529411764,0.017
"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",20,0.15,0.019
Glycerolipid metabolism,64,0.0625,0.02
cAMP signaling pathway,224,0.16964285714285715,0.021
"Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE",7,0.7142857142857143,0.022
Tryptophan metabolism,54,0.5185185185185185,0.026
Sphingolipid metabolism,57,0.10526315789473684,0.027
Coronavirus disease - COVID-19,249,0.46987951807228917,0.027
2-Oxocarboxylic acid metabolism,34,0.20588235294117646,0.029
Cysteine and methionine metabolism,57,0.45614035087719296,0.03
Pyrimidine metabolism,107,0.14953271028037382,0.03
Signaling pathways regulating pluripotency of stem cells,141,0.1702127659574468,0.032
Inflammatory mediator regulation of TRP channels,127,0.3464566929133858,0.034
Pyruvate metabolism,44,0.18181818181818182,0.034
Insulin signaling pathway,143,0.2097902097902098,0.036
Neuroactive ligand-receptor interaction,393,0.0737913486005089,0.036
Ovarian steroidogenesis,65,0.06153846153846154,0.036
Proteoglycans in cancer,205,0.09268292682926829,0.037
Protein digestion and absorption,110,0.08181818181818182,0.038
Glyoxylate and dicarboxylate metabolism,32,0.46875,0.039
Basal cell carcinoma,63,0.06349206349206349,0.039
Taurine and hypotaurine metabolism,22,0.2727272727272727,0.044
Alzheimer disease,383,0.12532637075718014,0.046
Polycomb repressive complex,84,0.19047619047619047,0.048
Breast cancer,147,0.06802721088435375,0.049
Pathways of neurodegeneration - multiple diseases,471,0.12101910828025478,0.049
Maturity onset diabetes of the young,27,0.25925925925925924,0.056
Salmonella infection,253,0.1067193675889328,0.058
Arginine and proline metabolism,57,0.17543859649122806,0.06
Histidine metabolism,28,0.14285714285714285,0.062
Parkinson disease,264,0.15151515151515152,0.062
Prion disease,267,0.39325842696629215,0.063
Peroxisome,87,0.6896551724137931,0.064
Bacterial invasion of epithelial cells,76,0.07894736842105263,0.064
Dopaminergic synapse,138,0.14492753623188406,0.066
Activin signaling,10,0.7,0.068
Synaptic vesicle cycle,77,0.2727272727272727,0.07
AMPK signaling pathway,128,0.421875,0.071
Neutrophil extracellular trap formation,208,0.13942307692307693,0.072
Glycolysis / Gluconeogenesis,70,0.45714285714285713,0.074
Thyroid hormone synthesis,74,0.22972972972972974,0.075
Measles,145,0.041379310344827586,0.075
Cytosolic DNA-sensing pathway,80,0.05,0.076
Apoptosis,137,0.06569343065693431,0.079
Tyrosine metabolism,41,0.3170731707317073,0.079
PPAR signaling pathway,90,0.5555555555555556,0.08
Butanoate metabolism,28,0.5714285714285714,0.081
Alcoholic liver disease,141,0.04964539007092199,0.082
"Gluconeogenesis, oxaloacetate => fructose-6P",19,0.631578947368421,0.088
Endometrial cancer,58,0.05172413793103448,0.088
Fluid shear stress and atherosclerosis,147,0.061224489795918366,0.09
Staphylococcus aureus infection,128,0.0703125,0.092
Prostate cancer,99,0.10101010101010101,0.093
Arrhythmogenic right ventricular cardiomyopathy,77,0.03896103896103896,0.093
Cushing syndrome,162,0.06172839506172839,0.093
Arrhythmogenic right ventricular cardiomyopathy (ARVC),72,0.041666666666666664,0.095
Glycosphingolipid biosynthesis - lacto and neolacto series,28,0.14285714285714285,0.095
Melanogenesis,100,0.04,0.096
One carbon pool by folate,19,0.2631578947368421,0.099
Acute myeloid leukemia,70,0.04285714285714286,0.099
Glutamatergic synapse,116,0.10344827586206896,0.103
Cocaine addiction,48,0.3125,0.104
Glucagon signaling pathway,108,0.42592592592592593,0.106
Ferroptosis,42,0.16666666666666666,0.108
Purine metabolism,185,0.021621621621621623,0.112
Amoebiasis,107,0.4205607476635514,0.117
Lysosome,136,0.09558823529411764,0.119
RNA transport,167,0.24550898203592814,0.12
Prion diseases,34,0.5882352941176471,0.122
Systemic lupus erythematosus,149,0.18120805369127516,0.133
Nicotinate and nicotinamide metabolism,45,0.5111111111111111,0.134
Thyroid hormone signaling pathway,120,0.5166666666666667,0.134
AGE-RAGE signaling pathway in diabetic complications,101,0.06930693069306931,0.134
"Alanine, aspartate and glutamate metabolism",41,0.21951219512195122,0.136
HIF-1 signaling pathway,120,0.31666666666666665,0.137
Axon guidance,183,0.0546448087431694,0.14
"Fatty acid biosynthesis, elongation, endoplasmic reticulum",13,0.5384615384615384,0.14
Calcium signaling pathway,254,0.08661417322834646,0.141
Biosynthesis of unsaturated fatty acids,36,0.5833333333333334,0.145
cGMP-PKG signaling pathway,175,0.18285714285714286,0.146
mRNA surveillance pathway,105,0.19047619047619047,0.15
Pantothenate and CoA biosynthesis,22,0.22727272727272727,0.15
Colorectal cancer,88,0.06818181818181818,0.156
Immunoproteasome,18,0.16666666666666666,0.165
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",27,0.4074074074074074,0.166
Phenylalanine metabolism,24,0.125,0.167
"GABA biosynthesis, eukaryotes, putrescine => GABA",9,0.3333333333333333,0.168
Porphyrin and chlorophyll metabolism,41,0.14634146341463414,0.169
Kaposi sarcoma-associated herpesvirus infection,223,0.026905829596412557,0.172
TGF-beta signaling pathway,112,0.39285714285714285,0.174
Fatty acid elongation,29,0.5172413793103449,0.176
Lipoic acid metabolism,19,0.2631578947368421,0.178
"Proteasome, 20S core particle",15,0.2,0.179
Influenza A,173,0.1329479768786127,0.179
"Valine, leucine and isoleucine degradation",57,0.10526315789473684,0.18
Amyotrophic lateral sclerosis,369,0.2899728997289973,0.182
Ribosome biogenesis in eukaryotes,125,0.048,0.184
Platelet activation,126,0.2698412698412698,0.19
Tight junction,179,0.48044692737430167,0.194
Sphingolipid signaling pathway,127,0.1889763779527559,0.199
Fructose and mannose metabolism,38,0.42105263157894735,0.203
Aldosterone synthesis and secretion,105,0.02857142857142857,0.205
Huntington disease,302,0.4735099337748344,0.211
EGFR tyrosine kinase inhibitor resistance,79,0.08860759493670886,0.213
Pancreatic secretion,116,0.10344827586206896,0.215
Ubiquitin mediated proteolysis,151,0.11920529801324503,0.219
Phospholipase D signaling pathway,150,0.14,0.227
Spliceosome,186,0.08602150537634409,0.227
Carbon metabolism,126,0.5873015873015873,0.236
Alcoholism,205,0.08780487804878048,0.241
Yersinia infection,135,0.07407407407407407,0.25
mmuK signaling pathway,301,0.27906976744186046,0.252
Regulation of actin cytoskeleton,239,0.41422594142259417,0.253
ABC transporters,52,0.2692307692307692,0.254
Wnt signaling pathway,180,0.08333333333333333,0.254
Nucleocytoplasmic transport,117,0.10256410256410256,0.256
Alzheimer's disease,175,0.07428571428571429,0.257
Glutathione metabolism,74,0.08108108108108109,0.266
Vascular smooth muscle contraction,145,0.2827586206896552,0.266
Amphetamine addiction,69,0.18840579710144928,0.266
Mineral absorption,56,0.08928571428571429,0.268
Proteasome,47,0.10638297872340426,0.27
Insulin secretion,86,0.03488372093023256,0.282
Endocytosis,297,0.06734006734006734,0.286
Human papillomavirus infection,361,0.10803324099722991,0.286
Protein processing in endoplasmic reticulum,183,0.0546448087431694,0.292
Gastric cancer,150,0.32666666666666666,0.293
Longevity regulating pathway,90,0.5444444444444444,0.295
Nuclear pore complex,41,0.07317073170731707,0.301
Endocrine resistance,93,0.1935483870967742,0.301
Hepatitis C,166,0.018072289156626505,0.302
MicroRNAs in cancer,303,0.009900990099009901,0.313
Pathways in cancer,543,0.37937384898710863,0.32
PD-L1 expression and PD-1 checkpoint pathway in cancer,88,0.03409090909090909,0.324
Spinocerebellar ataxia,141,0.0851063829787234,0.326
Hippo signaling pathway -multiple species,26,0.11538461538461539,0.327
Steroid biosynthesis,20,0.15,0.33
"Spliceosome, U2-snRNP",21,0.14285714285714285,0.331
Endocrine and other factor-regulated calcium reabsorption,61,0.04918032786885246,0.342
Amyotrophic lateral sclerosis (ALS),52,0.15384615384615385,0.345
GABAergic synapse,91,0.1978021978021978,0.346
Parkinson's disease,144,0.041666666666666664,0.352
Necroptosis,175,0.022857142857142857,0.354
Hippo signaling,15,0.2,0.355
Jak-STAT signaling pathway,159,0.025157232704402517,0.362
Hippo signaling pathway - multiple species,27,0.1111111111111111,0.373
Hedgehog signaling pathway,58,0.05172413793103448,0.375
NF-kappa B signaling pathway,114,0.03508771929824561,0.383
Adherens junction,93,0.6021505376344086,0.386
JAK-STAT signaling pathway,171,0.029239766081871343,0.405
Rap1 signaling pathway,218,0.022935779816513763,0.408
Epstein-Barr virus infection,230,0.02608695652173913,0.418
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,21,0.19047619047619047,0.42
Basal transcription factors,45,0.2,0.428
ECM-receptor interaction,89,0.10112359550561797,0.432
Starch and sucrose metabolism,36,0.2222222222222222,0.437
Efferocytosis,155,0.23225806451612904,0.44
Vasopressin-regulated water reabsorption,44,0.20454545454545456,0.458
Lipid and atherosclerosis,216,0.37962962962962965,0.458
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,16,0.1875,0.46
Cortisol synthesis and secretion,72,0.041666666666666664,0.468
"Parathyroid hormone synthesis, secretion and action",108,0.3888888888888889,0.47
Chemokine signaling pathway,204,0.024509803921568627,0.496
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,24,0.16666666666666666,0.517
Progesterone-mediated oocyte maturation,92,0.03260869565217391,0.526
Diabetic cardiomyopathy,211,0.23696682464454977,0.547
Viral carcinogenesis,228,0.42105263157894735,0.552
Adipocytokine signaling pathway,73,0.4794520547945205,0.556
Motor proteins,196,0.04081632653061224,0.559
African trypanosomiasis,39,0.07692307692307693,0.56
Transcriptional misregulation in cancer,224,0.29910714285714285,0.564
Focal adhesion,204,0.38235294117647056,0.575
Proximal tubule bicarbonate reclamation,22,0.22727272727272727,0.584
Herpes simplex infection,215,0.06511627906976744,0.592
Human cytomegalovirus infection,255,0.011764705882352941,0.624
Non-small cell lung cancer,72,0.4444444444444444,0.628
Estrogen signaling pathway,134,0.029850746268656716,0.634
Autophagy - other,32,0.1875,0.635
PI3K-Akt signaling pathway,373,0.15013404825737264,0.642
Chagas disease,103,0.14563106796116504,0.642
Non-alcoholic fatty liver disease,156,0.1858974358974359,0.675
Methionine degradation,11,0.2727272727272727,0.694
Thermogenesis,231,0.0735930735930736,0.698
Central carbon metabolism in cancer,69,0.2608695652173913,0.702
FoxO signaling pathway,133,0.43609022556390975,0.706
Longevity regulating pathway - multiple species,62,0.5,0.709
Thyroid cancer,37,0.5135135135135135,0.719
Oocyte meiosis,123,0.04878048780487805,0.724
Non-alcoholic fatty liver disease (NAFLD),151,0.2119205298013245,0.726
HTLV-I infection,283,0.024734982332155476,0.73
Autophagy - animal,167,0.0718562874251497,0.731
ATP-dependent chromatin remodeling,136,0.0661764705882353,0.731
Ribosome,187,0.1711229946524064,0.738
Methionine salvage pathway,11,0.45454545454545453,0.753
Huntington's disease,194,0.520618556701031,0.756
Cytokine-cytokine receptor interaction,326,0.1441717791411043,0.768
Human T-cell leukemia virus 1 infection,249,0.04819277108433735,0.785
Mitophagy - animal,68,0.11764705882352941,0.787
Choline metabolism in cancer,98,0.030612244897959183,0.8
Hepatitis B,163,0.1656441717791411,0.802
Cellular senescence,183,0.12021857923497267,0.855
Th17 cell differentiation,107,0.4485981308411215,0.861
Leukocyte transendothelial migration,121,0.33884297520661155,0.862
Exon junction complex (EJC),22,0.22727272727272727,0.87
Hippo signaling pathway,158,0.12658227848101267,0.894
Fatty acid degradation,53,0.4716981132075472,0.902
Neurotrophin signaling pathway,121,0.05785123966942149,0.91
Small cell lung cancer,93,0.45161290322580644,0.914
APC/C complex,14,0.21428571428571427,0.917
Ubiquinone and other terpenoid-quinone biosynthesis,11,0.2727272727272727,0.932
Gap junction,86,0.046511627906976744,0.955
Chemical carcinogenesis - reactive oxygen species,223,0.5291479820627802,0.967
Oxidative phosphorylation,151,0.046357615894039736,0.968
Retrograde endocannabinoid signaling,150,0.03333333333333333,0.97
"Ribosome, eukaryotes",98,0.1836734693877551,0.971
Cell cycle,157,0.14012738853503184,0.98
Fatty acid metabolism,64,0.453125,0.985
Human immunodeficiency virus 1 infection,239,0.02510460251046025,0.993
