pathway,nums,percent,pvalue
Cell cycle,157,0.1464968152866242,0.001
Salmonella infection,253,0.34782608695652173,0.065
Tight junction,179,0.45251396648044695,0.109
HTLV-I infection,283,0.15547703180212014,0.112
Leishmaniasis,70,0.11428571428571428,0.112
IL-17 signaling pathway,93,0.20430107526881722,0.119
Spliceosome,186,0.23655913978494625,0.132
PD-L1 expression and PD-1 checkpoint pathway in cancer,88,0.22727272727272727,0.133
Purine metabolism,185,0.34594594594594597,0.134
TNF signaling pathway,115,0.2956521739130435,0.134
Osteoclast differentiation,140,0.16428571428571428,0.137
Yersinia infection,135,0.2,0.137
Pathways in cancer,543,0.3259668508287293,0.138
"Spliceosome, U4/U6.U5 tri-snRNP",32,0.375,0.141
Colorectal cancer,88,0.07954545454545454,0.158
Influenza A,173,0.2947976878612717,0.17
Pyrimidine metabolism,107,0.40186915887850466,0.188
mmuK signaling pathway,301,0.21926910299003322,0.199
Progesterone-mediated oocyte maturation,92,0.08695652173913043,0.206
Hepatitis B,163,0.3006134969325153,0.223
T cell receptor signaling pathway,125,0.208,0.224
Human T-cell leukemia virus 1 infection,249,0.1927710843373494,0.225
Arrhythmogenic right ventricular cardiomyopathy,77,0.06493506493506493,0.229
MAPK signaling pathway,252,0.1111111111111111,0.232
ErbB signaling pathway,86,0.19767441860465115,0.236
Lipid and atherosclerosis,216,0.2916666666666667,0.238
Human papillomavirus infection,361,0.21329639889196675,0.262
Endocytosis,297,0.2356902356902357,0.267
ATP-dependent chromatin remodeling,136,0.058823529411764705,0.269
Arrhythmogenic right ventricular cardiomyopathy (ARVC),72,0.18055555555555555,0.27
Wnt signaling pathway,180,0.08333333333333333,0.27
Hepatitis C,166,0.3373493975903614,0.279
"GABA biosynthesis, eukaryotes, putrescine => GABA",9,0.3333333333333333,0.288
Axon guidance,183,0.24043715846994534,0.311
Signaling pathways regulating pluripotency of stem cells,141,0.14893617021276595,0.313
Motor proteins,196,0.07142857142857142,0.329
Renal cell carcinoma,68,0.10294117647058823,0.33
Chemokine signaling pathway,204,0.10294117647058823,0.332
Regulation of lipolysis in adipocytes,57,0.05263157894736842,0.332
TGF-beta signaling pathway,112,0.32142857142857145,0.334
Gap junction,86,0.046511627906976744,0.336
C-type lectin receptor signaling pathway,112,0.1875,0.342
Toll-like receptor signaling pathway,104,0.23076923076923078,0.344
Regulation of actin cytoskeleton,239,0.3138075313807531,0.354
Amino sugar and nucleotide sugar metabolism,52,0.3076923076923077,0.357
Neurotrophin signaling pathway,121,0.11570247933884298,0.357
Amyotrophic lateral sclerosis (ALS),52,0.09615384615384616,0.359
Human cytomegalovirus infection,255,0.16470588235294117,0.36
Focal adhesion,204,0.13725490196078433,0.366
Prostate cancer,99,0.18181818181818182,0.366
Renin-angiotensin system,37,0.10810810810810811,0.367
Relaxin signaling pathway,129,0.12403100775193798,0.37
Herpes simplex infection,215,0.27906976744186046,0.372
Apoptosis,137,0.2846715328467153,0.374
AGE-RAGE signaling pathway in diabetic complications,101,0.16831683168316833,0.374
Epstein-Barr virus infection,230,0.23043478260869565,0.376
Leukocyte transendothelial migration,121,0.23140495867768596,0.377
Biosynthesis of nucleotide sugars,38,0.3157894736842105,0.38
Cellular senescence,183,0.14207650273224043,0.381
Kaposi sarcoma-associated herpesvirus infection,223,0.24663677130044842,0.381
Chagas disease (American trypanosomiasis),101,0.22772277227722773,0.393
Viral carcinogenesis,228,0.21052631578947367,0.393
Human immunodeficiency virus 1 infection,239,0.18410041841004185,0.4
NOD-like receptor signaling pathway,220,0.2863636363636364,0.406
Sphingolipid signaling pathway,127,0.2677165354330709,0.406
Th17 cell differentiation,107,0.17757009345794392,0.409
Ubiquitin mediated proteolysis,151,0.2185430463576159,0.409
Gastric cancer,150,0.1,0.411
"Spliceosome, U2-snRNP",21,0.5238095238095238,0.413
PI3K-Akt signaling pathway,373,0.23324396782841822,0.415
Longevity regulating pathway - multiple species,62,0.16129032258064516,0.417
Neutrophil extracellular trap formation,208,0.1778846153846154,0.417
Cytokine-cytokine receptor interaction,326,0.12576687116564417,0.424
