term,,,adj_p_value
"Ribosome, eukaryotes",,,6.929770046132378e-20
Coronavirus disease - COVID-19,,,5.22831810275171e-17
Ribosome,,,5.456481890694745e-16
DNA replication,,,5.998012120501372e-16
Metabolic pathways,,,5.673744154493438e-14
MCM complex,,,4.629211667603975e-12
Complement and coagulation cascades,,,9.036569729800394e-10
Cell cycle,,,1.3150937241510545e-08
Carbon metabolism,,,6.376637809737145e-08
Oxidative phosphorylation,,,6.894270151531061e-08
Proteasome,,,1.5565424857677777e-07
Cytochrome bc1 complex,,,1.645251502076213e-07
Cholesterol metabolism,,,3.234207726261381e-07
Parkinson's disease,,,3.6149708915695836e-07
Steroid hormone biosynthesis,,,1.8605675962546878e-06
Glyoxylate and dicarboxylate metabolism,,,2.0202580907092996e-06
"Valine, leucine and isoleucine degradation",,,2.0202580907092996e-06
Amyotrophic lateral sclerosis,,,2.15222988992476e-06
Alzheimer's disease,,,2.3699360686110122e-06
Huntington disease,,,2.5905353561360305e-06
Parkinson disease,,,2.5905353561360305e-06
Huntington's disease,,,3.6150404815560135e-06
Non-alcoholic fatty liver disease (NAFLD),,,4.998938766816717e-06
Non-alcoholic fatty liver disease,,,5.538144057340786e-06
Neutrophil extracellular trap formation,,,6.5528109922274565e-06
Pathways of neurodegeneration - multiple diseases,,,6.841993299068869e-06
"Glycine, serine and threonine metabolism",,,7.358248600524046e-06
Alzheimer disease,,,7.367463176841925e-06
Prion disease,,,1.1710767972784036e-05
Chemical carcinogenesis - DNA adducts,,,1.310518775250703e-05
Chemical carcinogenesis - reactive oxygen species,,,1.4268915784165475e-05
Thermogenesis,,,1.8876613900184147e-05
Retinol metabolism,,,2.0165453528314368e-05
Urea cycle,,,2.323308100867783e-05
"Proteasome, 19S regulatory particle (PA700)",,,2.7898246781785233e-05
Spinocerebellar ataxia,,,3.30860876593483e-05
Pyruvate metabolism,,,3.761699404674043e-05
2-Oxocarboxylic acid metabolism,,,4.073543593602542e-05
Propanoate metabolism,,,4.073543593602542e-05
"Spliceosome, U4/U6.U5 tri-snRNP",,,4.18299875734777e-05
Cardiac muscle contraction,,,4.444221784006532e-05
Peroxisome,,,4.444221784006532e-05
Diabetic cardiomyopathy,,,4.960191015790031e-05
Biosynthesis of amino acids,,,7.031202860600744e-05
Platelet activation,,,7.496790200964402e-05
Mismatch repair,,,9.253591777389534e-05
Lsm 1-7 complex,,,9.253591777389534e-05
Lsm 2-8 complex,,,9.253591777389534e-05
Linoleic acid metabolism,,,0.00010869693060266409
"Tyrosine degradation, tyrosine => homogentisate",,,0.0001210400624270571
Spliceosome,,,0.00015889820768149267
"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",,,0.00016103657711236653
PPAR signaling pathway,,,0.000173131411832755
Herpes simplex virus 1 infection,,,0.00025075134026443226
Polycomb repressive complex,,,0.00025075134026443226
"Proteasome, 20S core particle",,,0.0002583129020364202
Arginine biosynthesis,,,0.0002664511803826911
Nucleocytoplasmic transport,,,0.00036761580581293305
Histidine metabolism,,,0.00037451679927836076
"Cysteine biosynthesis, homocysteine + serine => cysteine",,,0.00039075488165952327
Arachidonic acid metabolism,,,0.00039348824462520903
Drug metabolism - other enzymes,,,0.00039348824462520903
Immunoproteasome,,,0.0005188866318539128
Citrate cycle (TCA cycle),,,0.0006925393960332527
Tyrosine metabolism,,,0.0007045429940502956
"C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone",,,0.0007826191346767971
"Steroid hormone biosynthesis, cholesterol => prognenolone => progesterone",,,0.0007826191346767971
Bile secretion,,,0.0008014678331631241
Fatty acid metabolism,,,0.0008163857839582208
Fatty acid degradation,,,0.0008593665499488732
Biosynthesis of unsaturated fatty acids,,,0.0008846381367892682
Cytochrome bc1 complex respiratory unit,,,0.0008846381367892682
Tryptophan metabolism,,,0.0009028939960195678
Nuclear pore complex,,,0.0009253891314312976
Pyrimidine metabolism,,,0.000966649101743739
Lipoic acid metabolism,,,0.0009733844088869166
Cysteine and methionine metabolism,,,0.0010920236440272822
beta-Alanine metabolism,,,0.0014524629121513612
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",,,0.0015779191217338488
Fat digestion and absorption,,,0.001602412966360415
Ubiquitin mediated proteolysis,,,0.0017001093641441077
Succinate dehydrogenase (ubiquinone),,,0.0017013319364636052
"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate",,,0.0017859225330751982
Glycolysis / Gluconeogenesis,,,0.0018481083418576956
Metabolism of xenobiotics by cytochrome P450,,,0.0019387131513850754
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,,,0.0021788586623196406
"F-type ATPase, eukaryotes",,,0.002551594585180307
Amyotrophic lateral sclerosis (ALS),,,0.0026481175459891907
"Alanine, aspartate and glutamate metabolism",,,0.002682466001963573
"Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA",,,0.002756174079040234
RNA transport,,,0.002773628841270788
Glutathione metabolism,,,0.002780877647764821
"Leucine degradation, leucine => acetoacetate + acetyl-CoA",,,0.0030495099133955378
Biosynthesis of cofactors,,,0.003351226333490615
Thyroid hormone synthesis,,,0.0035531977723940616
"Citrate cycle (TCA cycle, Krebs cycle)",,,0.003786150452317279
Primary bile acid biosynthesis,,,0.004188967400953008
Caffeine metabolism,,,0.004437070720479024
mRNA surveillance pathway,,,0.004690346830922656
NF-kappa B signaling pathway,,,0.005011788076196641
TNF signaling pathway,,,0.005011788076196641
Leukocyte transendothelial migration,,,0.00525771168621069
Retrograde endocannabinoid signaling,,,0.00525771168621069
Staphylococcus aureus infection,,,0.005294403699021984
Oocyte meiosis,,,0.005428053642013529
"Ascorbate biosynthesis, animals, glucose-1P => ascorbate",,,0.005625146279719876
Drug metabolism - cytochrome P450,,,0.00584717560067553
Glucuronate pathway (uronate pathway),,,0.006099052188599828
COPII complex,,,0.007206084954751021
"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",,,0.007206084954751021
Methionine salvage pathway,,,0.007209735929227269
Methionine degradation,,,0.007209735929227269
BRCA1-associated genome surveillance complex (BASC),,,0.0073787313103669755
Viral carcinogenesis,,,0.0076127240842530355
Nucleotide metabolism,,,0.00787544984325352
Basal transcription factors,,,0.00796951806383637
Ascorbate and aldarate metabolism,,,0.008052653018903306
Riboflavin metabolism,,,0.008655212650199329
Inflammatory mediator regulation of TRP channels,,,0.008872374341380674
Starch and sucrose metabolism,,,0.008903637129365123
Pentose and glucuronate interconversions,,,0.008903637129365123
"Pyruvate oxidation, pyruvate => acetyl-CoA",,,0.009187854919461266
beta-Oxidation,,,0.009671073240023175
DNA polymerase alpha / primase complex,,,0.009872871893730642
Porphyrin and chlorophyll metabolism,,,0.010333831686816682
Porphyrin metabolism,,,0.010783925519634951
RF-C complex,,,0.011702077474958722
Cell cycle - G2/M transition,,,0.011933725773882273
"Lysine degradation, lysine => saccharopine => acetoacetyl-CoA",,,0.012189182910154497
Bacterial invasion of epithelial cells,,,0.012637057303486205
Salmonella infection,,,0.012637057303486205
"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",,,0.013036094057638463
APC/C complex,,,0.013360763207850563
Cap binding complex,,,0.013394773528317928
Lysine degradation,,,0.014561982171113708
AGE-RAGE signaling pathway in diabetic complications,,,0.014989588778146243
