pathway,tf,percent,,,
Pathways in cancer,191,95.98,0,,
Estrogen signaling pathway,42,100,0,,
Hepatitis B,71,94.67,0,,
Cell cycle,83,100,0,,
Gap junction,30,100,0,,
NOD-like receptor signaling pathway,30,37.5,0,,
Gastric cancer,29,61.7,0,,
Hepatitis C,54,70.13,0,,
Motor proteins,36,78.26,0,,
Neurotrophin signaling pathway,16,33.33,0,,
Salmonella infection,108,95.58,0,,
Endocytosis,45,37.5,0,,
MicroRNAs in cancer,50,89.29,0,,
Tight junction,63,73.26,0,,
Colorectal cancer,33,82.5,0,,
Toll-like receptor signaling pathway,19,46.34,0,,
Nucleocytoplasmic transport,76,100,0,,
Progesterone-mediated oocyte maturation,42,100,0,,
Focal adhesion,7,9.09,0,,
RIG-I-like receptor signaling pathway,30,100,0,,
Yersinia infection,14,21.88,0,,
Nuclear pore complex,29,100,0,,
Cellular senescence,67,90.54,0,,
Polycomb repressive complex,49,96.08,0,,
C-type lectin receptor signaling pathway,35,100,0,,
MAPK signaling pathway,36,44.44,0,,
"Growth hormone synthesis, secretion and action",10,21.28,0,,
Breast cancer,15,34.88,0,,
Chemical carcinogenesis - receptor activation,59,68.6,0,,
mmuK signaling pathway,59,59.6,0,,
Chronic myeloid leukemia,13,34.21,0.0001,,
Lipid and atherosclerosis,26,32.5,0.0001,,
Herpes simplex virus 1 infection,107,82.95,0.0001,,
Efferocytosis,33,52.38,0.0001,,
Signaling pathways regulating pluripotency of stem cells,12,25,0.0001,,
Pancreatic cancer,14,35.9,0.0001,,
Ubiquitin mediated proteolysis,47,62.67,0.0001,,
Phosphatidylinositol signaling system,15,42.86,0.0002,,
Dopaminergic synapse,47,100,0.0002,,
Chagas disease,16,37.21,0.0002,,
Chagas disease (American trypanosomiasis),16,37.21,0.0003,,
PD-L1 expression and PD-1 checkpoint pathway in cancer,13,33.33,0.0003,,
Rap1 signaling pathway,18,25.71,0.0003,,
Human immunodeficiency virus 1 infection,71,85.54,0.0004,,
Oocyte meiosis,47,94,0.0004,,
Axon guidance,10,16.95,0.0004,,
