tf,p-value
Sod2,0.0
Klf15,0.0
Nfya,0.0
Hnf4a,0.0
Foxj2,0.0
Zfp161,0.0
Klf12,0.0
Hlf,0.0
Zfml,0.0
Olig1,0.0
Foxn3,0.0
Hmbox1,0.0
Chd8,0.0
Prox1,0.0
Taf13,0.0
Hmg20b,0.0
Mll3,0.0
Ezh1,0.0
Onecut2,0.0
Gmeb2,0.0
Zhx3,0.0
Thrb,0.0
Esr1,0.0
Zfp39,0.0
Gata4,0.0
Sin3a,0.0
Rere,0.0
E2f4,0.0
Sall1,0.0
Nfe2l1,0.0
Nr1i2,0.0
Maf1,0.0
Rxrg,0.0
Myst4,0.0
Rara,0.0
Nr1h4,0.0
Zfp865,0.0
Ppargc1a,0.0
Onecut1,0.0
Cbx2,0.0
Zkscan14,0.0
Smad2,0.0
Sox6,0.0
Hnf1b,0.0
Zfp148,0.0001
Prdm4,0.0001
Cry2,0.0001
Smad4,0.0001
Vps72,0.0001
Arid1a,0.0001
Rora,0.0001
Yap1,0.0002
Tcea3,0.0002
Trim33,0.0002
Foxa3,0.0002
Xrcc5,0.0003
Cxxc1,0.0003
Gtf2e1,0.0003
Hhex,0.0005
Maf,0.0006
Mta2,0.0007
Phb,0.0007
Rbck1,0.0007
Rnf10,0.0008
Phf21a,0.0008
Zfp672,0.0008
Zfp800,0.0009
Zbtb41,0.001
Zfp110,0.0011
Srebf2,0.0012
Tcf7,0.0013
Kdm5a,0.0014
Edf1,0.0016
Tshz2,0.002
Xrcc6,0.0025
Safb,0.0027
Ogg1,0.0028
Sub1,0.0029
Zfp750,0.0032
Foxa1,0.0032
Zbtb7b,0.0034
Nfkb2,0.0044
Klf11,0.0046
Hmgn5,0.0056
Zbtb24,0.0058
Rcor3,0.006
Zbtb16,0.0076
Nfil3,0.0077
Zfp710,0.0077
Thra,0.0077
Mysm1,0.0081
Tmf1,0.0088
Zfp692,0.0089
Spata24,0.0101
Nr2f2,0.0103
Zfp512,0.0104
Rorc,0.0111
Sra1,0.0112
Nfkb1,0.0116
Sox13,0.0122
Nono,0.0124
Nr3c2,0.013
Rreb1,0.0165
Tgif1,0.0173
Atf5,0.0181
Dmtf1,0.0183
C1d,0.0191
Zfp191,0.0192
Ctnnb1,0.0206
Xbp1,0.0223
Nfia,0.0248
Rybp,0.0248
Cic,0.0255
Ubp1,0.0255
Cenpb,0.0269
Mbd2,0.0276
Mef2a,0.0276
Tcf12,0.0279
Nr1i3,0.0283
Ccnt1,0.0297
Smarce1,0.0302
Smad3,0.0325
Foxn2,0.0328
Rtf1,0.0387
