source,target,p-value,model
Tcf12,Hmg20a,0.0,-1
Pias4,2410002I01Rik,0.0,-1
Pias4,Trappc9,0.0,-1
Csde1,Mpnd,0.0,-1
Hmg20a,Tcf12,0.0,-1
Rfx1,Wipf2,0.0,-1
Pbx2,Taf8,0.0,-1
E4f1,Zfyve27,0.0,-1
Arid5b,Rnf169,0.0,-1
Churc1,Plscr3,0.0,-1
Taf8,Pbx2,0.0,-1
Hmbox1,Tmem126a,2.4188843320873874e-276,1
Foxj2,Mtx2,1.2688059143244603e-87,-1
Naca,Imp3,1.4447264243954753e-73,-1
Naca,Rps14,3.9003329758947617e-66,-1
Sarnp,Mcm3,9.95944554180409e-63,-1
Phb,Samm50,7.981701214713692e-60,-1
Gmeb2,Fam54b,3.554141925768101e-41,1
Atf7,Fibp,3.421821269795919e-36,1
Phb,Ptges2,2.771388165362049e-33,1
Ptges2,Phb,2.771388165362049e-33,1
Gatad2b,Myst3,2.780481389112968e-33,1
Mtf1,Mta3,2.780481389112968e-33,1
Myst3,Gatad2b,2.780481389112968e-33,1
Zfp276,Irf3,2.780481389112968e-33,1
Irf3,Zfp276,2.780481389112968e-33,1
Mta3,Mtf1,2.780481389112968e-33,1
Hnrnpab,Rpl27,6.468283202456779e-33,-1
Tmpo,Rpl13a,1.432720776872487e-32,-1
Tcea3,Mrfap1,1.1231799334804524e-30,-1
Atf7,Sf3b4,3.87707163039554e-30,1
Sarnp,Rpa2,1.4609137076604572e-26,-1
Gtf3a,2210016L21Rik,1.5023186136928484e-26,-1
Mll2,Atf7,4.802815919976859e-25,1
Npm1,Arpp19,9.526905564415418e-25,-1
Sarnp,Mcm5,4.420197944782557e-24,-1
Npm1,Rcc2,2.1463950532144752e-23,-1
Sarnp,Rfc4,6.425411781048207e-23,-1
Ilf3,Cenpt,2.669184687757891e-22,-1
Hnrnpk,Hnrnph1,2.66049128480135e-21,1
Med1,Ddx39,6.881565921947825e-21,1
Naca,Rpl4,1.213291784217339e-20,-1
Taf5,Gmnn,1.945829966708721e-20,-1
Npm1,Tmpo,2.026592004206326e-20,-1
Tmpo,Npm1,2.0265920042077255e-20,-1
Trim28,Prim1,2.5118563675487136e-20,-1
Zfp120,Terf2,3.510563953624123e-20,-1
Atf2,Cul3,6.043879250558301e-20,-1
Hinfp,Abca8a,7.979415244446774e-20,1
Hnrnpab,Eif3d,1.0674926953779014e-19,-1
Phf5a,Mcm2,1.3610146234196406e-19,-1
Tcea1,Eif4a1,1.3984634857891843e-19,-1
Rfc1,Esf1,7.883712277658136e-19,-1
Set,Rpl27,8.404256923791386e-19,-1
Sarnp,Lmnb1,2.272505943457101e-18,-1
Sarnp,Hmgb2,3.029342846026535e-18,-1
Dnmt1,Rpl14,3.314082593068165e-18,-1
Nfkb2,Klf13,1.8990355219860288e-17,-1
Klf13,Nfkb2,1.8990355219860288e-17,-1
Gmeb2,Arid5b,1.9021690321385624e-17,1
Hdac4,Foxj2,1.9021690321385624e-17,-1
Arid5b,Gmeb2,1.9021690321385624e-17,1
Foxj2,Hdac4,1.9021690321385624e-17,-1
Zhx1,Zbtb44,1.9021690321385624e-17,1
Rxrg,Sod2,1.9021690321385624e-17,1
Zbtb44,Zhx1,1.9021690321385624e-17,1
Sod2,Rxrg,1.9021690321385624e-17,1
