pathway,nums,percent,pvalue
Bile secretion,100,0.07,0.0
Drug metabolism - cytochrome P450,72,0.20833333333333334,0.0
Metabolic pathways,1315,0.4022813688212928,0.0
PPAR signaling pathway,90,0.12222222222222222,0.0
Steroid hormone biosynthesis,96,0.22916666666666666,0.0
Cholesterol metabolism,50,0.06,0.0
Retinol metabolism,97,0.20618556701030927,0.001
Spliceosome,186,0.26344086021505375,0.001
Ascorbate and aldarate metabolism,31,0.0967741935483871,0.002
Drug metabolism - other enzymes,92,0.08695652173913043,0.002
Peroxisome,87,0.1724137931034483,0.003
Biosynthesis of cofactors,152,0.13157894736842105,0.003
Ubiquinone and other terpenoid-quinone biosynthesis,11,0.2727272727272727,0.004
Serotonergic synapse,133,0.03007518796992481,0.005
"Ascorbate biosynthesis, animals, glucose-1P => ascorbate",24,0.125,0.006
Ovarian steroidogenesis,65,0.046153846153846156,0.008
Glucuronate pathway (uronate pathway),26,0.11538461538461539,0.012
Pentose and glucuronate interconversions,37,0.08108108108108109,0.012
Glycolysis / Gluconeogenesis,70,0.05714285714285714,0.013
Phenylalanine metabolism,24,0.16666666666666666,0.016
Ribosome biogenesis in eukaryotes,125,0.248,0.016
Chemical carcinogenesis - DNA adducts,84,0.14285714285714285,0.017
Maturity onset diabetes of the young,27,0.1111111111111111,0.017
TGF-beta signaling pathway,112,0.11607142857142858,0.02
Transcriptional misregulation in cancer,224,0.013392857142857142,0.02
EGFR tyrosine kinase inhibitor resistance,79,0.0759493670886076,0.02
Pyrimidine metabolism,107,0.18691588785046728,0.021
Nucleocytoplasmic transport,117,0.19658119658119658,0.023
RNA transport,167,0.17964071856287425,0.024
Ferroptosis,42,0.23809523809523808,0.026
Gastric cancer,150,0.07333333333333333,0.026
HTLV-I infection,283,0.11307420494699646,0.027
Arrhythmogenic right ventricular cardiomyopathy,77,0.03896103896103896,0.027
AMPK signaling pathway,128,0.1015625,0.028
Cell cycle,157,0.21019108280254778,0.032
Citrate cycle (TCA cycle),32,0.09375,0.032
Lysine degradation,67,0.07462686567164178,0.04
Purine metabolism,185,0.11351351351351352,0.04
Metabolism of xenobiotics by cytochrome P450,75,0.14666666666666667,0.042
Linoleic acid metabolism,50,0.06,0.044
Chemical carcinogenesis - receptor activation,225,0.08,0.046
