pathway,tf,percent,,,
Cell cycle,83,100,0,,
Ribosome biogenesis in eukaryotes,51,100,0,,
RNA transport,106,100,0,,
Nucleocytoplasmic transport,76,100,0,,
Hepatitis B,71,94.67,0,,
Hepatitis C,64,83.12,0,,
Human papillomavirus infection,102,80.31,0,,
Salmonella infection,113,100,0,,
Tight junction,76,88.37,0,,
Motor proteins,45,97.83,0,,
mmuK signaling pathway,64,64.65,0,,
Ubiquitin mediated proteolysis,50,66.67,0,,
Human cytomegalovirus infection,64,69.57,0,,
Gap junction,30,100,0,,
Neurotrophin signaling pathway,28,58.33,0,,
Oocyte meiosis,50,100,0,,
TNF signaling pathway,32,60.38,0,,
Viral carcinogenesis,95,97.94,0,,
Nuclear pore complex,29,100,0,,
Viral life cycle - HIV-1,30,96.77,0,,
Progesterone-mediated oocyte maturation,42,100,0,,
Kaposi sarcoma-associated herpesvirus infection,54,67.5,0,,
PI3K-Akt signaling pathway,80,67.23,0,,
Polycomb repressive complex,51,100,0,,
Protein processing in endoplasmic reticulum,37,48.68,0,,
Prostate cancer,32,74.42,0,,
Lipid and atherosclerosis,50,62.5,0,,
Measles,46,85.19,0,,
Regulation of actin cytoskeleton,46,51.69,0,,
MAPK signaling pathway,41,50.62,0,,
C-type lectin receptor signaling pathway,16,45.71,0,,
NOD-like receptor signaling pathway,54,67.5,0,,
Small cell lung cancer,38,97.44,0,,
Gastric cancer,28,59.57,0,,
Influenza A,59,90.77,0,,
Yersinia infection,31,48.44,0,,
Breast cancer,19,44.19,0,,
Human immunodeficiency virus 1 infection,71,85.54,0,,
Toxoplasmosis,19,46.34,0,,
Efferocytosis,47,74.6,0,,
Chronic myeloid leukemia,19,50,0,,
"Growth hormone synthesis, secretion and action",34,72.34,0,,
Spinocerebellar ataxia,52,81.25,0,,
MicroRNAs in cancer,55,98.21,0,,
Necroptosis,35,56.45,0,,
Toll-like receptor signaling pathway,16,39.02,0,,
Pancreatic cancer,18,46.15,0,,
Choline metabolism in cancer,40,100,0,,
ATP-dependent chromatin remodeling,52,86.67,0,,
Pathways in cancer,197,98.99,0,,
Bacterial invasion of epithelial cells,20,57.14,0,,
Proteoglycans in cancer,34,44.74,0,,
Th17 cell differentiation,20,45.45,0,,
HTLV-I infection,103,100,0,,
Herpes simplex virus 1 infection,126,97.67,0,,
Spliceosome,95,98.96,0,,
