term,,,adj_p_value
Metabolic pathways,,,2.14E-37
RNA transport,,,4.02E-17
"Ribosome, eukaryotes",,,1.67E-14
Nucleocytoplasmic transport,,,5.26E-13
Coronavirus disease - COVID-19,,,8.46E-13
Ribosome,,,4.90E-12
Amyotrophic lateral sclerosis,,,6.15E-12
Non-alcoholic fatty liver disease (NAFLD),,,4.35E-11
Non-alcoholic fatty liver disease,,,1.18E-10
Biosynthesis of cofactors,,,1.81E-10
Chemical carcinogenesis - reactive oxygen species,,,2.58E-10
Huntington's disease,,,3.62E-10
Cell cycle,,,3.97E-10
Basal transcription factors,,,2.02E-09
Huntington disease,,,2.02E-09
mRNA surveillance pathway,,,2.49E-09
Prion disease,,,3.97E-09
Autophagy - animal,,,5.20E-09
Spliceosome,,,5.20E-09
Adherens junction,,,9.05E-09
Alzheimer's disease,,,1.14E-08
DNA replication,,,1.14E-08
Drug metabolism - other enzymes,,,1.66E-08
Pyrimidine metabolism,,,1.66E-08
"Spliceosome, U2-snRNP",,,2.36E-08
Parkinson disease,,,2.90E-08
Tight junction,,,3.74E-08
Alcoholic liver disease,,,4.15E-08
Parkinson's disease,,,4.50E-08
Complement and coagulation cascades,,,1.31E-07
Polycomb repressive complex,,,1.32E-07
Salmonella infection,,,1.38E-07
Nucleotide excision repair,,,1.69E-07
Ubiquitin mediated proteolysis,,,1.84E-07
Nuclear pore complex,,,3.29E-07
Mismatch repair,,,1.24E-06
Alzheimer disease,,,1.34E-06
Cholesterol metabolism,,,1.61E-06
Diabetic cardiomyopathy,,,2.07E-06
Thyroid hormone signaling pathway,,,2.27E-06
Carbon metabolism,,,2.64E-06
Hepatitis C,,,3.03E-06
Longevity regulating pathway,,,5.19E-06
Thermogenesis,,,6.45E-06
Peroxisome,,,1.26E-05
Viral carcinogenesis,,,1.26E-05
Ferroptosis,,,1.45E-05
Holo-TFIIH complex,,,1.75E-05
Platinum drug resistance,,,1.75E-05
Insulin resistance,,,1.80E-05
"Valine, leucine and isoleucine degradation",,,1.80E-05
Pathways of neurodegeneration - multiple diseases,,,1.83E-05
"Spliceosome, 35S U5-snRNP",,,2.42E-05
Oxidative phosphorylation,,,2.43E-05
Hepatitis B,,,2.59E-05
Insulin signaling pathway,,,2.86E-05
Citrate cycle (TCA cycle),,,3.31E-05
Propanoate metabolism,,,3.34E-05
Sphingolipid signaling pathway,,,4.01E-05
Pyruvate metabolism,,,4.02E-05
Endocytosis,,,4.13E-05
Proteasome,,,5.38E-05
"Citrate cycle (TCA cycle, Krebs cycle)",,,5.58E-05
Pathways in cancer,,,5.65E-05
Human T-cell leukemia virus 1 infection,,,5.78E-05
"Glycine, serine and threonine metabolism",,,5.90E-05
Biosynthesis of amino acids,,,6.37E-05
Spinocerebellar ataxia,,,6.93E-05
"Aminoacyl-tRNA biosynthesis, eukaryotes",,,7.14E-05
Herpes simplex infection,,,0.000101747
Drug metabolism - cytochrome P450,,,0.000107921
Apoptosis,,,0.00010816
Autophagy - other,,,0.00012947
Glyoxylate and dicarboxylate metabolism,,,0.00012947
"Spliceosome, U4/U6.U5 tri-snRNP",,,0.00012947
Yersinia infection,,,0.00013156
Lysosome,,,0.000168988
Mitophagy - animal,,,0.000168988
Hepatocellular carcinoma,,,0.000263285
TGF-beta signaling pathway,,,0.000309263
Chemical carcinogenesis - DNA adducts,,,0.000367446
2-Oxocarboxylic acid metabolism,,,0.000403904
Pancreatic cancer,,,0.000403904
Prion diseases,,,0.000403904
AMPK signaling pathway,,,0.000411806
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",,,0.000421456
Protein processing in endoplasmic reticulum,,,0.00043893
Glutathione metabolism,,,0.000502594
ATP-dependent chromatin remodeling,,,0.000635711
Purine metabolism,,,0.000635711
Viral life cycle - HIV-1,,,0.000635711
Nucleotide metabolism,,,0.00079728
Bacterial invasion of epithelial cells,,,0.000911086
Chronic myeloid leukemia,,,0.000911086
"GABA biosynthesis, eukaryotes, putrescine => GABA",,,0.000911086
Tryptophan metabolism,,,0.000927843
EGFR tyrosine kinase inhibitor resistance,,,0.000938521
"Alanine, aspartate and glutamate metabolism",,,0.000982012
"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",,,0.001056721
"Spliceosome, U1-snRNP",,,0.001056721
Exon junction complex (EJC),,,0.001373746
Chemical carcinogenesis - receptor activation,,,0.001444766
Fluid shear stress and atherosclerosis,,,0.001639528
Fatty acid degradation,,,0.001647209
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",,,0.001667627
MCM complex,,,0.001667627
PPAR signaling pathway,,,0.001667627
RNA degradation,,,0.001667627
Immunoproteasome,,,0.001898275
Selenocompound metabolism,,,0.001898275
Longevity regulating pathway - multiple species,,,0.001991209
FoxO signaling pathway,,,0.002023181
Cellular senescence,,,0.0020391
Bile secretion,,,0.002109411
TNF signaling pathway,,,0.002109411
BRCA1-associated genome surveillance complex (BASC),,,0.002149259
Biosynthesis of nucleotide sugars,,,0.002235784
APC/C complex,,,0.002428308
Sm core complex,,,0.002428308
eIF4F complex,,,0.002428308
Cytochrome bc1 complex,,,0.002716572
Lysine degradation,,,0.003614778
Acute myeloid leukemia,,,0.003711464
AGE-RAGE signaling pathway in diabetic complications,,,0.005095999
Pantothenate and CoA biosynthesis,,,0.005095999
Progesterone-mediated oocyte maturation,,,0.005143862
RF-C complex,,,0.005400266
Apelin signaling pathway,,,0.005613258
Regulation of actin cytoskeleton,,,0.005914746
Efferocytosis,,,0.006049829
Metabolism of xenobiotics by cytochrome P450,,,0.006181594
Steroid hormone biosynthesis,,,0.006181594
HTLV-I infection,,,0.006507877
ESCRT-III complex,,,0.006810869
"Lysine degradation, lysine => saccharopine => acetoacetyl-CoA",,,0.006810869
Methionine salvage pathway,,,0.006810869
Human papillomavirus infection,,,0.006830284
Fatty acid metabolism,,,0.007252815
Retinol metabolism,,,0.007366213
Colorectal cancer,,,0.00739014
Histidine metabolism,,,0.00739014
PD-L1 expression and PD-1 checkpoint pathway in cancer,,,0.00739014
Primary bile acid biosynthesis,,,0.00739014
Human cytomegalovirus infection,,,0.007713198
Choline metabolism in cancer,,,0.0088021
Renal cell carcinoma,,,0.009186612
"Growth hormone synthesis, secretion and action",,,0.009379996
Focal adhesion,,,0.009627749
Glucagon signaling pathway,,,0.009955344
beta-Alanine metabolism,,,0.010543235
Antifolate resistance,,,0.010805921
Cysteine and methionine metabolism,,,0.010805921
Proteoglycans in cancer,,,0.010805921
Non-small cell lung cancer,,,0.01133276
Influenza A,,,0.011774608
Lipoic acid metabolism,,,0.012131991
"Proteasome, 19S regulatory particle (PA700)",,,0.012131991
Ribosome biogenesis in eukaryotes,,,0.012131991
Amino sugar and nucleotide sugar metabolism,,,0.013125914
Epstein-Barr virus infection,,,0.013125914
Hippo signaling pathway,,,0.013730492
Adipocytokine signaling pathway,,,0.013765744
Oocyte meiosis,,,0.014370341
Chagas disease (American trypanosomiasis),,,0.014509793
Succinate dehydrogenase (ubiquinone),,,0.015728698
TREX complex,,,0.015728698
Lipid and atherosclerosis,,,0.017671508
Prostate cancer,,,0.017699855
Biosynthesis of unsaturated fatty acids,,,0.017721719
RNA polymerase,,,0.017721719
Riboflavin metabolism,,,0.017742115
"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",,,0.018368481
NOD-like receptor signaling pathway,,,0.018368481
Origin recognition complex,,,0.018368481
Urea cycle,,,0.018368481
Arginine biosynthesis,,,0.018500749
Toll-like receptor signaling,,,0.018573936
Nicotinate and nicotinamide metabolism,,,0.019540419
Chagas disease,,,0.019542908
