Source,Target,PValue
Gatad2b,Myst3,0.0
Mtf1,Mta3,0.0
Pias4,Atp5g2,0.0
Pias4,Uba1,0.0
Csde1,Mpnd,0.0
Ncoa1,Lrrfip2,0.0
Rfx1,Apip,0.0
Myst3,Gatad2b,0.0
Csrnp1,Per1,0.0
Arid5b,Rnf169,0.0
Zhx1,Zbtb44,0.0
Per1,Csrnp1,0.0
Cc2d1b,9930021J03Rik,0.0
Rxrg,Sod2,0.0
Zbtb44,Zhx1,0.0
Mta3,Mtf1,0.0
Sod2,Rxrg,0.0
Zfp523,Edem2,1.488661129853056e-289
Zfp523,Snd1,1.488661129853056e-289
Safb,Edem2,1.488661129853056e-289
Safb,Snd1,1.488661129853056e-289
Irf6,Nipal1,4.577192177450699e-66
Stat5a,Cradd,9.42221482908867e-47
Nr2c2,Pdpr,2.757224699277985e-42
Gmeb2,Fam54b,3.128954409037727e-37
Zfp593,Noc4l,1.9394127667972794e-35
Zfp523,Cdk5rap3,9.081202099204222e-34
Safb,Cdk5rap3,9.081202099204222e-34
Cc2d1b,Gpank1,2.7683635685664586e-33
Nfkb2,Klf13,2.771388165362049e-33
Tcf12,Hmg20a,2.771388165362049e-33
Tfcp2,Mfsd1,2.771388165362049e-33
Csde1,Cox19,2.771388165362049e-33
Klf13,Nfkb2,2.771388165362049e-33
Hmg20a,Tcf12,2.771388165362049e-33
Pias4,2410002I01Rik,2.780481389112968e-33
Pias4,Trappc9,2.780481389112968e-33
Rfx1,Wipf2,2.780481389112968e-33
E4f1,Zfyve27,2.780481389112968e-33
Churc1,Plscr3,2.780481389112968e-33
Chd4,Smc6,9.75914317905936e-26
Zfp768,L2hgdh,2.395829409295966e-22
Apex1,Srm,5.535504575642286e-22
Hopx,Tmem2,1.922569497669238e-18
Taf2,Exosc1,1.238218569850612e-14
Mxd4,Rnf215,2.3698661622053472e-14
Dhx33,Cwf19l1,2.908227554771255e-13
Crem,Serpina7,3.139251042641058e-13
Zfp523,Elac2,1.1828387535160283e-12
Phf5a,Wdr74,4.514832463344811e-12
Kdm5a,Thoc1,8.95359649033556e-12
Thoc1,Kdm5a,8.95359649033556e-12
